Date,AXP
2023-07-28,160.71156311035156
2023-07-31,164.0631866455078
2023-08-01,164.81118774414062
2023-08-02,161.9939422607422
2023-08-03,161.66363525390625
2023-08-04,160.692138671875
2023-08-07,162.1979217529297
2023-08-08,161.13902282714844
2023-08-09,159.14749145507812
2023-08-10,158.87547302246094
2023-08-11,160.55615234375
2023-08-14,161.34304809570312
2023-08-15,157.29196166992188
2023-08-16,156.1747589111328
2023-08-17,155.99990844726562
2023-08-18,155.65988159179688
2023-08-21,156.29135131835938
2023-08-22,154.5426788330078
2023-08-23,154.89242553710938
2023-08-24,153.2894744873047
2023-08-25,153.8043670654297
2023-08-28,154.64956665039062
2023-08-29,155.6696014404297
2023-08-30,155.6016082763672
2023-08-31,153.48377990722656
2023-09-01,155.06727600097656
2023-09-05,155.43641662597656
2023-09-06,153.49349975585938
2023-09-07,152.30831909179688
2023-09-08,152.9397430419922
2023-09-11,153.32833862304688
2023-09-12,153.97923278808594
2023-09-13,154.60096740722656
2023-09-14,157.16566467285156
2023-09-15,159.07948303222656
2023-09-18,155.07701110839844
2023-09-19,154.8050079345703
2023-09-20,152.74545288085938
2023-09-21,150.29733276367188
2023-09-22,148.7138214111328
2023-09-25,148.85955810546875
2023-09-26,146.80970764160156
2023-09-27,145.62452697753906
2023-09-28,145.94509887695312
2023-09-29,144.93478393554688
2023-10-02,145.2164764404297
2023-10-03,140.91287231445312
2023-10-04,142.4477996826172
2023-10-05,143.48178100585938
2023-10-06,145.6571044921875
2023-10-09,145.16937255859375
2023-10-10,147.22756958007812
2023-10-11,147.7933349609375
2023-10-12,147.56898498535156
2023-10-13,147.3934326171875
2023-10-16,149.0419464111328
2023-10-17,150.60269165039062
2023-10-18,147.81285095214844
2023-10-19,145.94970703125
2023-10-20,138.0972137451172
2023-10-23,141.0431365966797
2023-10-24,140.87730407714844
2023-10-25,139.99937438964844
2023-10-26,139.82379150390625
2023-10-27,137.8435821533203
2023-10-30,139.75547790527344
2023-10-31,142.44776916503906
2023-11-01,142.85748291015625
2023-11-02,147.14955139160156
2023-11-03,149.01268005371094
2023-11-06,149.237060546875
2023-11-07,149.22731018066406
2023-11-08,149.25656127929688
2023-11-09,148.63223266601562
2023-11-10,150.59295654296875
2023-11-13,150.55392456054688
2023-11-14,153.06088256835938
2023-11-15,155.5190887451172
2023-11-16,155.14840698242188
2023-11-17,158.57229614257812
2023-11-20,159.8306427001953
2023-11-21,158.30889892578125
2023-11-22,159.77210998535156
2023-11-24,160.38665771484375
2023-11-27,160.01596069335938
2023-11-28,161.59625244140625
2023-11-29,163.3228302001953
2023-11-30,166.58091735839844
2023-12-01,169.49752807617188
2023-12-04,169.00006103515625
2023-12-05,166.49310302734375
2023-12-06,163.40084838867188
2023-12-07,164.48365783691406
2023-12-08,164.29830932617188
2023-12-11,164.25926208496094
2023-12-12,166.8442840576172
2023-12-13,170.27793884277344
2023-12-14,174.47244262695312
2023-12-15,176.0819549560547
2023-12-18,178.27676391601562
2023-12-19,181.1934356689453
2023-12-20,176.21852111816406
2023-12-21,180.25698852539062
2023-12-22,181.0178680419922
2023-12-26,181.3982696533203
2023-12-27,182.47128295898438
2023-12-28,183.19314575195312
2023-12-29,182.74440002441406
2024-01-02,183.6906280517578
2024-01-03,181.74945068359375
2024-01-04,183.1390838623047
2024-01-05,185.01806640625
2024-01-08,185.1648406982422
2024-01-09,182.77699279785156
2024-01-10,181.01547241210938
2024-01-11,181.07421875
2024-01-12,178.1481475830078
2024-01-16,177.1009979248047
2024-01-17,177.13035583496094
2024-01-18,175.9462127685547
2024-01-19,179.25396728515625
2024-01-22,181.05462646484375
2024-01-23,181.50479125976562
2024-01-24,181.8473358154297
2024-01-25,184.04920959472656
