Date,TGT
2023-05-23,132.9740447998047
2023-05-24,129.30545043945312
2023-05-25,127.18197631835938
2023-05-26,125.53742218017578
2023-05-30,120.93807220458984
2023-05-31,118.30857849121094
2023-06-01,118.51642608642578
2023-06-02,120.37784576416016
2023-06-05,118.01041412353516
2023-06-06,119.90795135498047
2023-06-07,119.04954528808594
2023-06-08,118.61582946777344
2023-06-09,114.74839782714844
2023-06-12,114.2875747680664
2023-06-13,116.31163787841797
2023-06-14,120.38688659667969
2023-06-15,124.55248260498047
2023-06-16,120.91096496582031
2023-06-20,119.92603302001953
2023-06-21,120.37784576416016
2023-06-22,119.62785339355469
2023-06-23,119.12183380126953
2023-06-26,121.53443908691406
2023-06-27,119.73627471923828
2023-06-28,119.70014190673828
2023-06-29,120.09771728515625
2023-06-30,119.1850814819336
2023-07-03,121.85975646972656
2023-07-05,119.7724380493164
2023-07-06,118.22727966308594
2023-07-07,117.513427734375
2023-07-10,119.04051208496094
2023-07-11,120.53145599365234
2023-07-12,120.09771728515625
2023-07-13,120.01641082763672
2023-07-14,118.29954528808594
2023-07-17,117.47726440429688
2023-07-18,118.20015716552734
2023-07-19,119.90795135498047
2023-07-20,121.66095733642578
2023-07-21,121.15493774414062
2023-07-24,122.35671997070312
2023-07-25,120.72120666503906
2023-07-26,121.50733184814453
2023-07-27,121.53443908691406
2023-07-28,121.98625946044922
2023-07-31,123.31454467773438
2023-08-01,120.17001342773438
2023-08-02,120.6669921875
2023-08-03,119.93506622314453
2023-08-04,119.75434875488281
2023-08-07,119.22125244140625
2023-08-08,118.35376739501953
2023-08-09,118.01041412353516
2023-08-10,118.29954528808594
2023-08-11,118.4170150756836
2023-08-14,116.94416809082031
2023-08-15,113.96404266357422
2023-08-16,117.33602905273438
2023-08-17,118.5754623413086
2023-08-18,119.57796478271484
2023-08-21,116.46114349365234
2023-08-22,113.86380004882812
2023-08-23,112.28716278076172
2023-08-24,113.09827423095703
2023-08-25,110.99304962158203
2023-08-28,112.4876708984375
2023-08-29,114.97564697265625
2023-08-30,115.69560241699219
2023-08-31,115.3310775756836
2023-09-01,114.39237213134766
2023-09-05,114.09163665771484
2023-09-06,112.74283599853516
2023-09-07,113.42634582519531
