Date,SHW
2024-06-04,301.9747009277344
2024-06-05,304.33453369140625
2024-06-06,300.2171936035156
2024-06-07,288.2602844238281
2024-06-10,289.4056091308594
2024-06-11,292.25909423828125
2024-06-12,295.50750732421875
2024-06-13,296.6528625488281
2024-06-14,293.236572265625
2024-06-17,299.02252197265625
2024-06-18,296.3961181640625
2024-06-20,297.5414733886719
2024-06-21,297.4526062011719
2024-06-24,296.7515869140625
2024-06-25,290.95574951171875
2024-06-26,293.10821533203125
2024-06-27,293.2464904785156
2024-06-28,294.65838623046875
2024-07-01,292.0517883300781
2024-07-02,290.9261169433594
2024-07-03,293.4636535644531
2024-07-05,291.9628601074219
2024-07-08,296.45538330078125
2024-07-09,295.1323547363281
2024-07-10,301.5106506347656
2024-07-11,310.001953125
2024-07-12,314.3463439941406
2024-07-15,314.445068359375
2024-07-16,322.2748718261719
2024-07-17,321.6824951171875
2024-07-18,321.34674072265625
2024-07-19,317.78240966796875
2024-07-22,318.2760925292969
2024-07-23,340.1461181640625
2024-07-24,327.8238220214844
2024-07-25,338.4083557128906
2024-07-26,344.8064880371094
2024-07-29,348.09442138671875
2024-07-30,347.3933410644531
2024-07-31,346.3664855957031
2024-08-01,345.9518127441406
2024-08-02,342.86138916015625
2024-08-05,334.80450439453125
2024-08-06,339.7709655761719
2024-08-07,335.41668701171875
2024-08-08,338.37872314453125
2024-08-09,341.2717590332031
2024-08-12,338.9020690917969
2024-08-13,344.6682434082031
2024-08-14,347.699462890625
2024-08-15,351.96484375
2024-08-16,350.6242980957031
2024-08-19,352.207275390625
2024-08-20,351.5542907714844
2024-08-21,354.15625
2024-08-22,354.09686279296875
2024-08-23,354.9081726074219
2024-08-26,356.8472900390625
2024-08-27,356.1448669433594
2024-08-28,357.84649658203125
2024-08-29,356.76812744140625
2024-08-30,365.434814453125
2024-09-03,359.8746643066406
2024-09-04,358.8358459472656
2024-09-05,356.2437438964844
2024-09-06,356.98577880859375
2024-09-09,360.0230712890625
2024-09-10,367.88836669921875
2024-09-11,367.6410217285156
2024-09-12,369.9858093261719
2024-09-13,371.40057373046875
2024-09-16,375.02154541015625
2024-09-17,373.9728698730469
2024-09-18,371.3115234375
2024-09-19,375.7041931152344
2024-09-20,374.4873046875
2024-09-23,377.8016052246094
2024-09-24,377.4949035644531
2024-09-25,377.1189880371094
2024-09-26,379.83966064453125
2024-09-27,378.6524963378906
2024-09-30,377.603759765625
2024-10-01,376.5253601074219
2024-10-02,374.1311340332031
2024-10-03,369.1250915527344
2024-10-04,367.3442077636719
2024-10-07,363.8617248535156
2024-10-08,369.4218444824219
2024-10-09,374.9226379394531
2024-10-10,372.4394226074219
2024-10-11,374.9523010253906
2024-10-14,380.0672302246094
2024-10-15,384.4104309082031
2024-10-16,385.24151611328125
2024-10-17,384.9347839355469
2024-10-18,384.2225036621094
2024-10-21,377.6828918457031
2024-10-22,357.5299377441406
2024-10-23,358.8556823730469
2024-10-24,357.7376708984375
2024-10-25,355.2148742675781
2024-10-28,359.3997802734375
2024-10-29,357.7673645019531
2024-10-30,358.0345153808594
2024-10-31,354.9477233886719
2024-11-01,354.15625
2024-11-04,370.41119384765625
2024-11-05,374.18060302734375
2024-11-06,376.6737976074219
2024-11-07,379.9089050292969
2024-11-08,382.5505065917969
2024-11-11,385.1029968261719
2024-11-12,379.58245849609375
2024-11-13,383.1639099121094
2024-11-14,384.3214416503906
2024-11-15,375.64373779296875
2024-11-18,372.0358581542969
2024-11-19,370.2021789550781
2024-11-20,368.37841796875
2024-11-21,379.93548583984375
2024-11-22,384.8714599609375
2024-11-25,396.1807861328125
2024-11-26,392.642333984375
2024-11-27,390.48150634765625
2024-11-29,393.8911437988281
2024-12-02,392.08721923828125
2024-12-03,391.82952880859375
2024-12-04,388.60821533203125
2024-12-05,381.8385009765625
2024-12-06,381.5610046386719
2024-12-09,373.12615966796875
2024-12-10,368.3189697265625
2024-12-11,368.65594482421875
2024-12-12,363.61090087890625
2024-12-13,361.28167724609375
2024-12-16,361.8069763183594
2024-12-17,359.5867614746094
2024-12-18,345.58154296875
2024-12-19,339.3569641113281
2024-12-20,342.419677734375
2024-12-23,341.79522705078125
2024-12-24,343.46038818359375
2024-12-26,342.4593505859375
2024-12-27,340.2589416503906
2024-12-30,335.7590026855469
2024-12-31,336.9285888671875
2025-01-02,330.2183532714844
2025-01-03,333.56854248046875
2025-01-06,334.8372497558594
2025-01-07,331.4473876953125
2025-01-08,334.5597229003906
2025-01-10,327.244873046875
2025-01-13,333.1522521972656
2025-01-14,338.6235046386719
2025-01-15,343.8667907714844
2025-01-16,351.0428771972656
2025-01-17,350.85455322265625
2025-01-21,358.32794189453125
2025-01-22,354.58135986328125
2025-01-23,357.92156982421875
2025-01-24,356.9700622558594
2025-01-27,360.9545593261719
2025-01-28,360.9545593261719
2025-01-29,357.2277526855469
2025-01-30,362.3223876953125
2025-01-31,354.9976501464844
2025-02-03,354.4822692871094
2025-02-04,354.4326477050781
2025-02-05,361.2618408203125
2025-02-06,361.9952697753906
2025-02-07,357.3863525390625
2025-02-10,355.98883056640625
2025-02-11,358.1792907714844
2025-02-12,352.3611145019531
2025-02-13,357.94140625
2025-02-14,353.7090759277344
2025-02-18,349.8732604980469
2025-02-19,348.74334716796875
2025-02-20,346.92950439453125
2025-02-21,341.5276184082031
2025-02-24,340.8337707519531
2025-02-25,349.9129333496094
2025-02-26,356.4150085449219
2025-02-27,352.3710632324219
2025-02-28,359.0713195800781
2025-03-03,354.3529968261719
2025-03-04,352.9126281738281
2025-03-05,359.9057312011719
2025-03-06,357.6806335449219
2025-03-07,361.19708251953125
2025-03-10,355.39599609375
2025-03-11,350.6676940917969
2025-03-12,347.49896240234375
2025-03-13,339.82049560546875
2025-03-14,339.50262451171875
2025-03-17,339.969482421875
2025-03-18,333.29425048828125
2025-03-19,332.6883544921875
2025-03-20,333.7909240722656
2025-03-21,332.1817321777344
2025-03-24,340.4263916015625
2025-03-25,338.8867492675781
2025-03-26,342.12506103515625
2025-03-27,343.3468322753906
2025-03-28,337.4861755371094
2025-03-31,346.8632507324219
2025-04-01,348.2340393066406
2025-04-02,351.303466796875
2025-04-03,338.380126953125
2025-04-04,329.8473815917969
2025-04-07,320.65899658203125
2025-04-08,311.42095947265625
2025-04-09,334.00946044921875
2025-04-10,327.7117004394531
2025-04-11,334.5259704589844
2025-04-14,338.7476806640625
2025-04-15,334.63525390625
2025-04-16,329.07257080078125
2025-04-17,331.1585998535156
2025-04-21,320.15240478515625
2025-04-22,329.748046875
2025-04-23,329.04278564453125
2025-04-24,332.2115173339844
2025-04-25,329.4103088378906
2025-04-28,329.9864501953125
2025-04-29,345.810302734375
2025-04-30,350.5683898925781
2025-05-01,351.2835693359375
2025-05-02,357.24359130859375
2025-05-05,357.42242431640625
2025-05-06,350.1710205078125
2025-05-07,349.2373046875
2025-05-08,351.21405029296875
2025-05-09,349.5154113769531
2025-05-12,354.7701721191406
2025-05-13,353.6676025390625
2025-05-14,349.0287170410156
2025-05-15,359.0415344238281
2025-05-16,361.8787536621094
2025-05-19,360.37554931640625
2025-05-20,357.4885559082031
2025-05-21,352.3517150878906
2025-05-22,351.356201171875
2025-05-23,350.9281311035156
2025-05-27,357.70758056640625
2025-05-28,353.1381530761719
2025-05-29,354.153564453125
2025-05-30,357.1998291015625
2025-06-02,353.844970703125
2025-06-03,356.1545715332031
2025-06-04,360.59454345703125
2025-06-05,356.2740478515625
2025-06-06,355.8758239746094
2025-06-09,356.3437194824219
2025-06-10,359.1112365722656
2025-06-11,355.52740478515625
2025-06-12,354.6015625
2025-06-13,334.37274169921875
2025-06-16,334.2532653808594
2025-06-17,329.5445251464844
2025-06-18,329.9825439453125
2025-06-20,332.00341796875
2025-06-23,342.22735595703125
2025-06-24,344.13873291015625
2025-06-25,342.0780029296875
2025-06-26,340.33587646484375
2025-06-27,344.1686096191406
2025-06-30,341.8191833496094
2025-07-01,353.7055969238281
2025-07-02,350.9281311035156
2025-07-03,352.41143798828125
2025-07-07,344.7360534667969
2025-07-08,344.44732666015625
2025-07-09,349.9624938964844
2025-07-10,350.25115966796875
2025-07-11,344.37762451171875
2025-07-14,342.9540710449219
2025-07-15,337.52850341796875
2025-07-16,338.3348693847656
2025-07-17,338.37469482421875
2025-07-18,338.5439453125
2025-07-21,339.7684020996094
2025-07-22,338.5439453125
2025-07-23,341.40106201171875
2025-07-24,338.68328857421875
2025-07-25,338.5738220214844
2025-07-28,334.6514892578125
2025-07-29,335.4578552246094
2025-07-30,330.490234375
2025-07-31,329.3951721191406
2025-08-01,341.86895751953125
2025-08-04,346.2890319824219
2025-08-05,350.510009765625
2025-08-06,349.1561279296875
2025-08-07,348.35968017578125
2025-08-08,350.5797119140625
2025-08-11,352.98883056640625
2025-08-12,356.4830627441406
2025-08-13,367.17486572265625
2025-08-14,363.92950439453125
2025-08-15,363.5503845214844
2025-08-18,358.0133361816406
2025-08-19,367.0721740722656
2025-08-20,366.2740478515625
2025-08-21,363.01165771484375
2025-08-22,372.0605163574219
2025-08-25,366.14434814453125
2025-08-26,365.6055908203125
2025-08-27,366.54339599609375
2025-08-28,365.32623291015625
2025-08-29,364.97705078125
2025-09-02,360.0785217285156
2025-09-03,362.18359375
2025-09-04,364.92718505859375
2025-09-05,371.5616760253906
2025-09-08,374.35516357421875
2025-09-09,360.5374450683594
2025-09-10,356.6166076660156
2025-09-11,367.8204040527344
2025-09-12,359.26043701171875
2025-09-15,356.2474670410156
2025-09-16,352.37652587890625
2025-09-17,349.39349365234375
2025-09-18,348.7449951171875
2025-09-19,345.9914245605469
2025-09-22,345.60235595703125
2025-09-23,343.6469421386719
2025-09-24,342.1603698730469
2025-09-25,339.30706787109375
2025-09-26,341.11285400390625
2025-09-29,342.1204833984375
2025-09-30,345.45269775390625
2025-10-01,340.4244384765625
2025-10-02,343.09820556640625
2025-10-03,345.7919006347656
2025-10-06,336.12451171875
2025-10-07,336.21429443359375
2025-10-08,336.782958984375
2025-10-09,332.443115234375
2025-10-10,332.0340576171875
2025-10-13,331.38555908203125
2025-10-14,334.4883117675781
2025-10-15,331.9542541503906
2025-10-16,330.68719482421875
2025-10-17,329.9688720703125
2025-10-20,330.46771240234375
2025-10-21,337.65093994140625
2025-10-22,333.0317077636719
2025-10-23,330.9765319824219
2025-10-24,333.2212829589844
2025-10-27,335.2964172363281
2025-10-28,353.6236267089844
2025-10-29,344.9239501953125
2025-10-30,347.0888671875
2025-10-31,344.1357727050781
2025-11-03,344.83416748046875
2025-11-04,342.18035888671875
2025-11-05,334.9871520996094
2025-11-06,332.882080078125
2025-11-07,339.3669128417969
2025-11-10,341.7513427734375
2025-11-11,344.2754211425781
2025-11-12,343.9162902832031
2025-11-13,338.04998779296875
2025-11-14,332.17999267578125
2025-11-17,326.80999755859375
2025-11-18,323.8299865722656
2025-11-19,329.7799987792969
2025-11-20,328.010009765625
2025-11-21,337.05999755859375
2025-11-24,338.0
2025-11-25,342.6499938964844
2025-11-26,343.3900146484375
2025-11-28,343.69000244140625
2025-12-01,341.489990234375
2025-12-02,337.489990234375
2025-12-03,339.239990234375
2025-12-04,335.3699951171875
2025-12-05,333.1099853515625
2025-12-08,327.1300048828125
2025-12-09,321.1400146484375
2025-12-10,326.2699890136719
2025-12-11,329.29998779296875
2025-12-12,328.69000244140625
2025-12-15,328.45001220703125
2025-12-16,327.8699951171875
2025-12-17,327.95001220703125
2025-12-18,325.3599853515625
2025-12-19,320.8599853515625
2025-12-22,323.8399963378906
2025-12-23,324.04998779296875
2025-12-24,325.3500061035156
2025-12-26,325.44000244140625
2025-12-29,325.2300109863281
2025-12-30,326.1600036621094
2025-12-31,324.0299987792969
