Date,HD
2023-08-04,306.8421936035156
2023-08-07,309.4178161621094
2023-08-08,308.1393737792969
2023-08-09,308.515380859375
2023-08-10,309.634033203125
2023-08-11,311.2413635253906
2023-08-14,310.1510009765625
2023-08-15,312.2095947265625
2023-08-16,313.0462341308594
2023-08-17,307.6412048339844
2023-08-18,307.7257995605469
2023-08-21,304.61444091796875
2023-08-22,305.00921630859375
2023-08-23,306.52264404296875
2023-08-24,303.232666015625
2023-08-25,303.48638916015625
2023-08-28,306.3533935546875
2023-08-29,309.6152038574219
2023-08-30,312.77484130859375
2023-08-31,312.462646484375
2023-09-01,315.0924987792969
2023-09-05,310.0787658691406
2023-09-06,308.3948974609375
2023-09-07,310.6842041015625
2023-09-08,310.9585266113281
2023-09-11,310.6368713378906
2023-09-12,308.65972900390625
2023-09-13,308.2813720703125
2023-09-14,311.8288269042969
2023-09-15,304.04327392578125
2023-09-18,300.12689208984375
2023-09-19,297.61993408203125
2023-09-20,294.07244873046875
2023-09-21,290.1938781738281
2023-09-22,289.2195129394531
2023-09-25,289.9384765625
2023-09-26,286.2018127441406
2023-09-27,285.5206604003906
2023-09-28,287.1004943847656
2023-09-29,285.8423156738281
2023-10-02,283.6380920410156
2023-10-03,276.17425537109375
2023-10-04,276.5998840332031
2023-10-05,275.94720458984375
2023-10-06,277.0067138671875
2023-10-09,279.4095153808594
2023-10-10,283.0610656738281
2023-10-11,281.9542236328125
2023-10-12,277.1958923339844
2023-10-13,276.1553039550781
2023-10-16,281.27313232421875
2023-10-17,279.9582214355469
2023-10-18,274.5660400390625
2023-10-19,271.28338623046875
2023-10-20,270.9428405761719
2023-10-23,269.67523193359375
2023-10-24,268.0102844238281
2023-10-25,265.7588195800781
2023-10-26,262.987060546875
2023-10-27,261.5301818847656
2023-10-30,266.27911376953125
2023-10-31,269.31573486328125
2023-11-01,271.1509704589844
2023-11-02,278.6243591308594
2023-11-03,279.6460266113281
2023-11-06,278.6622009277344
2023-11-07,278.8514099121094
2023-11-08,279.9393005371094
2023-11-09,272.3240051269531
2023-11-10,275.8431396484375
2023-11-13,272.51324462890625
2023-11-14,287.23291015625
2023-11-15,291.54669189453125
2023-11-16,289.8912353515625
2023-11-17,290.67633056640625
2023-11-20,291.54669189453125
2023-11-21,288.8506164550781
2023-11-22,292.5021057128906
2023-11-24,293.921142578125
2023-11-27,294.1292724609375
2023-11-28,296.4184875488281
2023-11-29,296.199462890625
2023-11-30,298.5517883300781
2023-12-01,304.3896789550781
2023-12-04,308.58001708984375
2023-12-05,308.0848083496094
2023-12-06,310.57037353515625
2023-12-07,310.62762451171875
2023-12-08,310.913330078125
2023-12-11,315.54168701171875
2023-12-12,317.32257080078125
2023-12-13,327.03656005859375
2023-12-14,335.0458068847656
2023-12-15,337.1314392089844
2023-12-18,334.09344482421875
2023-12-19,335.29339599609375
2023-12-20,332.0458984375
2023-12-21,332.34112548828125
2023-12-22,331.979248046875
2023-12-26,332.6649475097656
2023-12-27,331.922119140625
2023-12-28,330.8078308105469
