Date,ABBV
2023-06-02,123.93560028076172
2023-06-05,123.92655944824219
2023-06-06,122.6316909790039
2023-06-07,123.60057830810547
2023-06-08,124.63282775878906
2023-06-09,125.12178802490234
2023-06-12,124.71430206298828
2023-06-13,125.239501953125
2023-06-14,123.35608673095703
2023-06-15,123.04821014404297
2023-06-16,125.53832244873047
2023-06-20,124.79582977294922
2023-06-21,123.92655944824219
2023-06-22,124.42456817626953
2023-06-23,123.07537841796875
2023-06-26,122.19705963134766
2023-06-27,120.06912231445312
2023-06-28,119.98761749267578
2023-06-29,120.63957214355469
2023-06-30,121.9978256225586
2023-07-03,122.25135803222656
2023-07-05,124.61471557617188
2023-07-06,124.27969360351562
2023-07-07,122.69507598876953
2023-07-10,121.78050231933594
2023-07-11,122.75845336914062
2023-07-12,122.2242202758789
2023-07-13,122.3066177368164
2023-07-14,124.5221939086914
2023-07-17,123.44186401367188
2023-07-18,125.04407501220703
2023-07-19,126.0511245727539
2023-07-20,130.18023681640625
2023-07-21,131.59930419921875
2023-07-24,131.08660888671875
2023-07-25,129.66754150390625
2023-07-26,129.91470336914062
2023-07-27,136.27772521972656
2023-07-28,138.1087646484375
2023-07-31,136.946044921875
2023-08-01,135.9938507080078
2023-08-02,136.76295471191406
2023-08-03,136.4608154296875
2023-08-04,135.2522735595703
2023-08-07,137.6326904296875
2023-08-08,136.982666015625
2023-08-09,138.03555297851562
2023-08-10,138.64892578125
2023-08-11,139.32644653320312
2023-08-14,139.40884399414062
2023-08-15,139.27149963378906
2023-08-16,138.74964904785156
2023-08-17,137.34889221191406
2023-08-18,137.45875549316406
2023-08-21,137.47703552246094
2023-08-22,135.71922302246094
2023-08-23,134.65719604492188
2023-08-24,134.24520874023438
2023-08-25,134.30015563964844
2023-08-28,134.9776153564453
2023-08-29,135.1240997314453
2023-08-30,135.79244995117188
2023-08-31,134.54734802246094
2023-09-01,135.68258666992188
2023-09-05,133.75999450683594
2023-09-06,133.31137084960938
2023-09-07,136.33262634277344
2023-09-08,136.43331909179688
2023-09-11,136.45162963867188
2023-09-12,136.66221618652344
2023-09-13,138.39259338378906
2023-09-14,140.66311645507812
2023-09-15,139.27149963378906
2023-09-18,140.9377899169922
2023-09-19,140.52578735351562
2023-09-20,140.6356658935547
2023-09-21,140.47084045410156
2023-09-22,139.83917236328125
2023-09-25,141.58779907226562
2023-09-26,140.9103240966797
2023-09-27,140.19619750976562
2023-09-28,139.3905029296875
2023-09-29,136.469970703125
2023-10-02,135.72837829589844
2023-10-03,134.9776153564453
2023-10-04,135.2156982421875
2023-10-05,134.99594116210938
2023-10-06,135.71922302246094
2023-10-09,136.51573181152344
2023-10-10,136.3143310546875
2023-10-11,136.72628784179688
2023-10-12,137.13316345214844
2023-10-13,136.81875610351562
2023-10-16,136.1437225341797
2023-10-17,137.9468994140625
2023-10-18,138.0393829345703
2023-10-19,134.56253051757812
2023-10-20,135.2190399169922
2023-10-23,133.83200073242188
2023-10-24,135.2930450439453
2023-10-25,134.32208251953125
2023-10-26,134.26661682128906
2023-10-27,128.46871948242188
2023-10-30,131.2058563232422
2023-10-31,130.54928588867188
2023-11-01,131.7421875
2023-11-02,132.47268676757812
2023-11-03,130.771240234375
2023-11-06,130.56777954101562
2023-11-07,131.4555206298828
2023-11-08,131.3353271484375
2023-11-09,127.64573669433594
2023-11-10,128.1543426513672
2023-11-13,128.20057678222656
2023-11-14,127.66422271728516
2023-11-15,127.2388687133789
2023-11-16,127.86767578125
2023-11-17,127.88619232177734
2023-11-20,127.8954086303711
2023-11-21,128.28379821777344
2023-11-22,128.04336547851562
2023-11-24,128.22828674316406
2023-11-27,128.61668395996094
2023-11-28,127.68273162841797
2023-11-29,128.0711212158203
2023-11-30,131.66819763183594
2023-12-01,132.61138916015625
2023-12-04,133.29566955566406
2023-12-05,133.68405151367188
2023-12-06,135.35777282714844
2023-12-07,136.82803344726562
2023-12-08,138.0393829345703
2023-12-11,139.85182189941406
2023-12-12,141.70120239257812
2023-12-13,142.681396484375
2023-12-14,143.2177276611328
2023-12-15,142.44097900390625
2023-12-18,141.86764526367188
2023-12-19,142.0341033935547
2023-12-20,140.26791381835938
2023-12-21,141.10015869140625
2023-12-22,143.27320861816406
2023-12-26,142.977294921875
2023-12-27,143.2177276611328
2023-12-28,143.0975341796875
2023-12-29,143.30093383789062
2024-01-02,147.78573608398438
2024-01-03,148.37754821777344
2024-01-04,149.30227661132812
2024-01-05,149.93106079101562
2024-01-08,149.2744903564453
2024-01-09,150.08824157714844
2024-01-10,152.47398376464844
2024-01-11,151.4475555419922
2024-01-12,151.6062469482422
2024-01-16,150.7473907470703
2024-01-17,151.27015686035156
2024-01-18,152.4464569091797
2024-01-19,153.81874084472656
2024-01-22,154.39755249023438
2024-01-23,156.3673095703125
2024-01-24,153.3052978515625
2024-01-25,154.15481567382812
2024-01-26,153.47332763671875
2024-01-29,153.01589965820312
2024-01-30,153.95877075195312
2024-01-31,153.47332763671875
2024-02-01,156.4512939453125
2024-02-02,157.45953369140625
2024-02-05,159.87738037109375
2024-02-06,161.77247619628906
2024-02-07,163.37815856933594
2024-02-08,163.1727752685547
2024-02-09,162.50997924804688
2024-02-12,161.56712341308594
2024-02-13,161.77247619628906
2024-02-14,162.82736206054688
2024-02-15,164.8531036376953
2024-02-16,165.6933135986328
2024-02-20,164.0689697265625
2024-02-21,163.49951171875
2024-02-22,165.0024871826172
2024-02-23,166.25344848632812
2024-02-26,166.9255828857422
2024-02-27,167.0936279296875
2024-02-28,166.16941833496094
2024-02-29,164.34902954101562
2024-03-01,167.01893615722656
2024-03-04,165.28256225585938
2024-03-05,167.25233459472656
2024-03-06,169.0260467529297
2024-03-07,168.56863403320312
2024-03-08,166.9629364013672
2024-03-11,167.69107055664062
2024-03-12,168.89535522460938
2024-03-13,167.9058074951172
2024-03-14,169.15673828125
2024-03-15,166.05738830566406
2024-03-18,166.62686157226562
2024-03-19,167.71910095214844
2024-03-20,164.5543975830078
2024-03-21,165.70265197753906
2024-03-22,166.5895233154297
2024-03-25,166.66419982910156
2024-03-26,167.28033447265625
2024-03-27,168.3632354736328
2024-03-28,169.99693298339844
2024-04-01,168.74595642089844
2024-04-02,168.68064880371094
2024-04-03,165.5439453125
2024-04-04,156.74069213867188
2024-04-05,158.7011260986328
2024-04-08,158.514404296875
2024-04-09,158.83181762695312
2024-04-10,157.79556274414062
2024-04-11,156.38597106933594
2024-04-12,152.90904235839844
2024-04-15,152.33425903320312
2024-04-16,153.15402221679688
2024-04-17,154.7652587890625
2024-04-18,155.151611328125
2024-04-19,156.800537109375
2024-04-22,158.19508361816406
2024-04-23,159.7498016357422
2024-04-24,158.11029052734375
2024-04-25,157.6297149658203
2024-04-26,150.40264892578125
2024-04-29,152.1929168701172
2024-04-30,153.24827575683594
2024-05-01,152.38137817382812
2024-05-02,151.52389526367188
2024-05-03,154.3318328857422
2024-05-06,153.33306884765625
2024-05-07,153.1634521484375
2024-05-08,151.1846923828125
2024-05-09,151.13758850097656
2024-05-10,151.46739196777344
2024-05-13,151.96681213378906
2024-05-14,152.25889587402344
2024-05-15,154.3318328857422
2024-05-16,154.85952758789062
2024-05-17,156.8099822998047
2024-05-20,155.057373046875
2024-05-21,153.521484375
2024-05-22,150.39321899414062
2024-05-23,149.1211700439453
2024-05-24,147.990478515625
2024-05-28,146.3697967529297
2024-05-29,145.85154724121094
2024-05-30,147.28378295898438
2024-05-31,151.92910766601562
2024-06-03,150.93971252441406
2024-06-04,152.77713012695312
2024-06-05,155.88658142089844
2024-06-06,158.8358154296875
2024-06-07,159.63674926757812
2024-06-10,160.61666870117188
2024-06-11,158.0160369873047
2024-06-12,156.4990234375
2024-06-13,156.94187927246094
2024-06-14,158.8546600341797
2024-06-17,159.8817138671875
2024-06-18,161.4647216796875
2024-06-20,162.1902618408203
2024-06-21,160.55072021484375
2024-06-24,162.7650146484375
2024-06-25,160.8899383544922
2024-06-26,161.26683044433594
2024-06-27,159.2315673828125
2024-06-28,161.615478515625
2024-07-01,160.5318603515625
2024-07-02,156.37655639648438
2024-07-03,154.3789520263672
2024-07-05,157.592041015625
2024-07-08,156.90420532226562
2024-07-09,158.3458251953125
2024-07-10,158.4306640625
2024-07-11,160.0984344482422
2024-07-12,160.44708251953125
2024-07-15,159.7814178466797
2024-07-16,160.8939971923828
2024-07-17,166.66603088378906
2024-07-18,162.73876953125
2024-07-19,163.86085510253906
2024-07-22,165.08753967285156
2024-07-23,164.65008544921875
2024-07-24,167.55987548828125
2024-07-25,173.22731018066406
2024-07-26,176.07052612304688
2024-07-29,173.00860595703125
2024-07-30,177.61099243164062
2024-07-31,176.22265625
2024-08-01,180.3971710205078
2024-08-02,179.99778747558594
2024-08-05,175.30979919433594
2024-08-06,176.59352111816406
2024-08-07,178.30517578125
2024-08-08,181.05331420898438
2024-08-09,180.6063690185547
2024-08-12,180.84408569335938
2024-08-13,181.84255981445312
2024-08-14,183.5256805419922
2024-08-15,183.90602111816406
2024-08-16,184.38148498535156
2024-08-19,187.20567321777344
2024-08-20,186.52101135253906
2024-08-21,186.8823699951172
2024-08-22,186.730224609375
2024-08-23,187.85231018066406
2024-08-26,187.74769592285156
2024-08-27,186.3023223876953
2024-08-28,185.80783081054688
2024-08-29,185.5986328125
2024-08-30,186.6731719970703
2024-09-03,187.98544311523438
2024-09-04,187.33880615234375
2024-09-05,183.39256286621094
2024-09-06,183.90602111816406
2024-09-09,186.77777099609375
2024-09-10,189.56394958496094
2024-09-11,185.03761291503906
2024-09-12,184.49560546875
2024-09-13,184.67628479003906
2024-09-16,186.12164306640625
2024-09-17,183.95358276367188
2024-09-18,183.46861267089844
2024-09-19,184.115234375
2024-09-20,183.97259521484375
2024-09-23,184.31492614746094
2024-09-24,184.01063537597656
2024-09-25,181.87107849121094
2024-09-26,182.47964477539062
2024-09-27,185.22779846191406
2024-09-30,187.78573608398438
2024-10-01,187.29127502441406
2024-10-02,187.15814208984375
2024-10-03,185.8553924560547
2024-10-04,184.7523651123047
2024-10-07,184.10572814941406
2024-10-08,183.53517150878906
2024-10-09,185.18975830078125
2024-10-10,184.8093719482422
2024-10-11,184.65725708007812
2024-10-14,186.04556274414062
2024-10-15,183.89852905273438
2024-10-16,182.55661010742188
2024-10-17,180.74505615234375
2024-10-18,181.0230255126953
2024-10-21,178.79928588867188
2024-10-22,180.9271697998047
2024-10-23,180.08367919921875
2024-10-24,181.78024291992188
2024-10-25,180.054931640625
2024-10-28,181.80899047851562
2024-10-29,181.58853149414062
2024-10-30,193.1385040283203
2024-10-31,195.41017150878906
2024-11-01,195.10345458984375
2024-11-04,192.1512451171875
2024-11-05,193.31101989746094
2024-11-06,192.85093688964844
2024-11-07,192.1895751953125
2024-11-08,191.22146606445312
2024-11-11,167.1918182373047
2024-11-12,163.99038696289062
2024-11-13,163.28109741210938
2024-11-14,162.59100341796875
2024-11-15,158.14353942871094
2024-11-18,159.37998962402344
2024-11-19,159.657958984375
2024-11-20,160.798583984375
2024-11-21,164.6038360595703
2024-11-22,169.60720825195312
2024-11-25,169.71266174316406
2024-11-26,173.62338256835938
2024-11-27,175.4828643798828
2024-11-29,175.33908081054688
2024-12-02,174.2272186279297
2024-12-03,173.96841430664062
2024-12-04,169.1375732421875
2024-12-05,168.85958862304688
2024-12-06,168.87875366210938
2024-12-09,169.24301147460938
2024-12-10,168.38034057617188
2024-12-11,167.13429260253906
2024-12-12,166.00326538085938
2024-12-13,166.17579650878906
2024-12-16,164.5080108642578
2024-12-17,168.1023712158203
2024-12-18,165.84033203125
2024-12-19,164.40257263183594
2024-12-20,168.29408264160156
2024-12-23,170.98748779296875
2024-12-24,172.5306854248047
2024-12-26,171.76385498046875
2024-12-27,170.62322998046875
2024-12-30,168.8883514404297
2024-12-31,170.3260955810547
2025-01-02,171.99391174316406
2025-01-03,173.70004272460938
2025-01-06,172.6265106201172
2025-01-07,172.08016967773438
2025-01-08,171.09292602539062
2025-01-10,167.90110778808594
2025-01-13,169.40594482421875
2025-01-14,168.26531982421875
2025-01-15,165.78842163085938
2025-01-16,168.06214904785156
2025-01-17,165.99160766601562
2025-01-21,167.0075225830078
2025-01-22,163.7082061767578
2025-01-23,165.13047790527344
2025-01-24,164.7725067138672
2025-01-27,171.1582794189453
2025-01-28,169.13612365722656
2025-01-29,169.57150268554688
2025-01-30,169.94883728027344
2025-01-31,177.9310760498047
2025-02-03,183.9685516357422
2025-02-04,183.7847137451172
2025-02-05,185.5262908935547
2025-02-06,186.7067108154297
2025-02-07,184.4136199951172
2025-02-10,184.1620635986328
2025-02-11,185.60369873046875
2025-02-12,186.73573303222656
2025-02-13,187.17111206054688
2025-02-14,186.6099395751953
2025-02-18,189.88023376464844
2025-02-19,190.94451904296875
2025-02-20,194.35997009277344
2025-02-21,195.52101135253906
