Date,UNH
2023-11-09,516.1751098632812
2023-11-10,518.29150390625
2023-11-13,519.5939331054688
2023-11-14,517.5733032226562
2023-11-15,515.610107421875
2023-11-16,516.9603271484375
2023-11-17,513.579833984375
2023-11-20,512.4402465820312
2023-11-21,516.7401733398438
2023-11-22,520.7335815429688
2023-11-24,523.93212890625
2023-11-27,520.5706787109375
2023-11-28,517.640380859375
2023-11-29,512.3253784179688
2023-11-30,529.553466796875
2023-12-01,525.777099609375
2023-12-04,526.8533325195312
2023-12-05,528.756103515625
2023-12-06,528.0545043945312
2023-12-07,526.8436889648438
2023-12-08,528.2850952148438
2023-12-11,522.43310546875
2023-12-12,524.3933715820312
2023-12-13,527.5548095703125
2023-12-14,513.3619995117188
2023-12-15,510.36395263671875
2023-12-18,505.9725036621094
2023-12-19,503.560546875
2023-12-20,495.767578125
2023-12-21,499.56317138671875
2023-12-22,499.9764099121094
2023-12-26,499.7074279785156
2023-12-27,502.3594665527344
2023-12-28,504.3870544433594
2023-12-29,505.8956604003906
2024-01-02,518.2627563476562
2024-01-03,520.8475952148438
2024-01-04,524.1051025390625
2024-01-05,516.37939453125
2024-01-08,515.5529174804688
2024-01-09,517.3306884765625
2024-01-10,516.629150390625
2024-01-11,518.5894165039062
2024-01-12,501.12945556640625
2024-01-16,498.8617858886719
2024-01-17,504.4254150390625
2024-01-18,496.1615295410156
2024-01-19,483.8809509277344
2024-01-22,492.94244384765625
2024-01-23,495.3736877441406
2024-01-24,493.1730651855469
2024-01-25,474.1180114746094
2024-01-26,483.53509521484375
2024-01-29,484.8227233886719
2024-01-30,483.92901611328125
2024-01-31,491.7413330078125
2024-02-01,487.3211669921875
2024-02-02,490.29034423828125
2024-02-05,483.304443359375
2024-02-06,490.7131652832031
2024-02-07,499.09234619140625
2024-02-08,499.7650451660156
2024-02-09,497.968017578125
2024-02-12,497.4107971191406
2024-02-13,496.651611328125
2024-02-14,496.7381286621094
2024-02-15,500.5241394042969
2024-02-16,501.1679382324219
2024-02-20,500.6971435546875
2024-02-21,501.57147216796875
2024-02-22,505.9245300292969
2024-02-23,506.63555908203125
2024-02-26,504.79058837890625
2024-02-27,493.35565185546875
2024-02-28,478.80731201171875
2024-02-29,474.3102111816406
2024-03-01,470.3992614746094
2024-03-04,463.0386657714844
2024-03-05,454.65936279296875
2024-03-06,454.13092041015625
2024-03-07,460.06939697265625
2024-03-08,459.7510681152344
2024-03-11,471.8870544433594
2024-03-12,472.08001708984375
2024-03-13,470.7776794433594
2024-03-14,471.74237060546875
2024-03-15,473.4981689453125
2024-03-18,469.8611755371094
2024-03-19,475.909912109375
2024-03-20,476.78778076171875
2024-03-21,474.3374328613281
2024-03-22,472.77459716796875
2024-03-25,468.73248291015625
2024-03-26,474.935546875
2024-03-27,475.69769287109375
2024-03-28,477.2412109375
2024-04-01,472.41766357421875
2024-04-02,441.97149658203125
2024-04-03,443.5150451660156
2024-04-04,439.30889892578125
2024-04-05,439.65618896484375
2024-04-08,439.9069519042969
2024-04-09,443.49566650390625
2024-04-10,434.1669616699219
2024-04-11,426.1309509277344
2024-04-12,423.69989013671875
2024-04-15,429.9029541015625
2024-04-16,452.34210205078125
2024-04-17,462.0856018066406
2024-04-18,475.7748107910156
2024-04-19,483.44427490234375
2024-04-22,473.8936767578125
2024-04-23,469.02191162109375
2024-04-24,470.1023254394531
2024-04-25,476.4308166503906
2024-04-26,477.8682556152344
2024-04-29,471.7713623046875
2024-04-30,466.62945556640625
2024-05-01,467.0249328613281
2024-05-02,475.5722351074219
2024-05-03,475.07061767578125
2024-05-06,476.9324951171875
2024-05-07,483.2802734375
2024-05-08,485.4508972167969
2024-05-09,489.13604736328125
2024-05-10,494.7120666503906
2024-05-13,493.6798095703125
2024-05-14,495.74432373046875
2024-05-15,499.2847900390625
