Date,LIN
2023-05-10,356.0353698730469
2023-05-11,354.24017333984375
2023-05-12,357.41546630859375
2023-05-15,355.9388427734375
2023-05-16,353.13995361328125
2023-05-17,352.281005859375
2023-05-18,355.35009765625
2023-05-19,358.5349426269531
2023-05-22,353.61285400390625
2023-05-23,341.59698486328125
2023-05-24,342.4849853515625
2023-05-25,344.1546325683594
2023-05-26,343.787841796875
2023-05-30,342.533203125
2023-05-31,341.3267822265625
2023-06-01,344.3343505859375
2023-06-02,349.1580505371094
2023-06-05,351.42462158203125
2023-06-06,348.4510192871094
2023-06-07,350.9209899902344
2023-06-08,350.8434753417969
2023-06-09,349.43896484375
2023-06-12,350.64984130859375
2023-06-13,361.5467224121094
2023-06-14,362.5638122558594
2023-06-15,364.6269226074219
2023-06-16,363.5130310058594
2023-06-20,357.1104736328125
2023-06-21,359.0186462402344
2023-06-22,360.94622802734375
2023-06-23,358.96051025390625
2023-06-26,359.0767822265625
2023-06-27,363.9585876464844
2023-06-28,363.2030944824219
2023-06-29,367.2906188964844
2023-06-30,369.1213073730469
2023-07-03,366.2929382324219
2023-07-05,355.7156677246094
2023-07-06,353.0907287597656
2023-07-07,353.07135009765625
2023-07-10,356.01593017578125
2023-07-11,355.3281555175781
2023-07-12,362.8447265625
2023-07-13,365.3050231933594
2023-07-14,366.6997985839844
2023-07-17,370.1189880371094
2023-07-18,372.21124267578125
2023-07-19,362.9512023925781
2023-07-20,369.6250305175781
2023-07-21,372.4727478027344
2023-07-24,372.6180419921875
2023-07-25,378.76873779296875
2023-07-26,376.0275573730469
2023-07-27,372.5599060058594
2023-07-28,376.51190185546875
2023-07-31,378.41046142578125
2023-08-01,376.444091796875
2023-08-02,371.73663330078125
2023-08-03,368.8017578125
2023-08-04,365.963623046875
2023-08-07,372.8893127441406
2023-08-08,369.7993469238281
2023-08-09,367.6490478515625
2023-08-10,370.3224182128906
2023-08-11,369.8381042480469
2023-08-14,370.1771545410156
2023-08-15,367.47467041015625
2023-08-16,365.9442443847656
2023-08-17,364.54937744140625
2023-08-18,363.3289794921875
2023-08-21,365.64404296875
2023-08-22,365.7408752441406
2023-08-23,366.47705078125
2023-08-24,366.0798645019531
2023-08-25,369.6153259277344
2023-08-28,370.08026123046875
2023-08-29,374.7102355957031
2023-08-30,374.9427795410156
2023-08-31,374.8943176269531
2023-09-01,377.95062255859375
2023-09-05,370.8467102050781
2023-09-06,372.489013671875
2023-09-07,375.72515869140625
2023-09-08,375.9098815917969
2023-09-11,378.3783264160156
2023-09-12,376.98858642578125
2023-09-13,374.296630859375
2023-09-14,378.8155822753906
2023-09-15,377.05657958984375
2023-09-18,376.6095886230469
2023-09-19,378.7961120605469
2023-09-20,368.1450500488281
2023-09-21,361.9447326660156
2023-09-22,362.4404602050781
2023-09-25,365.9584045410156
2023-09-26,360.73974609375
2023-09-27,361.52691650390625
2023-09-28,362.9651794433594
2023-09-29,361.85736083984375
2023-10-02,359.7776184082031
2023-10-03,362.32379150390625
2023-10-04,367.9409484863281
2023-10-05,359.4374694824219
2023-10-06,363.0137634277344
2023-10-09,363.1984558105469
2023-10-10,368.28106689453125
2023-10-11,367.9992370605469
2023-10-12,367.0663146972656
2023-10-13,367.2412109375
2023-10-16,368.55316162109375
2023-10-17,370.35101318359375
2023-10-18,360.9341125488281
2023-10-19,359.7095642089844
2023-10-20,356.0361633300781
2023-10-23,355.13232421875
2023-10-24,356.9107360839844
2023-10-25,354.1119384765625
2023-10-26,359.884521484375
2023-10-27,360.0885925292969
2023-10-30,368.1935729980469
2023-10-31,371.3908996582031
2023-11-01,376.1916809082031
2023-11-02,378.6795654296875
2023-11-03,381.4492492675781
2023-11-06,381.9254150390625
2023-11-07,378.32965087890625
2023-11-08,381.206298828125
2023-11-09,379.96234130859375
2023-11-10,388.5726623535156
2023-11-13,388.4852294921875
2023-11-14,392.3822326660156
2023-11-15,391.400634765625
2023-11-16,396.8817443847656
2023-11-17,396.3860778808594
2023-11-20,396.7651062011719
2023-11-21,400.30255126953125
2023-11-22,400.0207214355469
2023-11-24,402.5474548339844
2023-11-27,401.1674499511719
2023-11-28,399.15582275390625
2023-11-29,399.7972106933594
2023-11-30,402.110107421875
2023-12-01,401.33514404296875
2023-12-04,396.402587890625
2023-12-05,393.79974365234375
2023-12-06,390.2319030761719
2023-12-07,388.6136779785156
2023-12-08,391.1677551269531
2023-12-11,397.9622497558594
2023-12-12,415.9770202636719
2023-12-13,398.4496765136719
2023-12-14,399.4049987792969
2023-12-15,397.1239013671875
2023-12-18,398.8006591796875
2023-12-19,401.71533203125
2023-12-20,396.1295471191406
2023-12-21,398.829833984375
2023-12-22,400.3993225097656
2023-12-26,399.6097106933594
2023-12-27,400.8575134277344
2023-12-28,399.4537658691406
2023-12-29,400.3700866699219
2024-01-02,399.2685241699219
2024-01-03,398.4204406738281
2024-01-04,398.3034362792969
2024-01-05,398.8200988769531
2024-01-08,398.01104736328125
2024-01-09,396.4512939453125
2024-01-10,395.6617126464844
2024-01-11,395.73968505859375
2024-01-12,398.62518310546875
2024-01-16,396.4123229980469
2024-01-17,396.509765625
2024-01-18,397.5820617675781
2024-01-19,397.1239013671875
2024-01-22,396.2368469238281
2024-01-23,397.62109375
2024-01-24,391.177490234375
2024-01-25,393.3123779296875
2024-01-26,393.8680114746094
2024-01-29,395.39849853515625
2024-01-30,397.5820617675781
2024-01-31,394.6381530761719
2024-02-01,398.3619079589844
