Date,TRV
2024-10-14,235.28216552734375
2024-10-15,236.02685546875
2024-10-16,238.05514526367188
2024-10-17,259.4845275878906
2024-10-18,260.1018371582031
2024-10-21,254.46768188476562
2024-10-22,253.99734497070312
2024-10-23,252.16500854492188
2024-10-24,251.25375366210938
2024-10-25,245.4530029296875
2024-10-28,247.28533935546875
2024-10-29,243.65989685058594
2024-10-30,245.05125427246094
2024-10-31,240.9849090576172
2024-11-01,240.69094848632812
2024-11-04,237.91795349121094
2024-11-05,239.9070587158203
2024-11-06,248.83351135253906
2024-11-07,247.19715881347656
2024-11-08,251.71429443359375
2024-11-11,253.15463256835938
2024-11-12,252.79212951660156
2024-11-13,251.4987335205078
2024-11-14,251.3517303466797
2024-11-15,255.56507873535156
2024-11-18,257.3974304199219
2024-11-19,254.04632568359375
2024-11-20,252.00823974609375
2024-11-21,255.5552978515625
2024-11-22,257.181884765625
2024-11-25,255.95704650878906
2024-11-26,258.45562744140625
2024-11-27,261.2874450683594
2024-11-29,260.679931640625
2024-12-02,258.2008972167969
2024-12-03,255.33975219726562
2024-12-04,256.5057373046875
2024-12-05,257.9559631347656
2024-12-06,255.888427734375
2024-12-09,246.84442138671875
2024-12-10,243.67608642578125
2024-12-11,241.20635986328125
2024-12-12,239.96656799316406
2024-12-13,242.3477325439453
2024-12-16,242.31822204589844
2024-12-17,239.7304229736328
2024-12-18,232.24253845214844
2024-12-19,233.8955841064453
2024-12-20,236.89663696289062
2024-12-23,237.4870147705078
2024-12-24,238.98263549804688
2024-12-26,239.8189697265625
2024-12-27,237.53622436523438
2024-12-30,236.0209197998047
2024-12-31,237.02455139160156
2025-01-02,237.02455139160156
2025-01-03,238.40208435058594
2025-01-06,237.99867248535156
2025-01-07,237.80186462402344
2025-01-08,238.8743896484375
2025-01-10,228.70028686523438
2025-01-13,229.58587646484375
2025-01-14,233.12808227539062
2025-01-15,236.129150390625
2025-01-16,238.48081970214844
2025-01-17,235.6765594482422
2025-01-21,235.3223114013672
2025-01-22,242.76101684570312
2025-01-23,237.6345977783203
2025-01-24,237.97898864746094
2025-01-27,246.98214721679688
2025-01-28,244.4435577392578
2025-01-29,245.51608276367188
2025-01-30,245.0929718017578
2025-01-31,241.24569702148438
2025-02-03,240.67501831054688
2025-02-04,240.1436767578125
2025-02-05,242.38710021972656
2025-02-06,243.66622924804688
2025-02-07,241.2555694580078
2025-02-10,238.52999877929688
2025-02-11,238.4611358642578
2025-02-12,236.79824829101562
2025-02-13,239.11053466796875
2025-02-14,234.4761199951172
2025-02-18,234.5745086669922
2025-02-19,238.4611358642578
2025-02-20,237.36892700195312
2025-02-21,236.17835998535156
2025-02-24,244.25660705566406
2025-02-25,248.4580841064453
2025-02-26,244.85682678222656
2025-02-27,250.70150756835938
2025-02-28,254.34213256835938
2025-03-03,256.6544189453125
2025-03-04,251.59690856933594
2025-03-05,253.88949584960938
2025-03-06,251.91175842285156
2025-03-07,253.56483459472656
2025-03-10,253.52528381347656
2025-03-11,251.49993896484375
2025-03-12,248.96084594726562
2025-03-13,252.8633575439453
2025-03-14,257.77362060546875
2025-03-17,261.9429016113281
2025-03-18,257.3685302734375
2025-03-19,258.1786804199219
2025-03-20,256.4200744628906
2025-03-21,253.61422729492188
2025-03-24,256.3212585449219
2025-03-25,256.3311767578125
2025-03-26,259.1073913574219
2025-03-27,259.5223388671875
2025-03-28,258.6430358886719
2025-03-31,261.2809143066406
2025-04-01,261.3599853515625
2025-04-02,261.310546875
2025-04-03,259.93731689453125
2025-04-04,239.34779357910156
2025-04-07,231.01913452148438
2025-04-08,233.68667602539062
2025-04-09,245.1175994873047
2025-04-10,242.2228240966797
2025-04-11,242.1833038330078
2025-04-14,247.8246612548828
2025-04-15,246.65884399414062
2025-04-16,249.4449462890625
2025-04-17,252.78431701660156
2025-04-21,246.5896759033203
2025-04-22,258.1687927246094
2025-04-23,255.96559143066406
2025-04-24,257.26971435546875
2025-04-25,256.0446472167969
2025-04-28,258.4651794433594
2025-04-29,260.8758544921875
2025-04-30,260.95489501953125
2025-05-01,258.30712890625
2025-05-02,264.1954650878906
2025-05-05,264.32391357421875
2025-05-06,264.8277893066406
2025-05-07,265.6280517578125
2025-05-08,267.5644836425781
2025-05-09,266.5073547363281
2025-05-12,264.837646484375
2025-05-13,261.7354431152344
2025-05-14,259.43341064453125
2025-05-15,267.6435241699219
2025-05-16,270.3407287597656
2025-05-19,271.2397766113281
2025-05-20,270.41973876953125
2025-05-21,267.8905029296875
2025-05-22,267.8213195800781
2025-05-23,267.7818298339844
2025-05-27,272.56365966796875
2025-05-28,270.3604736328125
2025-05-29,271.1112976074219
2025-05-30,272.3858337402344
2025-06-02,273.01812744140625
2025-06-03,272.7513732910156
2025-06-04,268.59197998046875
2025-06-05,267.7620544433594
2025-06-06,270.3999938964844
2025-06-09,264.5610046386719
2025-06-10,260.9102783203125
2025-06-11,259.1940002441406
2025-06-12,263.8368225097656
2025-06-13,261.37652587890625
2025-06-16,263.03326416015625
2025-06-17,262.30908203125
2025-06-18,262.7951354980469
2025-06-20,262.8745422363281
2025-06-23,265.4935302734375
2025-06-24,264.02532958984375
2025-06-25,258.7376403808594
2025-06-26,260.86065673828125
2025-06-27,261.2178039550781
2025-06-30,265.4141845703125
2025-07-01,264.87847900390625
2025-07-02,255.2952117919922
2025-07-03,262.0312805175781
2025-07-07,256.9320983886719
2025-07-08,254.352783203125
2025-07-09,253.29129028320312
2025-07-10,253.95596313476562
2025-07-11,252.4579620361328
2025-07-14,253.44009399414062
2025-07-15,248.6286163330078
2025-07-16,250.1861572265625
2025-07-17,259.7297058105469
2025-07-18,263.8566589355469
2025-07-21,261.1483459472656
2025-07-22,264.6602478027344
2025-07-23,262.63641357421875
2025-07-24,259.90826416015625
2025-07-25,258.9757385253906
2025-07-28,252.88453674316406
2025-07-29,257.7555236816406
2025-07-30,256.8626708984375
2025-07-31,258.17218017578125
2025-08-01,256.2674560546875
2025-08-04,260.9102783203125
2025-08-05,263.0630187988281
2025-08-06,265.453857421875
2025-08-07,263.2514953613281
2025-08-08,262.765380859375
2025-08-11,262.1602478027344
2025-08-12,261.8328857421875
2025-08-13,267.1601867675781
2025-08-14,266.4558410644531
2025-08-15,263.47967529296875
2025-08-18,262.8150329589844
2025-08-19,266.7336120605469
2025-08-20,272.20977783203125
2025-08-21,272.7355651855469
2025-08-22,274.09466552734375
2025-08-25,270.1760559082031
2025-08-26,268.7375793457031
2025-08-27,270.04705810546875
2025-08-28,268.1324157714844
2025-08-29,269.3526611328125
2025-09-02,271.1780090332031
2025-09-03,274.3525695800781
2025-09-04,277.2096862792969
2025-09-05,273.0331726074219
2025-09-08,272.2990417480469
2025-09-09,271.37640380859375
2025-09-10,271.25689697265625
2025-09-11,278.32891845703125
2025-09-12,277.8309020996094
2025-09-15,275.21124267578125
2025-09-16,270.87841796875
2025-09-17,273.9462585449219
2025-09-18,276.8049621582031
2025-09-19,275.90850830078125
2025-09-22,275.0220031738281
2025-09-23,275.17144775390625
2025-09-24,275.5698547363281
2025-09-25,273.13946533203125
2025-09-26,276.66552734375
2025-09-29,275.4104919433594
2025-09-30,278.1197509765625
2025-10-01,276.1475524902344
2025-10-02,278.9365234375
2025-10-03,283.438720703125
2025-10-06,281.6159362792969
2025-10-07,283.84710693359375
2025-10-08,281.64581298828125
2025-10-09,273.3287048339844
2025-10-10,269.05560302734375
2025-10-13,269.3146057128906
2025-10-14,274.55389404296875
2025-10-15,268.3882751464844
2025-10-16,260.539306640625
2025-10-17,260.9775695800781
2025-10-20,264.2048034667969
2025-10-21,268.2786865234375
2025-10-22,267.4320373535156
2025-10-23,268.0396423339844
2025-10-24,268.8265380859375
2025-10-27,269.2747497558594
2025-10-28,267.0734558105469
2025-10-29,266.8543395996094
2025-10-30,269.9421081542969
2025-10-31,267.5615234375
2025-11-03,266.6053161621094
2025-11-04,276.1874084472656
2025-11-05,275.55987548828125
2025-11-06,275.17144775390625
2025-11-07,278.7074279785156
2025-11-10,281.27728271484375
2025-11-11,284.8929443359375
2025-11-12,285.0025329589844
2025-11-13,286.2874755859375
2025-11-14,286.157958984375
2025-11-17,283.388916015625
2025-11-18,285.7196960449219
2025-11-19,284.3451232910156
2025-11-20,286.71575927734375
2025-11-21,288.927001953125
2025-11-24,289.6939697265625
2025-11-25,292.542724609375
2025-11-26,293.3594665527344
2025-11-28,291.70599365234375
2025-12-01,289.3553161621094
2025-12-02,287.38311767578125
2025-12-03,283.14984130859375
2025-12-04,281.7354736328125
2025-12-05,279.783203125
2025-12-08,278.7671813964844
2025-12-09,278.05999755859375
2025-12-10,278.3500061035156
2025-12-11,282.8800048828125
2025-12-12,285.30999755859375
2025-12-15,290.5899963378906
2025-12-16,289.6099853515625
2025-12-17,291.2699890136719
2025-12-18,293.6499938964844
2025-12-19,292.9200134277344
2025-12-22,291.6400146484375
2025-12-23,292.4599914550781
2025-12-24,293.8399963378906
2025-12-26,292.1199951171875
2025-12-29,291.92999267578125
2025-12-30,292.3800048828125
2025-12-31,290.05999755859375
