Date,BKNG
2023-04-24,2636.54931640625
2023-04-25,2602.4375
2023-04-26,2555.5546875
2023-04-27,2596.947021484375
2023-04-28,2643.062744140625
2023-05-01,2647.765625
2023-05-02,2672.323974609375
2023-05-03,2603.608154296875
2023-05-04,2561.654541015625
2023-05-05,2527.9365234375
2023-05-08,2596.976806640625
2023-05-09,2592.48974609375
2023-05-10,2603.322998046875
2023-05-11,2613.8115234375
2023-05-12,2588.46630859375
2023-05-15,2603.470703125
2023-05-16,2603.716552734375
2023-05-17,2653.28515625
2023-05-18,2736.208251953125
2023-05-19,2720.741455078125
2023-05-22,2652.22265625
2023-05-23,2595.0283203125
2023-05-24,2583.556396484375
2023-05-25,2555.5546875
2023-05-26,2549.4150390625
2023-05-30,2488.058837890625
2023-05-31,2468.380615234375
2023-06-01,2508.947021484375
2023-06-02,2583.379150390625
2023-06-05,2627.7626953125
2023-06-06,2664.501708984375
2023-06-07,2601.61083984375
2023-06-08,2604.837890625
2023-06-09,2564.1728515625
2023-06-12,2563.396240234375
2023-06-13,2571.9658203125
2023-06-14,2567.774658203125
2023-06-15,2628.687255859375
2023-06-16,2598.472412109375
2023-06-20,2594.201904296875
2023-06-21,2601.23681640625
2023-06-22,2634.7880859375
2023-06-23,2581.68701171875
2023-06-26,2573.648193359375
2023-06-27,2656.886474609375
2023-06-28,2623.5419921875
2023-06-29,2613.15185546875
2023-06-30,2656.85693359375
2023-07-03,2676.987548828125
2023-07-05,2630.950439453125
2023-07-06,2590.305908203125
2023-07-07,2594.457763671875
2023-07-10,2684.89794921875
2023-07-11,2738.589599609375
2023-07-12,2743.577880859375
2023-07-13,2788.896240234375
2023-07-14,2820.764892578125
2023-07-17,2902.172607421875
2023-07-18,2933.608642578125
2023-07-19,2880.742919921875
2023-07-20,2870.530517578125
2023-07-21,2876.177978515625
2023-07-24,2847.17236328125
2023-07-25,2895.058837890625
2023-07-26,2910.535888671875
2023-07-27,2908.3125
2023-07-28,2963.755126953125
2023-07-31,2922.97265625
2023-08-01,2867.39208984375
2023-08-02,2838.47509765625
2023-08-03,2794.18994140625
2023-08-04,3013.845703125
2023-08-07,3190.800048828125
2023-08-08,3174.034423828125
2023-08-09,3153.06787109375
2023-08-10,3171.29931640625
2023-08-11,3154.6123046875
2023-08-14,3182.259765625
2023-08-15,3149.03369140625
2023-08-16,3143.90771484375
2023-08-17,3061.95849609375
2023-08-18,3009.191650390625
2023-08-21,3002.864990234375
2023-08-22,3024.40283203125
2023-08-23,3048.67578125
2023-08-24,2977.66748046875
2023-08-25,2993.52783203125
2023-08-28,3020.1923828125
2023-08-29,3060.777587890625
2023-08-30,3080.190185546875
2023-08-31,3055.04150390625
2023-09-01,3064.742431640625
2023-09-05,3094.013427734375
2023-09-06,3090.63916015625
2023-09-07,3053.4873046875
2023-09-08,3092.49853515625
2023-09-11,3131.44140625
2023-09-12,3122.340087890625
2023-09-13,3065.48046875
2023-09-14,3146.081787109375
2023-09-15,3109.27392578125
2023-09-18,3107.483642578125
2023-09-19,3062.63671875
2023-09-20,3019.502685546875
