Date,V
2023-06-12,221.52369689941406
2023-06-13,218.8105926513672
2023-06-14,218.84979248046875
2023-06-15,221.52369689941406
2023-06-16,224.2073974609375
2023-06-20,221.81752014160156
2023-06-21,222.5814971923828
2023-06-22,223.69810485839844
2023-06-23,224.83425903320312
2023-06-26,221.6510467529297
2023-06-27,222.66964721679688
2023-06-28,223.2769317626953
2023-06-29,229.5062713623047
2023-06-30,232.60134887695312
2023-07-03,233.08128356933594
2023-07-05,234.53086853027344
2023-07-06,233.9725799560547
2023-07-07,231.5924835205078
2023-07-10,233.26736450195312
2023-07-11,235.60829162597656
2023-07-12,237.2341766357422
2023-07-13,238.31155395507812
2023-07-14,238.1646728515625
2023-07-17,238.9776153564453
2023-07-18,235.82374572753906
2023-07-19,236.46038818359375
2023-07-20,234.69737243652344
2023-07-21,234.3349609375
2023-07-24,235.79437255859375
2023-07-25,233.7864990234375
2023-07-26,232.22915649414062
2023-07-27,229.62380981445312
2023-07-28,230.90687561035156
2023-07-31,232.84619140625
2023-08-01,234.85409545898438
2023-08-02,232.6796875
2023-08-03,233.8550567626953
2023-08-04,234.080322265625
2023-08-07,236.54855346679688
2023-08-08,234.37416076660156
2023-08-09,234.83448791503906
2023-08-10,235.6686248779297
2023-08-11,235.55084228515625
2023-08-14,238.35733032226562
2023-08-15,235.3447723388672
2023-08-16,234.81488037109375
2023-08-17,232.93080139160156
2023-08-18,233.71583557128906
2023-08-21,234.98171997070312
2023-08-22,236.07095336914062
2023-08-23,237.76861572265625
2023-08-24,234.99154663085938
2023-08-25,238.03355407714844
2023-08-28,239.26998901367188
2023-08-29,240.75173950195312
2023-08-30,241.62510681152344
2023-08-31,241.08538818359375
2023-09-01,243.46994018554688
2023-09-05,240.75173950195312
2023-09-06,241.55641174316406
2023-09-07,242.51808166503906
2023-09-08,242.66526794433594
2023-09-11,242.59654235839844
2023-09-12,242.6750946044922
2023-09-13,243.1951904296875
2023-09-14,236.9835662841797
2023-09-15,236.5615997314453
2023-09-18,240.08445739746094
2023-09-19,239.0050506591797
2023-09-20,237.33680725097656
2023-09-21,232.1850128173828
2023-09-22,230.68359375
2023-09-25,228.99578857421875
2023-09-26,225.35516357421875
2023-09-27,225.20797729492188
2023-09-28,227.32757568359375
2023-09-29,225.70843505859375
2023-10-02,226.9448699951172
2023-10-03,224.53086853027344
2023-10-04,226.8957977294922
2023-10-05,229.11355590820312
2023-10-06,230.6443634033203
2023-10-09,230.05557250976562
2023-10-10,232.17518615722656
2023-10-11,231.27239990234375
2023-10-12,232.351806640625
2023-10-13,233.2251739501953
2023-10-16,235.58029174804688
2023-10-17,236.68914794921875
2023-10-18,233.02896118164062
2023-10-19,229.43740844726562
2023-10-20,229.0154266357422
2023-10-23,227.1999969482422
2023-10-24,230.26162719726562
2023-10-25,232.4205322265625
2023-10-26,226.95468139648438
2023-10-27,224.98226928710938
2023-10-30,228.7210235595703
2023-10-31,230.70326232910156
2023-11-01,234.11817932128906
2023-11-02,238.70083618164062
2023-11-03,239.04428100585938
2023-11-06,238.9363250732422
2023-11-07,240.19239807128906
2023-11-08,239.85801696777344
2023-11-09,237.625732421875
2023-11-10,241.17578125
2023-11-13,240.6054229736328
2023-11-14,242.83770751953125
2023-11-15,243.98828125
2023-11-16,244.4406280517578
2023-11-17,245.4141845703125
2023-11-20,245.81736755371094
2023-11-21,248.03981018066406
2023-11-22,249.50506591796875
2023-11-24,250.07542419433594
2023-11-27,249.91810607910156
2023-11-28,248.73802185058594
2023-11-29,250.006591796875
2023-11-30,252.41590881347656
2023-12-01,252.18972778320312
2023-12-04,250.213134765625
2023-12-05,250.38026428222656
2023-12-06,250.0656280517578
2023-12-07,251.5701904296875
2023-12-08,251.4915313720703
2023-12-11,252.258544921875
2023-12-12,255.24806213378906
2023-12-13,258.0212097167969
2023-12-14,254.43186950683594
2023-12-15,253.7434844970703
2023-12-18,254.07778930664062
2023-12-19,255.67092895507812
2023-12-20,252.83872985839844
2023-12-21,255.22842407226562
2023-12-22,254.13687133789062
2023-12-26,254.8546905517578
2023-12-27,254.6284942626953
2023-12-28,256.0741271972656
2023-12-29,256.0249328613281
2024-01-02,254.56951904296875
2024-01-03,253.6943359375
2024-01-04,255.29725646972656
2024-01-05,255.3759307861328
2024-01-08,258.1785888671875
2024-01-09,258.9554443359375
2024-01-10,260.1650085449219
2024-01-11,259.64385986328125
2024-01-12,259.781494140625
2024-01-16,260.83367919921875
2024-01-17,262.2005920410156
2024-01-18,263.6855163574219
2024-01-19,266.3996276855469
2024-01-22,266.69464111328125
2024-01-23,266.75372314453125
2024-01-24,267.13720703125
2024-01-25,268.0812072753906
2024-01-26,263.48883056640625
2024-01-29,269.1138000488281
2024-01-30,272.5458679199219
2024-01-31,268.720458984375
2024-02-01,272.4474792480469
2024-02-02,272.5753479003906
2024-02-05,271.001953125
2024-02-06,272.1623229980469
2024-02-07,274.7486267089844
2024-02-08,271.7043151855469
2024-02-09,272.3446960449219
2024-02-12,271.00482177734375
2024-02-13,271.73382568359375
2024-02-14,273.45794677734375
2024-02-15,276.8274841308594
2024-02-16,274.4432067871094
2024-02-20,271.0836181640625
2024-02-21,272.6698303222656
2024-02-22,279.5565185546875
2024-02-23,279.4087219238281
2024-02-26,279.95062255859375
2024-02-27,278.9851379394531
2024-02-28,281.40875244140625
2024-02-29,278.462890625
2024-03-01,278.9752502441406
2024-03-04,276.38409423828125
2024-03-05,275.2510986328125
2024-03-06,276.2855529785156
2024-03-07,274.1476135253906
2024-03-08,275.9013671875
2024-03-11,276.41363525390625
2024-03-12,279.7239990234375
2024-03-13,280.9259948730469
2024-03-14,282.17724609375
2024-03-15,278.8569641113281
2024-03-18,280.8372497558594
2024-03-19,283.1033020019531
2024-03-20,285.0047607421875
2024-03-21,286.07867431640625
2024-03-22,279.0737609863281
2024-03-25,277.05401611328125
2024-03-26,276.4530334472656
2024-03-27,274.89642333984375
2024-03-28,274.9554748535156
2024-04-01,274.1673583984375
2024-04-02,274.32501220703125
2024-04-03,272.8668212890625
2024-04-04,269.95062255859375
2024-04-05,273.044189453125
2024-04-08,273.655029296875
2024-04-09,272.6304016113281
2024-04-10,270.42352294921875
2024-04-11,271.60577392578125
2024-04-12,271.88165283203125
2024-04-15,267.2708435058594
2024-04-16,267.33978271484375
2024-04-17,268.6599426269531
2024-04-18,267.35943603515625
2024-04-19,265.7929382324219
2024-04-22,268.30523681640625
2024-04-23,270.0589904785156
2024-04-24,270.9555358886719
2024-04-25,271.093505859375
2024-04-26,270.4629211425781
2024-04-29,267.8225402832031
2024-04-30,264.6402587890625
2024-05-01,263.36932373046875
2024-05-02,263.655029296875
2024-05-03,264.52197265625
2024-05-06,268.6402587890625
2024-05-07,272.3742370605469
2024-05-08,273.09344482421875
2024-05-09,274.4235534667969
2024-05-10,276.5909423828125
2024-05-13,275.2609558105469
2024-05-14,273.6353454589844
2024-05-15,277.3397216796875
2024-05-16,276.2145690917969
2024-05-17,276.4711608886719
2024-05-20,274.931396484375
2024-05-21,272.37493896484375
2024-05-22,272.00970458984375
2024-05-23,270.67724609375
2024-05-24,270.9338684082031
2024-05-28,267.4693603515625
2024-05-29,265.37677001953125
2024-05-30,267.78515625
2024-05-31,268.9301452636719
2024-06-03,266.8771057128906
2024-06-04,268.8906555175781
2024-06-05,270.9437255859375
2024-06-06,273.45086669921875
2024-06-07,275.0597229003906
2024-06-10,271.47674560546875
2024-06-11,271.1115417480469
2024-06-12,266.8179016113281
2024-06-13,267.6766357421875
2024-06-14,267.1534423828125
2024-06-17,267.6568603515625
2024-06-18,270.07513427734375
2024-06-20,273.23370361328125
2024-06-21,271.6543884277344
2024-06-24,272.72039794921875
2024-06-25,269.98626708984375
2024-06-26,270.0553894042969
2024-06-27,263.13616943359375
2024-06-28,259.069580078125
2024-07-01,259.82965087890625
2024-07-02,264.75494384765625
2024-07-03,265.505126953125
2024-07-05,266.8573303222656
2024-07-08,262.94866943359375
2024-07-09,262.0010986328125
2024-07-10,259.5927429199219
2024-07-11,259.1485290527344
2024-07-12,262.2972106933594
2024-07-15,264.9721374511719
2024-07-16,265.76171875
2024-07-17,269.1670227050781
2024-07-18,265.66302490234375
2024-07-19,262.0208435058594
2024-07-22,264.2416687011719
2024-07-23,261.3595275878906
2024-07-24,250.8771209716797
2024-07-25,250.4526824951172
2024-07-26,256.09857177734375
2024-07-29,258.2108459472656
2024-07-30,259.69140625
2024-07-31,262.2281494140625
2024-08-01,262.4847717285156
2024-08-02,263.1263427734375
2024-08-05,253.11769104003906
2024-08-06,254.91412353515625
2024-08-07,253.1966552734375
2024-08-08,256.4637756347656
2024-08-09,256.9088439941406
2024-08-12,257.0374450683594
2024-08-13,257.2747497558594
2024-08-14,258.2737121582031
2024-08-15,263.87152099609375
2024-08-16,264.4452209472656
2024-08-19,263.5451965332031
2024-08-20,265.0979309082031
2024-08-21,265.2562255859375
2024-08-22,264.9990539550781
2024-08-23,264.5045471191406
2024-08-26,265.2660827636719
2024-08-27,267.74853515625
2024-08-28,266.2353210449219
2024-08-29,271.30902099609375
2024-08-30,273.33648681640625
2024-09-03,275.48272705078125
2024-09-04,277.4112854003906
2024-09-05,275.56182861328125
2024-09-06,276.3035888671875
2024-09-09,282.47509765625
2024-09-10,282.2080383300781
2024-09-11,280.84320068359375
2024-09-12,282.23773193359375
2024-09-13,284.1960144042969
2024-09-16,287.2916564941406
2024-09-17,288.35980224609375
2024-09-18,285.3135986328125
2024-09-19,282.10919189453125
2024-09-20,281.644287109375
