Date,GD
2023-08-30,216.0594940185547
2023-08-31,215.48904418945312
2023-09-01,215.23233032226562
2023-09-05,212.34188842773438
2023-09-06,207.3216552734375
2023-09-07,207.93019104003906
2023-09-08,207.15052795410156
2023-09-11,205.62924194335938
2023-09-12,206.6846466064453
2023-09-13,208.88096618652344
2023-09-14,210.56387329101562
2023-09-15,213.02645874023438
2023-09-18,213.2926788330078
2023-09-19,211.88551330566406
2023-09-20,214.4526824951172
2023-09-21,210.96324157714844
2023-09-22,207.59739685058594
2023-09-25,208.53872680664062
2023-09-26,207.44529724121094
2023-09-27,210.12652587890625
2023-09-28,211.4481658935547
2023-09-29,210.09800720214844
2023-10-02,211.96157836914062
2023-10-03,209.8793182373047
2023-10-04,208.53872680664062
2023-10-05,207.3334503173828
2023-10-06,210.3848419189453
2023-10-09,228.119384765625
2023-10-10,226.3880157470703
2023-10-11,227.44976806640625
2023-10-12,227.0863037109375
2023-10-13,232.48126220703125
2023-10-16,232.3186798095703
2023-10-17,230.78817749023438
2023-10-18,229.3916015625
2023-10-19,227.61239624023438
2023-10-20,224.73318481445312
2023-10-23,223.07833862304688
2023-10-24,222.87747192382812
2023-10-25,231.8690948486328
2023-10-26,230.09945678710938
2023-10-27,227.89939880371094
2023-10-30,228.59768676757812
2023-10-31,230.82644653320312
2023-11-01,232.1560516357422
2023-11-02,233.40914916992188
2023-11-03,232.6439208984375
2023-11-06,233.33262634277344
2023-11-07,232.18475341796875
2023-11-08,231.50559997558594
2023-11-09,229.6690216064453
2023-11-10,232.96910095214844
2023-11-13,235.93443298339844
2023-11-14,237.09188842773438
2023-11-15,235.08309936523438
2023-11-16,234.60482788085938
2023-11-17,234.05958557128906
2023-11-20,235.1022491455078
2023-11-21,235.7048797607422
2023-11-22,236.58493041992188
2023-11-24,237.0631866455078
2023-11-27,235.65704345703125
2023-11-28,234.56655883789062
2023-11-29,234.19354248046875
2023-11-30,236.24050903320312
2023-12-01,238.8424072265625
2023-12-04,241.25289916992188
2023-12-05,239.99024963378906
2023-12-06,241.00416564941406
2023-12-07,240.564208984375
2023-12-08,241.3294219970703
2023-12-11,241.45376586914062
2023-12-12,242.1998748779297
2023-12-13,244.73475646972656
2023-12-14,240.2389373779297
2023-12-15,241.57814025878906
2023-12-18,241.88421630859375
2023-12-19,242.8599090576172
2023-12-20,238.71800231933594
2023-12-21,241.46331787109375
2023-12-22,243.06077575683594
2023-12-26,245.07911682128906
2023-12-27,246.24610900878906
2023-12-28,246.92527770996094
2023-12-29,248.3888397216797
2024-01-02,247.3653106689453
2024-01-03,245.39480590820312
2024-01-04,245.05039978027344
2024-01-05,242.86947631835938
2024-01-08,242.79296875
2024-01-09,240.32504272460938
2024-01-10,240.33460998535156
2024-01-11,239.08152770996094
2024-01-12,243.7399444580078
2024-01-16,239.7606964111328
2024-01-17,239.11021423339844
2024-01-18,241.32196044921875
2024-01-19,239.77371215820312
2024-01-22,240.1776123046875
2024-01-23,239.8025665283203
2024-01-24,251.15943908691406
2024-01-25,255.659912109375
2024-01-26,254.90025329589844
2024-01-29,254.62135314941406
2024-01-30,258.3621520996094
2024-01-31,254.8232879638672
2024-02-01,256.63116455078125
2024-02-02,255.092529296875
2024-02-05,255.33297729492188
2024-02-06,257.4197082519531
2024-02-07,258.7660217285156
2024-02-08,258.679443359375
2024-02-09,259.7757263183594
2024-02-12,259.1025695800781
2024-02-13,256.9677734375
2024-02-14,258.7756042480469
2024-02-15,259.64111328125
2024-02-16,259.1025695800781
2024-02-20,258.6120910644531
2024-02-21,261.46820068359375
2024-02-22,261.8816833496094
2024-02-23,263.2472229003906
2024-02-26,262.54522705078125
2024-02-27,263.1991271972656
2024-02-28,263.7857666015625
2024-02-29,262.76641845703125
2024-03-01,261.51629638671875
2024-03-04,264.1703186035156
2024-03-05,263.1029968261719
2024-03-06,263.1991271972656
2024-03-07,262.5548400878906
2024-03-08,261.8624572753906
2024-03-11,262.7856140136719
2024-03-12,264.1127014160156
2024-03-13,264.79541015625
2024-03-14,264.83392333984375
2024-03-15,264.65118408203125
2024-03-18,266.94952392578125
2024-03-19,268.9689636230469
2024-03-20,271.7095642089844
2024-03-21,270.5459899902344
2024-03-22,270.3729248046875
2024-03-25,268.2765808105469
2024-03-26,267.67071533203125
2024-03-27,271.0845642089844
2024-03-28,271.6518859863281
2024-04-01,280.3642883300781
2024-04-02,279.39306640625
2024-04-03,280.4989013671875
2024-04-04,281.97021484375
2024-04-05,283.8550109863281
2024-04-08,281.88372802734375
2024-04-09,277.7582702636719
2024-04-10,278.9122619628906
2024-04-11,277.82989501953125
2024-04-12,278.1874694824219
2024-04-15,275.1723937988281
2024-04-16,275.703857421875
2024-04-17,274.89215087890625
2024-04-18,275.67486572265625
2024-04-19,278.9122314453125
2024-04-22,281.51177978515625
2024-04-23,282.87432861328125
2024-04-24,271.6548156738281
2024-04-25,275.3173522949219
2024-04-26,274.84381103515625
2024-04-29,278.110107421875
2024-04-30,277.43365478515625
2024-05-01,276.89251708984375
2024-05-02,277.69464111328125
2024-05-03,278.4483947753906
2024-05-06,281.57940673828125
2024-05-07,283.5024719238281
2024-05-08,282.89361572265625
2024-05-09,286.0150146484375
2024-05-10,286.46917724609375
2024-05-13,283.65704345703125
2024-05-14,284.16925048828125
2024-05-15,284.6814270019531
2024-05-16,285.8023986816406
2024-05-17,288.96240234375
2024-05-20,290.1317138671875
2024-05-21,287.0683288574219
2024-05-22,287.9864196777344
2024-05-23,286.5465087890625
2024-05-24,289.542236328125
2024-05-28,287.3389587402344
2024-05-29,283.6087646484375
2024-05-30,286.12127685546875
2024-05-31,289.68719482421875
2024-06-03,288.2279968261719
2024-06-04,287.319580078125
2024-06-05,289.37799072265625
2024-06-06,288.2376403808594
2024-06-07,289.0783996582031
2024-06-10,284.7684020996094
2024-06-11,282.8066711425781
2024-06-12,284.4398193359375
2024-06-13,282.6809997558594
2024-06-14,281.9659729003906
2024-06-17,283.94696044921875
2024-06-18,287.97674560546875
2024-06-20,289.5519104003906
2024-06-21,288.21832275390625
2024-06-24,288.4889221191406
2024-06-25,285.3482360839844
2024-06-26,284.62347412109375
2024-06-27,282.6617431640625
2024-06-28,280.3811340332031
2024-07-01,278.1874694824219
2024-07-02,276.19671630859375
2024-07-03,275.29803466796875
2024-07-05,273.56927490234375
2024-07-08,272.39410400390625
2024-07-09,271.46173095703125
2024-07-10,273.79266357421875
2024-07-11,275.9681396484375
2024-07-12,275.7156677246094
2024-07-15,277.20159912109375
2024-07-16,283.19390869140625
2024-07-17,283.5824279785156
2024-07-18,284.8255310058594
2024-07-19,279.92095947265625
2024-07-22,282.8248596191406
2024-07-23,285.9812927246094
2024-07-24,276.47320556640625
2024-07-25,282.60150146484375
2024-07-26,282.03814697265625
2024-07-29,281.1543884277344
2024-07-30,284.57305908203125
2024-07-31,290.1089172363281
2024-08-01,285.0003662109375
2024-08-02,283.970947265625
2024-08-05,277.667724609375
2024-08-06,277.1627197265625
2024-08-07,278.9012145996094
2024-08-08,282.4266357421875
2024-08-09,284.5536193847656
2024-08-12,282.815185546875
2024-08-13,283.7864074707031
2024-08-14,285.2723388671875
2024-08-15,287.42840576171875
2024-08-16,288.0499267578125
2024-08-19,287.0884704589844
2024-08-20,287.28271484375
2024-08-21,285.6025085449219
2024-08-22,285.0003662109375
2024-08-23,283.0579833984375
2024-08-26,282.62091064453125
2024-08-27,281.8439636230469
2024-08-28,288.0985412597656
2024-08-29,289.2542419433594
2024-08-30,290.7402038574219
2024-09-03,286.4281005859375
2024-09-04,285.87445068359375
2024-09-05,288.72979736328125
2024-09-06,284.3496398925781
2024-09-09,292.8768615722656
2024-09-10,293.6926574707031
2024-09-11,290.96356201171875
2024-09-12,292.012451171875
2024-09-13,296.0235595703125
2024-09-16,298.6943664550781
2024-09-17,295.10089111328125
2024-09-18,293.6732177734375
2024-09-19,295.9555358886719
2024-09-20,298.033935546875
2024-09-23,299.21881103515625
2024-09-24,295.8973083496094
2024-09-25,293.00311279296875
2024-09-26,291.837646484375
2024-09-27,291.4880065917969
2024-09-30,293.4983825683594
2024-10-01,296.5382995605469
2024-10-02,295.1689147949219
2024-10-03,290.9830017089844
2024-10-04,292.0027770996094
2024-10-07,288.72979736328125
2024-10-08,288.3510437011719
2024-10-09,290.0894775390625
2024-10-10,287.5254821777344
2024-10-11,292.2195129394531
2024-10-14,294.5811462402344
2024-10-15,292.970947265625
2024-10-16,297.5185546875
2024-10-17,300.7975769042969
2024-10-18,301.0415344238281
2024-10-21,300.6511535644531
2024-10-22,298.611572265625
2024-10-23,297.0599060058594
2024-10-24,294.00537109375
2024-10-25,295.2252502441406
2024-10-28,296.5915222167969
2024-10-29,294.47381591796875
2024-10-30,294.1029357910156
2024-10-31,284.57830810546875
2024-11-01,285.925048828125
2024-11-04,286.52032470703125
2024-11-05,289.4967956542969
2024-11-06,301.02203369140625
2024-11-07,298.621337890625
2024-11-08,302.0076599121094
2024-11-11,306.3406066894531
2024-11-12,304.52545166015625
2024-11-13,306.45770263671875
2024-11-14,285.3687744140625
2024-11-15,281.0456237792969
2024-11-18,279.1036071777344
2024-11-19,274.1851501464844
2024-11-20,273.29705810546875
2024-11-21,273.179931640625
2024-11-22,275.0146484375
2024-11-25,274.56573486328125
2024-11-26,275.2195739746094
2024-11-27,275.5025634765625
2024-11-29,277.1615905761719
2024-12-02,269.77410888671875
2024-12-03,270.73052978515625
2024-12-04,270.9647216796875
2024-12-05,268.5152282714844
2024-12-06,265.2459716796875
2024-12-09,263.0697937011719
2024-12-10,263.9090576171875
2024-12-11,259.02960205078125
2024-12-12,256.697265625
2024-12-13,256.76556396484375
2024-12-16,259.6542053222656
2024-12-17,258.82464599609375
2024-12-18,255.94580078125
2024-12-19,254.0037841796875
2024-12-20,257.28277587890625
2024-12-23,258.79541015625
2024-12-24,259.4883117675781
2024-12-26,260.3470458984375
2024-12-27,259.7225036621094
2024-12-30,257.0290832519531
2024-12-31,257.1363525390625
2025-01-02,254.71620178222656
2025-01-03,257.019287109375
2025-01-06,251.76898193359375
2025-01-07,253.3889923095703
2025-01-08,255.1651153564453
2025-01-10,253.12551879882812
2025-01-13,257.3120422363281
2025-01-14,258.7270812988281
2025-01-15,259.6736755371094
2025-01-16,262.3476257324219
2025-01-17,261.62164306640625
2025-01-21,266.48779296875
2025-01-22,263.7505798339844
2025-01-23,263.4758605957031
2025-01-24,261.38616943359375
2025-01-27,264.73162841796875
2025-01-28,257.5992736816406
2025-01-29,246.6897735595703
2025-01-30,252.06602478027344
2025-01-31,252.11509704589844
2025-02-03,251.73248291015625
2025-02-04,252.5565643310547
2025-02-05,253.68479919433594
2025-02-06,250.69253540039062
2025-02-07,250.0057830810547
2025-02-10,251.4871826171875
2025-02-11,252.12489318847656
2025-02-12,246.57205200195312
2025-02-13,241.4999237060547
2025-02-14,237.35983276367188
2025-02-18,238.00732421875
2025-02-19,239.5574188232422
2025-02-20,241.53916931152344
2025-02-21,238.45860290527344
2025-02-24,241.6078338623047
2025-02-25,245.17893981933594
2025-02-26,244.52162170410156
2025-02-27,246.85655212402344
2025-02-28,247.81802368164062
2025-03-03,249.23074340820312
2025-03-04,246.0520782470703
2025-03-05,257.98187255859375
2025-03-06,259.5417785644531
2025-03-07,266.4190673828125
2025-03-10,266.7918701171875
2025-03-11,259.1199035644531
2025-03-12,255.08775329589844
2025-03-13,256.2159729003906
2025-03-14,257.0694885253906
2025-03-17,260.15985107421875
2025-03-18,262.4555358886719
2025-03-19,262.89703369140625
