Date,GS
2024-05-07,427.6467590332031
2024-05-08,430.68212890625
2024-05-09,438.978759765625
2024-05-10,438.178955078125
2024-05-13,437.051513671875
2024-05-14,441.78277587890625
2024-05-15,449.12548828125
2024-05-16,447.61260986328125
2024-05-17,450.6961364746094
2024-05-20,446.0900573730469
2024-05-21,453.2882385253906
2024-05-22,445.5505065917969
2024-05-23,441.4744873046875
2024-05-24,444.3941955566406
2024-05-28,443.0740051269531
2024-05-29,440.5301208496094
2024-05-30,436.4681701660156
2024-05-31,442.5658874511719
2024-06-03,441.0730285644531
2024-06-04,441.38323974609375
2024-06-05,447.5682067871094
2024-06-06,444.0976257324219
2024-06-07,441.005126953125
2024-06-10,439.68670654296875
2024-06-11,430.69036865234375
2024-06-12,434.9849548339844
2024-06-13,432.706787109375
2024-06-14,432.8134460449219
2024-06-17,436.4197082519531
2024-06-18,443.4480895996094
2024-06-20,444.04913330078125
2024-06-21,436.4197082519531
2024-06-24,447.9656677246094
2024-06-25,443.399658203125
2024-06-26,441.9260559082031
2024-06-27,432.32867431640625
2024-06-28,438.49432373046875
2024-07-01,449.48773193359375
2024-07-02,451.3780517578125
2024-07-03,453.61749267578125
2024-07-05,450.5443420410156
2024-07-08,450.61224365234375
2024-07-09,458.3773498535156
2024-07-10,464.2521667480469
2024-07-11,464.5818176269531
2024-07-12,465.2118835449219
2024-07-15,477.1844177246094
2024-07-16,487.6445617675781
2024-07-17,486.8302917480469
2024-07-18,471.3484191894531
2024-07-19,470.1075134277344
2024-07-22,472.153076171875
2024-07-23,477.1068115234375
2024-07-24,471.823486328125
2024-07-25,476.6802978515625
2024-07-26,483.77655029296875
2024-07-29,477.659423828125
2024-07-30,490.2136535644531
2024-07-31,493.47088623046875
2024-08-01,484.833251953125
2024-08-02,456.25439453125
2024-08-05,444.9894714355469
2024-08-06,455.8471984863281
2024-08-07,458.5518493652344
2024-08-08,470.921875
2024-08-09,475.2746276855469
2024-08-12,470.6601257324219
2024-08-13,476.90325927734375
2024-08-14,483.4566955566406
2024-08-15,483.766845703125
2024-08-16,488.84674072265625
2024-08-19,489.25384521484375
2024-08-20,482.1382141113281
2024-08-21,481.2851257324219
2024-08-22,482.5356750488281
2024-08-23,493.8489990234375
2024-08-26,492.3463439941406
2024-08-27,491.7550048828125
2024-08-28,487.945068359375
2024-08-29,494.5082092285156
2024-08-30,497.5799560546875
2024-09-03,475.3558654785156
2024-09-04,478.4569396972656
2024-09-05,475.76544189453125
2024-09-06,467.7007751464844
2024-09-09,476.4383239746094
2024-09-10,455.5306396484375
2024-09-11,459.4703674316406
2024-09-12,462.28857421875
2024-09-13,467.0961608886719
2024-09-16,473.1130065917969
2024-09-17,473.3373107910156
2024-09-18,472.5473327636719
2024-09-19,491.3193359375
2024-09-20,486.053466796875
2024-09-23,485.0588073730469
2024-09-24,485.65362548828125
2024-09-25,478.9444885253906
2024-09-26,484.5809631347656
2024-09-27,486.1314697265625
2024-09-30,482.8158874511719
2024-10-01,477.99859619140625
2024-10-02,479.77337646484375
2024-10-03,474.02960205078125
2024-10-04,482.8646545410156
2024-10-07,482.3381042480469
2024-10-08,484.2396545410156
2024-10-09,492.6358642578125
2024-10-10,491.2121276855469
2024-10-11,503.4797668457031
2024-10-14,509.76959228515625
2024-10-15,509.4087829589844
2024-10-16,516.7030639648438
2024-10-17,515.8643798828125
2024-10-18,515.3767700195312
2024-10-21,504.9425354003906
2024-10-22,505.43011474609375
2024-10-23,504.3573913574219
2024-10-24,511.4761657714844
2024-10-25,499.87158203125
2024-10-28,510.5789794921875
2024-10-29,511.26153564453125
2024-10-30,511.378662109375
2024-10-31,504.9327087402344
2024-11-01,506.4539794921875
2024-11-04,498.76971435546875
2024-11-05,513.8750610351562
2024-11-06,581.1812133789062
2024-11-07,567.7141723632812
2024-11-08,574.6281127929688
2024-11-11,587.38330078125
2024-11-12,577.87548828125
2024-11-13,579.46484375
2024-11-14,573.9942016601562
2024-11-15,578.8017578125
2024-11-18,573.3896484375
2024-11-19,566.9437255859375
2024-11-20,567.4800415039062
2024-11-21,581.3079833984375
2024-11-22,587.8123779296875
2024-11-25,588.0562133789062
