Date,LMT
2024-05-17,444.5356750488281
2024-05-20,445.374755859375
2024-05-21,446.547607421875
2024-05-22,447.882568359375
2024-05-23,445.374755859375
2024-05-24,445.63226318359375
2024-05-28,437.1744384765625
2024-05-29,431.68206787109375
2024-05-30,439.5201416015625
2024-05-31,448.4833068847656
2024-06-03,448.8768615722656
2024-06-04,450.115234375
2024-06-05,446.601806640625
2024-06-06,449.8560485839844
2024-06-07,451.30560302734375
2024-06-10,448.74249267578125
2024-06-11,444.2690734863281
2024-06-12,440.7268371582031
2024-06-13,440.1988220214844
2024-06-14,439.9876708984375
2024-06-17,440.630859375
2024-06-18,441.5811767578125
2024-06-20,447.6673278808594
2024-06-21,448.8768615722656
2024-06-24,452.6303405761719
2024-06-25,449.32806396484375
2024-06-26,448.2912902832031
2024-06-27,448.42572021484375
2024-06-28,448.39691162109375
2024-07-01,447.76336669921875
2024-07-02,447.0530090332031
2024-07-03,447.3697814941406
2024-07-05,443.65472412109375
2024-07-08,443.2707214355469
2024-07-09,441.8691711425781
2024-07-10,442.55078125
2024-07-11,441.94598388671875
2024-07-12,445.161865234375
2024-07-15,445.30584716796875
2024-07-16,449.8176574707031
2024-07-17,457.00775146484375
2024-07-18,456.9405212402344
2024-07-19,455.90380859375
2024-07-22,455.58697509765625
2024-07-23,481.2178955078125
2024-07-24,494.5709228515625
2024-07-25,500.522705078125
2024-07-26,503.7865295410156
2024-07-29,506.5129089355469
2024-07-30,516.1315307617188
2024-07-31,520.2210083007812
2024-08-01,526.8831176757812
2024-08-02,526.7968139648438
2024-08-05,523.5424194335938
2024-08-06,519.87548828125
2024-08-07,526.5471801757812
2024-08-08,529.5326538085938
2024-08-09,529.4943237304688
2024-08-12,534.61083984375
2024-08-13,537.020263671875
2024-08-14,540.6681518554688
2024-08-15,537.8554077148438
2024-08-16,537.701904296875
2024-08-19,536.0315551757812
2024-08-20,534.706787109375
2024-08-21,531.5869750976562
2024-08-22,534.72607421875
2024-08-23,532.786865234375
2024-08-26,535.753173828125
