Date,IBM
2023-04-24,113.13018035888672
2023-04-25,113.57222747802734
2023-04-26,113.53614807128906
2023-04-27,114.54655456542969
2023-04-28,114.0413589477539
2023-05-01,113.7526626586914
2023-05-02,112.91368103027344
2023-05-03,111.37097930908203
2023-05-04,110.57707977294922
2023-05-05,111.5514144897461
2023-05-08,111.32587432861328
2023-05-09,110.80463409423828
2023-05-10,111.58191680908203
2023-05-11,110.55773162841797
2023-05-12,112.33177947998047
2023-05-15,112.80728912353516
2023-05-16,112.89872741699219
2023-05-17,114.95624542236328
2023-05-18,115.35862731933594
2023-05-19,116.37367248535156
2023-05-22,116.59313201904297
2023-05-23,117.21495819091797
2023-05-24,114.92882537841797
2023-05-25,115.91644287109375
2023-05-26,117.86422729492188
2023-05-30,118.40376281738281
2023-05-31,117.58989715576172
2023-06-01,118.71467590332031
2023-06-02,121.09224700927734
2023-06-05,121.29344177246094
2023-06-06,121.33915710449219
2023-06-07,122.88458251953125
2023-06-08,122.91204071044922
2023-06-09,123.72590637207031
2023-06-12,124.75008392333984
2023-06-13,125.82913970947266
2023-06-14,125.46334075927734
2023-06-15,126.5606918334961
2023-06-16,125.71941375732422
2023-06-20,124.32943725585938
2023-06-21,122.25361633300781
2023-06-22,119.94920349121094
2023-06-23,118.35802459716797
2023-06-26,120.10464477539062
2023-06-27,121.01909637451172
2023-06-28,120.48873138427734
2023-06-29,122.59196472167969
2023-06-30,122.36334991455078
2023-07-03,122.23532104492188
2023-07-05,122.75657653808594
2023-07-06,120.8544921875
2023-07-07,120.78136444091797
2023-07-10,121.53119659423828
2023-07-11,122.939453125
2023-07-12,121.4763412475586
2023-07-13,122.46395111083984
2023-07-14,121.98841094970703
2023-07-17,122.75657653808594
2023-07-18,123.7807388305664
2023-07-19,123.8904800415039
2023-07-20,126.54241943359375
2023-07-21,127.05451965332031
2023-07-24,127.60317993164062
2023-07-25,128.3256072998047
2023-07-26,129.0023193359375
2023-07-27,130.73976135253906
2023-07-28,131.17868041992188
2023-07-31,131.8462677001953
2023-08-01,131.0689697265625
2023-08-02,131.83712768554688
2023-08-03,132.09317016601562
2023-08-04,131.90113830566406
2023-08-07,133.67515563964844
2023-08-08,133.42828369140625
2023-08-09,131.80027770996094
2023-08-10,132.50328063964844
2023-08-11,132.38304138183594
2023-08-14,131.26382446289062
2023-08-15,131.22682189941406
2023-08-16,130.08909606933594
2023-08-17,130.10760498046875
2023-08-18,130.8013153076172
2023-08-21,131.60604858398438
2023-08-22,130.87533569335938
2023-08-23,132.65130615234375
2023-08-24,132.78079223632812
2023-08-25,134.4457550048828
2023-08-28,135.06549072265625
2023-08-29,135.46319580078125
2023-08-30,135.84246826171875
2023-08-31,135.81471252441406
2023-09-01,136.84146118164062
2023-09-05,137.0172119140625
2023-09-06,136.9524383544922
2023-09-07,136.45297241210938
2023-09-08,136.60092163085938
2023-09-11,137.24842834472656
2023-09-12,135.32449340820312
2023-09-13,135.55572509765625
2023-09-14,136.2957305908203
2023-09-15,135.0377197265625
2023-09-18,134.20526123046875
2023-09-19,135.52798461914062
2023-09-20,138.58966064453125
2023-09-21,136.32347106933594
2023-09-22,135.88873291015625
2023-09-25,135.490966796875
2023-09-26,132.49404907226562
2023-09-27,132.42929077148438
2023-09-28,130.9585723876953
2023-09-29,129.77459716796875
2023-10-02,130.23709106445312
2023-10-03,129.85784912109375
2023-10-04,130.48684692382812
2023-10-05,130.90309143066406
2023-10-06,131.37481689453125
2023-10-09,131.53208923339844
2023-10-10,131.4488067626953
2023-10-11,132.48480224609375
2023-10-12,130.6440887451172
2023-10-13,128.07264709472656
2023-10-16,128.76634216308594
2023-10-17,129.79307556152344
2023-10-18,129.4693603515625
2023-10-19,127.6563949584961
