Date,JNJ
2023-05-12,147.03753662109375
2023-05-15,145.91268920898438
2023-05-16,145.7206268310547
2023-05-17,145.4005584716797
2023-05-18,144.9341583251953
2023-05-19,145.32740783691406
2023-05-22,144.544189453125
2023-05-23,144.4888916015625
2023-05-24,144.35067749023438
2023-05-25,142.2774658203125
2023-05-26,142.22216796875
2023-05-30,142.2406005859375
2023-05-31,142.8763885498047
2023-06-01,142.397216796875
2023-06-02,144.6363067626953
2023-06-05,145.8802490234375
2023-06-06,145.75123596191406
2023-06-07,146.0645294189453
2023-06-08,147.6677703857422
2023-06-09,147.4374542236328
2023-06-12,147.33609008789062
2023-06-13,148.110107421875
2023-06-14,148.86566162109375
2023-06-15,150.86517333984375
2023-06-16,151.32586669921875
2023-06-20,151.23373413085938
2023-06-21,151.00340270996094
2023-06-22,152.60662841796875
2023-06-23,152.47763061523438
2023-06-26,150.77301025390625
2023-06-27,150.45973205566406
2023-06-28,150.15567016601562
2023-06-29,151.20611572265625
2023-06-30,152.51451110839844
2023-07-03,150.51504516601562
2023-07-05,150.01744079589844
2023-07-06,148.90252685546875
2023-07-07,146.73716735839844
2023-07-10,146.97674560546875
2023-07-11,146.16590881347656
2023-07-12,145.6591033935547
2023-07-13,146.3317413330078
2023-07-14,147.30845642089844
2023-07-17,146.57131958007812
2023-07-18,146.5620880126953
2023-07-19,146.2672576904297
2023-07-20,155.14981079101562
2023-07-21,156.81759643554688
2023-07-24,157.6376495361328
2023-07-25,158.84475708007812
2023-07-26,159.14878845214844
2023-07-27,160.0425567626953
2023-07-28,160.77049255371094
2023-07-31,154.36660766601562
2023-08-01,155.61972045898438
2023-08-02,156.5595703125
2023-08-03,157.2322235107422
2023-08-04,155.75791931152344
2023-08-07,159.49891662597656
2023-08-08,159.57266235351562
2023-08-09,159.47129821777344
2023-08-10,158.6420135498047
2023-08-11,160.19000244140625
2023-08-14,159.81224060058594
2023-08-15,159.3515167236328
2023-08-16,158.84475708007812
2023-08-17,160.33743286132812
2023-08-18,158.9368438720703
2023-08-21,154.20074462890625
2023-08-22,152.97525024414062
2023-08-23,151.60227966308594
2023-08-24,152.1182861328125
2023-08-25,154.2993927001953
2023-08-28,152.4802703857422
2023-08-29,152.49884033203125
2023-08-30,151.9605255126953
2023-08-31,150.057861328125
2023-09-01,148.94415283203125
2023-09-05,149.12974548339844
2023-09-06,146.6516876220703
2023-09-07,148.5264892578125
2023-09-08,149.01837158203125
2023-09-11,150.96742248535156
2023-09-12,151.82131958007812
2023-09-13,152.2018280029297
2023-09-14,151.96978759765625
2023-09-15,149.8444061279297
2023-09-18,150.7910919189453
2023-09-19,150.54049682617188
2023-09-20,151.199462890625
2023-09-21,150.03932189941406
2023-09-22,148.9626922607422
2023-09-25,148.7399444580078
2023-09-26,147.58909606933594
2023-09-27,145.8163604736328
2023-09-28,145.60293579101562
2023-09-29,144.5541229248047
2023-10-02,143.9972686767578
2023-10-03,144.173583984375
2023-10-04,144.3406982421875
2023-10-05,145.84420776367188
2023-10-06,146.30828857421875
2023-10-09,147.14358520507812
2023-10-10,146.9765167236328
2023-10-11,144.95321655273438
2023-10-12,145.09242248535156
2023-10-13,145.57508850097656
2023-10-16,146.20619201660156
2023-10-17,144.8697052001953
2023-10-18,141.75123596191406
2023-10-19,141.37069702148438
2023-10-20,142.00181579589844
2023-10-23,140.50755310058594
2023-10-24,140.35910034179688
2023-10-25,140.6746368408203
2023-10-26,138.2893829345703
2023-10-27,135.13375854492188
2023-10-30,136.4609375
2023-10-31,137.6768035888672
2023-11-01,138.00164794921875
2023-11-02,139.44024658203125
2023-11-03,140.46116638183594
2023-11-06,140.79527282714844
2023-11-07,140.0527801513672
2023-11-08,139.54234313964844
2023-11-09,136.82293701171875
2023-11-10,136.6651611328125
2023-11-13,137.017822265625
2023-11-14,137.0457000732422
2023-11-15,138.10374450683594
2023-11-16,139.31033325195312
2023-11-17,139.02259826660156
2023-11-20,140.2481689453125
2023-11-21,141.38014221191406
2023-11-22,141.0994873046875
2023-11-24,142.6712188720703
2023-11-27,141.52984619140625
2023-11-28,141.85728454589844
2023-11-29,142.3063507080078
2023-11-30,144.69200134277344
2023-12-01,148.17227172851562
2023-12-04,148.64002990722656
2023-12-05,148.33128356933594
2023-12-06,146.5256805419922
2023-12-07,145.38429260253906
2023-12-08,144.46746826171875
2023-12-11,145.0662384033203
2023-12-12,145.0756072998047
2023-12-13,145.74916076660156
2023-12-14,146.75958251953125
2023-12-15,145.15980529785156
2023-12-18,145.4217529296875
2023-12-19,146.3759765625
2023-12-20,143.3916015625
2023-12-21,144.86038208007812
2023-12-22,145.44044494628906
2023-12-26,146.0766143798828
2023-12-27,146.2730712890625
2023-12-28,146.48825073242188
2023-12-29,146.637939453125
2024-01-02,149.65977478027344
2024-01-03,150.59532165527344
2024-01-04,150.27725219726562
2024-01-05,150.74501037597656
2024-01-08,151.11924743652344
2024-01-09,151.21279907226562
2024-01-10,151.43731689453125
2024-01-11,150.7637176513672
2024-01-12,151.92379760742188
2024-01-16,150.17433166503906
2024-01-17,150.09011840820312
2024-01-18,150.81983947753906
2024-01-19,151.25953674316406
2024-01-22,151.99864196777344
2024-01-23,149.51007080078125
2024-01-24,148.71485900878906
2024-01-25,149.27618408203125
2024-01-26,149.2200469970703
2024-01-29,149.089111328125
2024-01-30,148.53712463378906
2024-01-31,148.65870666503906
2024-02-01,148.15353393554688
2024-02-02,146.51632690429688
2024-02-05,145.758544921875
2024-02-06,147.87286376953125
2024-02-07,147.79800415039062
2024-02-08,146.3198699951172
2024-02-09,146.6566619873047
2024-02-12,147.67640686035156
2024-02-13,146.38534545898438
2024-02-14,145.70240783691406
2024-02-15,147.7418975830078
2024-02-16,147.5722198486328
2024-02-20,148.80709838867188
2024-02-21,149.58004760742188
2024-02-22,151.24856567382812
2024-02-23,152.55882263183594
2024-02-26,151.56903076171875
2024-02-27,151.7481689453125
2024-02-28,152.2854766845703
2024-02-29,152.12522888183594
2024-03-01,152.82278442382812
2024-03-04,150.6735382080078
2024-03-05,150.79611206054688
2024-03-06,150.20220947265625
2024-03-07,149.75917053222656
2024-03-08,150.3719024658203
2024-03-11,151.9838104248047
2024-03-12,153.40724182128906
2024-03-13,151.86129760742188
2024-03-14,150.07968139648438
2024-03-15,149.1087188720703
2024-03-18,147.77017211914062
2024-03-19,147.25172424316406
2024-03-20,146.8275146484375
2024-03-21,146.81809997558594
2024-03-22,146.32789611816406
2024-03-25,146.31846618652344
2024-03-26,146.83694458007812
2024-03-27,148.90135192871094
2024-03-28,149.1181640625
2024-04-01,148.73165893554688
2024-04-02,148.68455505371094
2024-04-03,145.4135284423828
2024-04-04,143.75448608398438
2024-04-05,143.65078735351562
2024-04-08,142.8966522216797
2024-04-09,143.55650329589844
2024-04-10,141.58636474609375
2024-04-11,140.25723266601562
2024-04-12,139.06004333496094
2024-04-15,139.12603759765625
2024-04-16,136.16612243652344
2024-04-17,136.4677734375
2024-04-18,137.3821563720703
2024-04-19,139.4276885986328
2024-04-22,140.5682830810547
2024-04-23,140.9830780029297
2024-04-24,140.0121612548828
2024-04-25,138.40020751953125
2024-04-26,137.75918579101562
2024-04-29,138.40020751953125
2024-04-30,136.29811096191406
2024-05-01,142.51016235351562
2024-05-02,141.32244873046875
2024-05-03,140.709716796875
2024-05-06,140.0592803955078
2024-05-07,140.1912384033203
2024-05-08,140.4080352783203
2024-05-09,141.25643920898438
2024-05-10,141.31300354003906
2024-05-13,142.54786682128906
2024-05-14,142.69873046875
2024-05-15,143.91470336914062
2024-05-16,145.432373046875
2024-05-17,145.77174377441406
2024-05-20,143.7476806640625
2024-05-21,143.7191619873047
2024-05-22,145.8667755126953
2024-05-23,142.25575256347656
2024-05-24,139.66151428222656
2024-05-28,137.2002716064453
2024-05-29,137.25730895996094
2024-05-30,138.0555419921875
2024-05-31,139.37640380859375
2024-06-03,140.39320373535156
2024-06-04,140.45021057128906
2024-06-05,138.7112274169922
2024-06-06,139.13885498046875
2024-06-07,139.7660369873047
2024-06-10,139.81353759765625
2024-06-11,139.46194458007812
2024-06-12,138.1790771484375
2024-06-13,138.2170867919922
2024-06-14,138.30259704589844
2024-06-17,138.6922149658203
2024-06-18,138.40713500976562
2024-06-20,140.4311981201172
2024-06-21,141.35296630859375
2024-06-24,141.70457458496094
2024-06-25,139.8705596923828
2024-06-26,139.5189666748047
2024-06-27,138.54966735839844
2024-06-28,138.8917999267578
2024-07-01,139.15786743164062
2024-07-02,138.76824951171875
2024-07-03,138.4451446533203
2024-07-05,139.19586181640625
2024-07-08,138.24559020996094
2024-07-09,139.7375030517578
2024-07-10,141.99916076660156
2024-07-11,142.25575256347656
2024-07-12,142.42678833007812
2024-07-15,141.81861877441406
2024-07-16,143.50059509277344
2024-07-17,148.79359436035156
2024-07-18,147.69129943847656
2024-07-19,146.9976043701172
2024-07-22,146.56996154785156
2024-07-23,144.77395629882812
2024-07-24,148.50852966308594
2024-07-25,151.70144653320312
2024-07-26,152.65171813964844
2024-07-29,150.67514038085938
2024-07-30,153.30740356445312
2024-07-31,150.0004425048828
2024-08-01,152.7657470703125
2024-08-02,155.9776611328125
2024-08-05,153.23138427734375
2024-08-06,151.06478881835938
2024-08-07,150.9982147216797
2024-08-08,152.25259399414062
