Date,UPS
2024-04-12,129.0029296875
2024-04-15,128.9495086669922
2024-04-16,127.20464324951172
2024-04-17,126.63492584228516
2024-04-18,127.07113647460938
2024-04-19,127.09783172607422
2024-04-22,129.40354919433594
2024-04-23,132.5282440185547
2024-04-24,130.52520751953125
2024-04-25,131.21067810058594
2024-04-26,131.3887176513672
2024-04-29,132.2433624267578
2024-04-30,131.29080200195312
2024-05-01,129.90206909179688
2024-05-02,131.0593719482422
2024-05-03,130.35606384277344
2024-05-06,130.56971740722656
2024-05-07,130.94361877441406
2024-05-08,131.5489959716797
2024-05-09,131.80714416503906
2024-05-10,132.65325927734375
2024-05-13,135.56072998046875
2024-05-14,133.16635131835938
2024-05-15,133.16635131835938
2024-05-16,134.71458435058594
2024-05-17,134.33653259277344
2024-05-20,132.85128784179688
2024-05-21,130.8979949951172
2024-05-22,129.4127655029297
2024-05-23,125.20913696289062
2024-05-24,124.81307220458984
2024-05-28,123.84092712402344
2024-05-29,120.98749542236328
2024-05-30,123.19282531738281
2024-05-31,125.05609893798828
2024-06-03,124.5970458984375
2024-06-04,122.0856704711914
2024-06-05,123.83193969726562
2024-06-06,123.82292938232422
2024-06-07,123.89492797851562
2024-06-10,123.9309310913086
2024-06-11,123.63389587402344
2024-06-12,122.8057632446289
2024-06-13,121.41954040527344
2024-06-14,122.1036605834961
2024-06-17,122.28367614746094
2024-06-18,120.7984390258789
2024-06-20,123.20181274414062
2024-06-21,122.95879364013672
2024-06-24,124.7590560913086
2024-06-25,120.94247436523438
2024-06-26,124.3539810180664
2024-06-27,122.26568603515625
2024-06-28,123.18384552001953
2024-07-01,122.3736801147461
2024-07-02,121.43756103515625
2024-07-03,122.0136489868164
2024-07-05,122.7337646484375
2024-07-08,121.99563598632812
2024-07-09,120.87045288085938
2024-07-10,122.1036605834961
2024-07-11,124.43502044677734
2024-07-12,128.13458251953125
2024-07-15,129.75482177734375
2024-07-16,132.61727905273438
2024-07-17,132.66226196289062
2024-07-18,130.3039093017578
2024-07-19,130.68194580078125
2024-07-22,130.68194580078125
2024-07-23,114.9295654296875
2024-07-24,115.69467163085938
2024-07-25,114.38948059082031
2024-07-26,115.96472930908203
2024-07-29,115.76668548583984
2024-07-30,116.14474487304688
2024-07-31,117.35092163085938
2024-08-01,117.53995513916016
2024-08-02,115.2716064453125
2024-08-05,113.43533325195312
2024-08-06,112.06713104248047
2024-08-07,111.00496673583984
2024-08-08,113.60636138916016
2024-08-09,113.25530242919922
2024-08-12,112.39118194580078
2024-08-13,113.85839080810547
2024-08-14,113.79537963867188
2024-08-15,115.71268463134766
2024-08-16,116.70283508300781
2024-08-19,117.55062103271484
2024-08-20,117.48680877685547
2024-08-21,116.59343719482422
2024-08-22,115.62713623046875
2024-08-23,116.6572494506836
2024-08-26,117.83321380615234
2024-08-27,116.59343719482422
2024-08-28,115.94619750976562
2024-08-29,115.75477600097656
2024-08-30,117.18598937988281
2024-09-03,116.22879791259766
2024-09-04,117.52326965332031
2024-09-05,116.13764953613281
2024-09-06,116.26527404785156
