Date,SPG
2023-10-17,98.28266143798828
2023-10-18,96.85504913330078
2023-10-19,95.02589416503906
2023-10-20,94.71360778808594
2023-10-23,93.87487030029297
2023-10-24,94.55299377441406
2023-10-25,93.669677734375
2023-10-26,94.86528778076172
2023-10-27,93.2770767211914
2023-10-30,93.9819564819336
2023-10-31,98.05066680908203
2023-11-01,100.37054443359375
2023-11-02,103.35963439941406
2023-11-03,105.18875122070312
2023-11-06,104.4660415649414
2023-11-07,102.82427978515625
2023-11-08,103.00273895263672
2023-11-09,101.53047943115234
2023-11-10,102.90457916259766
2023-11-13,103.0919418334961
2023-11-14,107.77632904052734
2023-11-15,107.55326080322266
2023-11-16,107.44617462158203
2023-11-17,108.57044219970703
2023-11-20,109.52516174316406
2023-11-21,108.63289642333984
2023-11-22,108.05292510986328
2023-11-24,107.82093811035156
2023-11-27,108.59719848632812
2023-11-28,108.94519805908203
2023-11-29,109.53408813476562
2023-11-30,111.43460845947266
2023-12-01,114.94120025634766
2023-12-04,116.75249481201172
2023-12-05,116.69001770019531
2023-12-06,117.53767395019531
2023-12-07,118.91378021240234
2023-12-08,120.29891967773438
2023-12-11,122.01901245117188
2023-12-12,121.75646209716797
2023-12-13,126.0748291015625
2023-12-14,132.7017822265625
2023-12-15,130.68292236328125
2023-12-18,130.0220184326172
2023-12-19,131.41622924804688
2023-12-20,130.46563720703125
2023-12-21,128.75460815429688
2023-12-22,128.82701110839844
2023-12-26,130.0582275390625
2023-12-27,130.06729125976562
2023-12-28,130.61953735351562
2023-12-29,129.13482666015625
2024-01-02,129.48788452148438
2024-01-03,126.82624053955078
2024-01-04,126.98013305664062
2024-01-05,127.33322143554688
2024-01-08,128.82701110839844
2024-01-09,128.69119262695312
2024-01-10,130.98167419433594
2024-01-11,130.7100830078125
2024-01-12,132.7379913330078
2024-01-16,131.75120544433594
2024-01-17,128.6640167236328
2024-01-18,128.40150451660156
2024-01-19,128.2113800048828
2024-01-22,128.57351684570312
2024-01-23,129.09860229492188
