Date,HON
2023-06-26,180.88665771484375
2023-06-27,181.5653076171875
2023-06-28,180.81524658203125
2023-06-29,184.36013793945312
2023-06-30,185.2798309326172
2023-07-03,185.99415588378906
2023-07-05,184.32440185546875
2023-07-06,182.16357421875
2023-07-07,181.49386596679688
2023-07-10,185.494140625
2023-07-11,186.37811279296875
2023-07-12,186.1905975341797
2023-07-13,186.36026000976562
2023-07-14,184.0654754638672
2023-07-17,185.87808227539062
2023-07-18,183.27076721191406
2023-07-19,183.1993408203125
2023-07-20,185.69058227539062
2023-07-21,186.26202392578125
2023-07-24,186.90492248535156
2023-07-25,187.22640991210938
2023-07-26,185.95846557617188
2023-07-27,175.3773956298828
2023-07-28,174.28805541992188
2023-07-31,173.34156799316406
2023-08-01,172.76113891601562
2023-08-02,172.24327087402344
2023-08-03,170.1092071533203
2023-08-04,168.9484100341797
2023-08-07,169.29664611816406
2023-08-08,167.55548095703125
2023-08-09,168.97520446777344
2023-08-10,169.45101928710938
2023-08-11,171.18380737304688
2023-08-14,170.14234924316406
2023-08-15,168.60711669921875
2023-08-16,167.4309844970703
2023-08-17,166.97311401367188
2023-08-18,167.5117950439453
2023-08-21,167.8439483642578
2023-08-22,167.00003051757812
2023-08-23,167.96070861816406
2023-08-24,166.2368927001953
2023-08-25,167.2604217529297
2023-08-28,168.67892456054688
2023-08-29,170.15133666992188
2023-08-30,169.2894287109375
2023-08-31,168.73277282714844
2023-09-01,169.13682556152344
2023-09-05,166.72174072265625
2023-09-06,165.6533203125
2023-09-07,165.30320739746094
2023-09-08,165.66232299804688
2023-09-11,167.17959594726562
2023-09-12,169.8730010986328
2023-09-13,172.00978088378906
2023-09-14,173.77842712402344
2023-09-15,173.3115692138672
2023-09-18,174.58645629882812
2023-09-19,175.38551330566406
2023-09-20,174.56851196289062
2023-09-21,171.8661346435547
2023-09-22,170.38473510742188
2023-09-25,172.25218200683594
2023-09-26,168.6879119873047
2023-09-27,168.67892456054688
2023-09-28,167.9876251220703
2023-09-29,165.8598175048828
2023-10-02,163.947509765625
2023-10-03,162.62771606445312
2023-10-04,163.84877014160156
2023-10-05,161.62222290039062
2023-10-06,165.7880096435547
2023-10-09,167.45791625976562
2023-10-10,167.29632568359375
2023-10-11,168.24798583984375
2023-10-12,165.1416015625
2023-10-13,164.80043029785156
2023-10-16,167.19752502441406
2023-10-17,167.2783660888672
2023-10-18,164.71961975097656
2023-10-19,163.64224243164062
2023-10-20,162.7893524169922
2023-10-23,162.07110595703125
2023-10-24,162.9150390625
2023-10-25,159.88946533203125
2023-10-26,158.06689453125
2023-10-27,158.91082763671875
2023-10-30,161.3798065185547
2023-10-31,164.53109741210938
2023-11-01,165.18649291992188
2023-11-02,167.37710571289062
2023-11-03,169.6754913330078
2023-11-06,168.3377685546875
2023-11-07,167.53871154785156
2023-11-08,165.75210571289062
2023-11-09,165.8785400390625
2023-11-10,168.6148681640625
2023-11-13,168.43423461914062
2023-11-14,171.8027801513672
2023-11-15,171.1796417236328
2023-11-16,172.22720336914062
2023-11-17,172.6787567138672
2023-11-20,173.21156311035156
2023-11-21,172.70584106445312
2023-11-22,173.67213439941406
2023-11-24,174.66554260253906
2023-11-27,174.26817321777344
2023-11-28,175.4421844482422
2023-11-29,175.43316650390625
2023-11-30,176.93228149414062
2023-12-01,178.6120147705078
2023-12-04,179.13580322265625
2023-12-05,177.86245727539062
2023-12-06,178.62103271484375
2023-12-07,178.62103271484375
2023-12-08,175.7492218017578
2023-12-11,180.9690704345703
2023-12-12,181.9805145263672
2023-12-13,183.39837646484375
2023-12-14,183.69638061523438
2023-12-15,183.68736267089844
2023-12-18,185.2226104736328
2023-12-19,184.77105712890625
2023-12-20,183.23582458496094
2023-12-21,185.17742919921875
2023-12-22,185.7102508544922
2023-12-26,187.87767028808594
2023-12-27,188.76268005371094
2023-12-28,188.89816284179688
2023-12-29,189.3858184814453
2024-01-02,188.74462890625
2024-01-03,184.7078094482422
2024-01-04,185.04196166992188
2024-01-05,183.8047332763672
2024-01-08,183.01907348632812
2024-01-09,182.08889770507812
2024-01-10,182.78424072265625
2024-01-11,182.125
2024-01-12,181.61024475097656
2024-01-16,178.60296630859375
2024-01-17,178.7655487060547
2024-01-18,180.73426818847656
2024-01-19,181.32127380371094
2024-01-22,181.55606079101562
2024-01-23,183.2719268798828
2024-01-24,180.4994659423828
2024-01-25,182.92877197265625
2024-01-26,182.24241638183594
2024-01-29,183.37127685546875
2024-01-30,185.945068359375
2024-01-31,182.65782165527344
2024-02-01,178.18756103515625
