Date,NKE
2023-04-14,119.7805404663086
2023-04-17,120.00880432128906
2023-04-18,120.02781677246094
2023-04-19,119.51426696777344
2023-04-20,118.35401916503906
2023-04-21,119.3811264038086
2023-04-24,120.86470794677734
2023-04-25,118.55374145507812
2023-04-26,117.77391052246094
2023-04-27,119.54280090332031
2023-04-28,120.51282501220703
2023-05-01,121.654052734375
2023-05-02,121.0263900756836
2023-05-03,120.53185272216797
2023-05-04,117.61222839355469
2023-05-05,120.3891830444336
2023-05-08,120.66498565673828
2023-05-09,118.97218322753906
2023-05-10,117.46006774902344
2023-05-11,116.2332534790039
2023-05-12,114.32170104980469
2023-05-15,113.9603271484375
2023-05-16,110.77442932128906
2023-05-17,111.24993133544922
2023-05-18,113.04735565185547
2023-05-19,109.13866424560547
2023-05-22,104.78300476074219
2023-05-23,103.45158386230469
2023-05-24,102.98561096191406
2023-05-25,102.21528625488281
2023-05-26,102.24380493164062
2023-05-30,101.30229187011719
2023-05-31,100.10401153564453
2023-06-01,98.5538558959961
2023-06-02,102.83797454833984
2023-06-05,100.37627410888672
2023-06-06,101.32089233398438
2023-06-07,102.17961120605469
2023-06-08,101.3304214477539
2023-06-09,101.00601959228516
2023-06-12,101.93152618408203
2023-06-13,101.88382720947266
2023-06-14,107.68504333496094
2023-06-15,107.25567626953125
2023-06-16,108.38157653808594
2023-06-20,104.51728057861328
2023-06-21,104.93709564208984
2023-06-22,105.39508819580078
2023-06-23,104.49817657470703
2023-06-26,106.61640167236328
2023-06-27,108.4006576538086
2023-06-28,107.84724426269531
2023-06-29,108.17166900634766
2023-06-30,105.30921936035156
2023-07-03,104.10699462890625
2023-07-05,102.18915557861328
2023-07-06,100.28084564208984
2023-07-07,99.67020416259766
2023-07-10,100.9296875
2023-07-11,102.46586608886719
2023-07-12,102.81889343261719
2023-07-13,102.89521789550781
2023-07-14,103.00018310546875
2023-07-17,103.725341796875
2023-07-18,104.68901062011719
2023-07-19,104.84168243408203
2023-07-20,102.59942626953125
2023-07-21,104.05928802490234
2023-07-24,103.7825698852539
2023-07-25,103.3341293334961
2023-07-26,104.28828430175781
2023-07-27,102.73301696777344
2023-07-28,103.63945007324219
2023-07-31,105.32830047607422
2023-08-01,104.38368225097656
2023-08-02,102.58036041259766
2023-08-03,103.6585464477539
2023-08-04,103.82074737548828
2023-08-07,105.41416931152344
2023-08-08,104.660400390625
2023-08-09,104.660400390625
2023-08-10,104.0306625366211
2023-08-11,103.13375091552734
2023-08-14,102.70439910888672
2023-08-15,101.66437530517578
2023-08-16,101.64527893066406
2023-08-17,100.23313903808594
2023-08-18,100.00415802001953
2023-08-21,98.1435775756836
2023-08-22,96.8077621459961
2023-08-23,94.2220230102539
2023-08-24,93.15337371826172
2023-08-25,94.3078842163086
2023-08-28,95.06167602539062
2023-08-29,97.10354614257812
2023-08-30,97.41841888427734
2023-08-31,97.04630279541016
2023-09-01,97.99407958984375
2023-09-05,96.04108428955078
2023-09-06,95.90706634521484
2023-09-07,93.7530288696289
2023-09-08,93.50411224365234
2023-09-11,92.66165161132812
2023-09-12,92.19254302978516
2023-09-13,92.02979278564453
2023-09-14,93.04459381103516
2023-09-15,92.15426635742188
2023-09-18,91.43624114990234
2023-09-19,90.58421325683594
2023-09-20,90.02896118164062
2023-09-21,87.6834487915039
2023-09-22,86.9749984741211
2023-09-25,86.73566436767578
2023-09-26,86.32400512695312
2023-09-27,85.60599517822266
2023-09-28,85.80704498291016
2023-09-29,91.54155731201172
2023-10-02,90.52677154541016
2023-10-03,91.0341567993164
2023-10-04,91.800048828125
2023-10-05,91.70431518554688
2023-10-06,92.96800231933594
2023-10-09,92.7478256225586
2023-10-10,93.45626068115234
2023-10-11,94.44232940673828
2023-10-12,95.0167236328125
2023-10-13,95.64856719970703
2023-10-16,97.68772888183594
2023-10-17,98.61636352539062
2023-10-18,99.34392547607422
2023-10-19,98.65464782714844
2023-10-20,98.29084014892578
2023-10-23,98.42488098144531
2023-10-24,100.69380187988281
2023-10-25,99.12374114990234
2023-10-26,95.7538833618164
2023-10-27,93.80089569091797
2023-10-30,97.45796966552734
2023-10-31,98.38658905029297
2023-11-01,96.57720184326172
2023-11-02,100.59806060791016
2023-11-03,102.49360656738281
2023-11-06,102.67550659179688
2023-11-07,104.69551849365234
2023-11-08,104.72423553466797
2023-11-09,102.43616485595703
2023-11-10,101.58413696289062
2023-11-13,99.75558471679688
2023-11-14,101.23948669433594
2023-11-15,103.2212142944336
2023-11-16,103.02015686035156
2023-11-17,101.44053649902344
2023-11-20,101.78517150878906
2023-11-21,102.00536346435547
2023-11-22,103.31692504882812
2023-11-24,103.04887390136719
2023-11-27,103.35523223876953
2023-11-28,104.11153411865234
2023-11-29,105.66242980957031
2023-11-30,105.56669616699219
2023-12-01,109.00553894042969
2023-12-04,110.60969543457031
2023-12-05,110.85944366455078
2023-12-06,111.5318374633789
2023-12-07,110.2830810546875
2023-12-08,111.3397216796875
2023-12-11,113.93326568603516
2023-12-12,114.92265319824219
2023-12-13,116.39232635498047
2023-12-14,116.24823760986328
2023-12-15,116.75733947753906
2023-12-18,116.36351776123047
2023-12-19,117.80436706542969
2023-12-20,116.6420669555664
2023-12-21,117.6987075805664
2023-12-22,103.780029296875
2023-12-26,103.76081848144531
2023-12-27,102.90591430664062
2023-12-28,104.5292739868164
2023-12-29,104.28913116455078
2024-01-02,102.34878540039062
2024-01-03,99.93775939941406
2024-01-04,98.26636505126953
2024-01-05,98.05503845214844
2024-01-08,99.5343017578125
2024-01-09,98.68900299072266
2024-01-10,99.67839050292969
2024-01-11,101.72440338134766
2024-01-12,100.91753387451172
2024-01-16,97.70923614501953
2024-01-17,96.8447036743164
2024-01-18,96.9599838256836
2024-01-19,97.7668685913086
2024-01-22,96.59495544433594
2024-01-23,97.88213348388672
2024-01-24,96.78707885742188
2024-01-25,96.79668426513672
2024-01-26,98.6986083984375
2024-01-29,99.7840576171875
2024-01-30,100.07223510742188
2024-01-31,97.52672576904297
2024-02-01,97.7476577758789
2024-02-02,96.73904418945312
2024-02-05,95.74966430664062
2024-02-06,98.56413269042969
2024-02-07,99.69760131835938
2024-02-08,99.67839050292969
2024-02-09,100.3796157836914
2024-02-12,102.95394897460938
2024-02-13,100.85989379882812
2024-02-14,102.13746643066406
2024-02-15,101.86849975585938
2024-02-16,99.42865753173828
2024-02-20,99.22693634033203
2024-02-21,101.11924743652344
2024-02-22,100.9367446899414
2024-02-23,101.46504974365234
2024-02-26,100.41802978515625
2024-02-27,101.00397491455078
2024-02-28,100.23551940917969
2024-02-29,99.83208465576172
2024-03-01,98.21255493164062
2024-03-04,95.956787109375
2024-03-05,94.77107238769531
2024-03-06,94.11555480957031
2024-03-07,94.6553955078125
2024-03-08,95.59048461914062
2024-03-11,97.44136047363281
2024-03-12,96.57376861572266
2024-03-13,97.7112808227539
2024-03-14,96.65087890625
2024-03-15,96.05319213867188
2024-03-18,95.18559265136719
2024-03-19,96.36168670654297
2024-03-20,96.66051483154297
2024-03-21,97.19071960449219
2024-03-22,90.48126220703125
2024-03-25,90.3752212524414
2024-03-26,89.24734497070312
2024-03-27,90.74153137207031
2024-03-28,90.59693908691406
2024-04-01,89.2280502319336
2024-04-02,87.6760025024414
2024-04-03,87.07833862304688
2024-04-04,85.86369323730469
2024-04-05,85.64197540283203
2024-04-08,86.76020812988281
2024-04-09,87.72421264648438
2024-04-10,85.79621124267578
2024-04-11,88.68822479248047
2024-04-12,88.68822479248047
2024-04-15,89.74861907958984
2024-04-16,90.0281753540039
2024-04-17,91.42598724365234
2024-04-18,92.29358673095703
2024-04-19,91.12713623046875
2024-04-22,90.79938507080078
2024-04-23,90.63550567626953
2024-04-24,91.23318481445312
2024-04-25,90.55839538574219
2024-04-26,90.7319107055664
2024-04-29,90.674072265625
2024-04-30,88.93885803222656
2024-05-01,87.08797454833984
2024-05-02,89.0834732055664
2024-05-03,88.83282470703125
2024-05-06,89.999267578125
2024-05-07,90.40413665771484
2024-05-08,90.22098541259766
2024-05-09,90.0281753540039
2024-05-10,87.6663818359375
2024-05-13,89.3823013305664
2024-05-14,89.44978332519531
2024-05-15,88.3700942993164
2024-05-16,88.46649169921875
2024-05-17,88.86174011230469
2024-05-20,88.46649169921875
2024-05-21,89.47870635986328
2024-05-22,89.17021179199219
2024-05-23,88.10981750488281
2024-05-24,88.44721984863281
2024-05-28,88.68822479248047
2024-05-29,88.3700942993164
2024-05-30,90.08601379394531
2024-05-31,91.62842559814453
2024-06-03,91.35746002197266
2024-06-04,91.68649291992188
2024-06-05,91.28002166748047
2024-06-06,92.6349105834961
2024-06-07,93.43814849853516
2024-06-10,92.9058837890625
2024-06-11,92.78007507324219
2024-06-12,90.66065216064453
2024-06-13,91.14453887939453
2024-06-14,90.3800048828125
2024-06-17,91.93810272216797
2024-06-18,91.7251968383789
2024-06-20,92.48973846435547
2024-06-21,94.04784393310547
2024-06-24,94.03817749023438
2024-06-25,91.6961669921875
2024-06-26,91.02840423583984
2024-06-27,91.15422058105469
2024-06-28,72.9407958984375
2024-07-01,74.3537368774414
2024-07-02,73.58920288085938
2024-07-03,72.81498718261719
2024-07-05,72.99885559082031
2024-07-08,70.69556427001953
2024-07-09,70.12458038330078
2024-07-10,70.2020034790039
2024-07-11,71.02460479736328
2024-07-12,71.05363464355469
2024-07-15,69.01165008544922
2024-07-16,70.46330261230469
2024-07-17,70.71492004394531
2024-07-18,70.04716491699219
2024-07-19,70.35684204101562
2024-07-22,72.44722747802734
2024-07-23,71.03429412841797
2024-07-24,68.79873657226562
2024-07-25,69.10842895507812
2024-07-26,70.22135162353516
2024-07-29,71.17945861816406
2024-07-30,71.92463684082031
2024-07-31,72.44722747802734
2024-08-01,71.46977233886719
2024-08-02,71.62462615966797
2024-08-05,69.11809539794922
2024-08-06,70.16328430175781
2024-08-07,70.27943420410156
2024-08-08,71.798828125
2024-08-09,71.94398498535156
2024-08-12,72.23432159423828
2024-08-13,75.96990966796875
2024-08-14,75.98927307128906
2024-08-15,79.84099578857422
2024-08-16,80.54747009277344
2024-08-19,80.5958480834961
2024-08-20,80.86682891845703
2024-08-21,81.29264831542969
2024-08-22,80.72166442871094
2024-08-23,81.34103393554688
2024-08-26,81.5636215209961
2024-08-27,82.54106140136719
2024-08-28,80.12165069580078
2024-08-29,80.57649993896484
2024-08-30,80.63456726074219
2024-09-03,79.05006408691406
2024-09-04,78.75843811035156
2024-09-05,78.57373809814453
2024-09-06,78.37931060791016
2024-09-09,77.27115631103516
2024-09-10,75.91022491455078
2024-09-11,76.21157836914062
2024-09-12,76.21157836914062
2024-09-13,76.8045425415039
2024-09-16,77.57249450683594
2024-09-17,78.38904571533203
2024-09-18,78.64179229736328
2024-09-19,78.71955871582031
2024-09-20,84.10490417480469
