Date,LLY
2023-05-30,418.9511413574219
2023-05-31,421.1280517578125
2023-06-01,428.02166748046875
2023-06-02,433.7483825683594
2023-06-05,435.64093017578125
2023-06-06,434.4740905761719
2023-06-07,427.904052734375
2023-06-08,437.0137634277344
2023-06-09,437.38641357421875
2023-06-12,436.6705322265625
2023-06-13,437.0726318359375
2023-06-14,439.0338134765625
2023-06-15,445.1233825683594
2023-06-16,439.02398681640625
2023-06-20,443.1817626953125
2023-06-21,444.2113952636719
2023-06-22,448.80059814453125
2023-06-23,449.93804931640625
2023-06-26,443.9760437011719
2023-06-27,455.48828125
2023-06-28,449.80084228515625
2023-06-29,455.4784851074219
2023-06-30,459.8813781738281
2023-07-03,452.4680480957031
2023-07-05,456.66497802734375
2023-07-06,454.22332763671875
2023-07-07,443.3092041015625
2023-07-10,444.3682861328125
2023-07-11,430.86541748046875
2023-07-12,432.05194091796875
2023-07-13,426.2664489746094
2023-07-14,440.7401123046875
2023-07-17,438.465087890625
2023-07-18,442.4463195800781
2023-07-19,444.76055908203125
2023-07-20,454.8215026855469
2023-07-21,453.075927734375
2023-07-24,450.4088134765625
2023-07-25,448.663330078125
2023-07-26,444.7899475097656
2023-07-27,446.1628112792969
2023-07-28,449.5850524902344
2023-07-31,445.7313537597656
2023-08-01,444.2996520996094
2023-08-02,445.6626892089844
2023-08-03,440.4459228515625
2023-08-04,440.7695007324219
2023-08-07,445.2704162597656
2023-08-08,511.48040771484375
2023-08-09,516.0205078125
2023-08-10,511.2254943847656
2023-08-11,518.0309448242188
2023-08-14,528.6932373046875
2023-08-15,537.1641235351562
2023-08-16,536.7906494140625
2023-08-17,528.359130859375
2023-08-18,536.977294921875
2023-08-21,540.5347290039062
2023-08-22,544.0822143554688
2023-08-23,543.7874755859375
2023-08-24,538.5203247070312
2023-08-25,544.0724487304688
2023-08-28,544.3377075195312
2023-08-29,544.3181762695312
2023-08-30,538.5103759765625
2023-08-31,544.6128540039062
2023-09-01,547.4725341796875
2023-09-05,548.5338745117188
2023-09-06,550.2634887695312
2023-09-07,563.313720703125
2023-09-08,576.3148803710938
2023-09-11,585.2574462890625
2023-09-12,588.9328002929688
2023-09-13,588.5200805664062
2023-09-14,581.3757934570312
2023-09-15,565.7017822265625
2023-09-18,561.3974609375
2023-09-19,565.013916015625
2023-09-20,559.785888671875
2023-09-21,540.61328125
2023-09-22,541.0162353515625
2023-09-25,542.7359619140625
2023-09-26,540.4954223632812
2023-09-27,540.249755859375
2023-09-28,535.0316772460938
2023-09-29,527.8381958007812
2023-10-02,528.9782104492188
2023-10-03,516.1047973632812
2023-10-04,522.266357421875
2023-10-05,532.1129150390625
2023-10-06,555.4422607421875
2023-10-09,561.8692626953125
2023-10-10,569.28857421875
2023-10-11,594.8092651367188
2023-10-12,599.9390869140625
2023-10-13,598.6614990234375
2023-10-16,605.9727783203125
2023-10-17,597.7869262695312
2023-10-18,596.7354736328125
2023-10-19,580.5797729492188
2023-10-20,574.5263671875
2023-10-23,566.6746826171875
2023-10-24,582.181640625
2023-10-25,576.3148803710938
2023-10-26,558.2725219726562
2023-10-27,550.53857421875
2023-10-30,555.9238891601562
2023-10-31,544.3477172851562
2023-11-01,544.8684692382812
2023-11-02,570.2516479492188
2023-11-03,557.9876708984375
2023-11-06,584.8937377929688
2023-11-07,589.5519409179688
2023-11-08,608.4197387695312
2023-11-09,581.0908203125
2023-11-10,587.3702392578125
2023-11-13,602.11083984375
2023-11-14,601.362548828125
2023-11-15,579.4276123046875
2023-11-16,579.63427734375
2023-11-17,582.5484619140625
2023-11-20,588.3472900390625
