Date,DHR
2024-03-04,253.497314453125
2024-03-05,251.71621704101562
2024-03-06,250.2418670654297
2024-03-07,251.44908142089844
2024-03-08,251.02359008789062
2024-03-11,250.1429443359375
2024-03-12,250.43978881835938
2024-03-13,252.6661376953125
2024-03-14,250.55850219726562
2024-03-15,246.77865600585938
2024-03-18,248.826904296875
2024-03-19,251.07305908203125
2024-03-20,249.03468322753906
2024-03-21,251.4391632080078
2024-03-22,252.12191772460938
2024-03-25,245.1954803466797
2024-03-26,245.84857177734375
2024-03-27,246.42308044433594
2024-03-28,247.36412048339844
2024-04-01,245.4523162841797
2024-04-02,243.61978149414062
2024-04-03,242.03489685058594
2024-04-04,239.6178741455078
2024-04-05,241.97544860839844
2024-04-08,241.9457244873047
2024-04-09,247.44337463378906
2024-04-10,243.55044555664062
2024-04-11,241.69808959960938
2024-04-12,237.68629455566406
2024-04-15,237.39901733398438
2024-04-16,238.07260131835938
2024-04-17,237.13157653808594
2024-04-18,234.13015747070312
2024-04-19,233.2881622314453
2024-04-22,233.85279846191406
2024-04-23,250.72213745117188
2024-04-24,248.047607421875
2024-04-25,243.48110961914062
2024-04-26,244.25376892089844
2024-04-29,244.49148559570312
2024-04-30,244.29336547851562
2024-05-01,244.56082153320312
2024-05-02,244.51129150390625
2024-05-03,246.03677368164062
2024-05-06,245.0659942626953
2024-05-07,246.41319274902344
2024-05-08,247.1957244873047
2024-05-09,249.05796813964844
2024-05-10,250.98960876464844
2024-05-13,249.23631286621094
2024-05-14,256.8141174316406
2024-05-15,260.9744567871094
2024-05-16,262.34149169921875
2024-05-17,263.29241943359375
2024-05-20,264.590087890625
2024-05-21,264.0353698730469
2024-05-22,264.6693115234375
2024-05-23,258.9339294433594
2024-05-24,260.3009033203125
2024-05-28,256.269287109375
2024-05-29,253.51553344726562
2024-05-30,250.35565185546875
2024-05-31,254.3773193359375
2024-06-03,258.9140930175781
2024-06-04,260.8456726074219
2024-06-05,265.3230895996094
2024-06-06,265.45184326171875
2024-06-07,260.59808349609375
2024-06-10,262.173095703125
2024-06-11,258.78533935546875
2024-06-12,262.1136474609375
2024-06-13,252.60421752929688
2024-06-14,252.4457244873047
2024-06-17,251.73252868652344
2024-06-18,255.0806121826172
2024-06-20,246.21505737304688
2024-06-21,252.55470275878906
2024-06-24,254.33773803710938
2024-06-25,251.742431640625
2024-06-26,251.19760131835938
2024-06-27,249.38487243652344
2024-06-28,247.7586212158203
2024-07-01,242.4633026123047
2024-07-02,238.3976287841797
2024-07-03,237.9910430908203
2024-07-05,237.24732971191406
2024-07-08,238.6356201171875
2024-07-09,237.78280639648438
2024-07-10,240.1726531982422
2024-07-11,244.20858764648438
2024-07-12,244.63497924804688
2024-07-15,244.16888427734375
2024-07-16,250.02943420410156
2024-07-17,249.14688110351562
2024-07-18,242.74095153808594
2024-07-19,241.50140380859375
2024-07-22,248.78990173339844
2024-07-23,261.9686279296875
2024-07-24,263.53546142578125
2024-07-25,267.82916259765625
2024-07-26,271.6171875
2024-07-29,269.37615966796875
2024-07-30,272.886474609375
2024-07-31,274.7606201171875
2024-08-01,278.4098815917969
2024-08-02,274.4334716796875
2024-08-05,267.0656433105469
2024-08-06,266.71856689453125
2024-08-07,261.10589599609375
2024-08-08,266.391357421875
2024-08-09,265.86578369140625
2024-08-12,264.9634094238281
2024-08-13,266.4607238769531
2024-08-14,265.83599853515625
2024-08-15,267.0755310058594
2024-08-16,267.0656433105469
2024-08-19,268.999267578125
