Date,FDX
2023-07-05,235.41815185546875
2023-07-06,234.80194091796875
2023-07-07,238.19595336914062
2023-07-10,238.61305236816406
2023-07-11,244.9744415283203
2023-07-12,248.01766967773438
2023-07-13,245.0312957763672
2023-07-14,244.0738067626953
2023-07-17,241.49508666992188
2023-07-18,248.3589630126953
2023-07-19,246.73777770996094
2023-07-20,249.84738159179688
2023-07-21,246.178466796875
2023-07-24,245.32518005371094
2023-07-25,246.16897583007812
2023-07-26,254.19886779785156
2023-07-27,251.58229064941406
2023-07-28,254.88145446777344
2023-07-31,255.9243621826172
2023-08-01,254.22732543945312
2023-08-02,251.6581573486328
2023-08-03,249.82843017578125
2023-08-04,249.33546447753906
2023-08-07,250.62472534179688
2023-08-08,254.32211303710938
2023-08-09,251.6865692138672
2023-08-10,252.68202209472656
2023-08-11,251.9615020751953
2023-08-14,253.0707244873047
2023-08-15,251.75289916992188
2023-08-16,251.29791259765625
2023-08-17,251.14614868164062
2023-08-18,249.00364685058594
2023-08-21,246.43443298339844
2023-08-22,245.52430725097656
2023-08-23,246.91790771484375
2023-08-24,245.3346710205078
2023-08-25,245.28732299804688
2023-08-28,244.92703247070312
2023-08-29,247.04115295410156
2023-08-30,250.17916870117188
2023-08-31,247.45831298828125
2023-09-01,247.4109344482422
2023-09-05,243.28689575195312
2023-09-06,244.09274291992188
2023-09-07,242.85081481933594
2023-09-08,241.33596801757812
2023-09-11,242.66026306152344
2023-09-12,239.5829315185547
2023-09-13,240.2403564453125
2023-09-14,244.88015747070312
2023-09-15,242.06956481933594
2023-09-18,237.5155487060547
2023-09-19,238.17291259765625
2023-09-20,238.6778564453125
2023-09-21,249.4722900390625
2023-09-22,248.7482147216797
2023-09-25,253.83580017089844
2023-09-26,249.0340576171875
2023-09-27,250.2916259765625
2023-09-28,253.84532165527344
2023-09-29,252.39718627929688
2023-10-02,252.5782012939453
2023-10-03,247.89076232910156
2023-10-04,247.75733947753906
2023-10-05,246.90943908691406
2023-10-06,245.708984375
2023-10-09,243.63204956054688
2023-10-10,244.6514892578125
2023-10-11,243.38436889648438
2023-10-12,240.1259765625
2023-10-13,231.36090087890625
2023-10-16,235.8577880859375
2023-10-17,236.30557250976562
2023-10-18,232.094482421875
2023-10-19,231.7896270751953
2023-10-20,229.24581909179688
2023-10-23,226.7211151123047
2023-10-24,230.2556915283203
2023-10-25,224.09158325195312
2023-10-26,217.1556854248047
2023-10-27,218.02268981933594
2023-10-30,225.62547302246094
2023-10-31,228.75042724609375
2023-11-01,231.73245239257812
2023-11-02,235.5624237060547
2023-11-03,235.4576416015625
2023-11-06,233.73318481445312
2023-11-07,232.65660095214844
2023-11-08,233.77130126953125
2023-11-09,229.78887939453125
2023-11-10,234.4001007080078
2023-11-13,233.79034423828125
2023-11-14,242.1648406982422
2023-11-15,245.251708984375
2023-11-16,242.88894653320312
2023-11-17,243.85118103027344
2023-11-20,243.46058654785156
2023-11-21,243.7654266357422
2023-11-22,244.33706665039062
2023-11-24,245.43272399902344
2023-11-27,241.61228942871094
2023-11-28,241.43125915527344
2023-11-29,241.92665100097656
2023-11-30,246.5950469970703
2023-12-01,251.9208526611328
2023-12-04,253.04501342773438
2023-12-05,253.50230407714844
2023-12-06,254.57891845703125
2023-12-07,254.97903442382812
2023-12-08,260.5693054199219
2023-12-11,259.77484130859375
2023-12-12,261.33514404296875
2023-12-13,262.1199951171875
2023-12-14,267.5093078613281
2023-12-15,269.26104736328125
2023-12-18,269.8641052246094
2023-12-19,268.02618408203125
2023-12-20,235.71946716308594
2023-12-21,236.78199768066406
2023-12-22,237.42337036132812
2023-12-26,241.21401977539062
2023-12-27,240.2089080810547
2023-12-28,242.73602294921875
2023-12-29,242.152099609375
2024-01-02,241.4533233642578
2024-01-03,237.05001831054688
2024-01-04,234.80050659179688
2024-01-05,236.25552368164062
