Date,UNP
2024-02-07,236.84567260742188
2024-02-08,236.52247619628906
2024-02-09,237.121337890625
2024-02-12,235.17263793945312
2024-02-13,233.47113037109375
2024-02-14,237.74871826171875
2024-02-15,238.1669921875
2024-02-16,234.4026641845703
2024-02-20,234.9254913330078
2024-02-21,238.89889526367188
2024-02-22,241.9312286376953
2024-02-23,244.2126007080078
2024-02-26,240.15367126464844
2024-02-27,240.7715301513672
2024-02-28,242.6824951171875
2024-02-29,242.3958740234375
2024-03-01,241.7174530029297
2024-03-04,242.18565368652344
2024-03-05,242.4054412841797
2024-03-06,239.8256072998047
2024-03-07,237.95285034179688
2024-03-08,239.7873992919922
2024-03-11,238.7458953857422
2024-03-12,239.99758911132812
2024-03-13,238.15354919433594
2024-03-14,235.10552978515625
2024-03-15,233.26145935058594
2024-03-18,233.48121643066406
2024-03-19,231.90467834472656
2024-03-20,235.3444061279297
2024-03-21,237.06423950195312
2024-03-22,234.06405639648438
2024-03-25,232.99392700195312
2024-03-26,229.97459411621094
2024-03-27,233.7392120361328
2024-03-28,234.98130798339844
2024-04-01,232.46841430664062
2024-04-02,231.73268127441406
2024-04-03,230.7963104248047
2024-04-04,229.97459411621094
2024-04-05,231.23582458496094
2024-04-08,229.5924072265625
2024-04-09,230.07015991210938
2024-04-10,226.30555725097656
2024-04-11,225.6462860107422
2024-04-12,223.96461486816406
2024-04-15,223.52511596679688
2024-04-16,220.96444702148438
2024-04-17,219.02479553222656
2024-04-18,219.57896423339844
2024-04-19,221.74790954589844
2024-04-22,224.03150939941406
2024-04-23,225.77047729492188
2024-04-24,221.65234375
2024-04-25,232.70726013183594
2024-04-26,231.98109436035156
2024-04-29,230.2230224609375
2024-04-30,226.60177612304688
2024-05-01,224.4997100830078
2024-05-02,227.10816955566406
2024-05-03,229.6593017578125
2024-05-06,228.5604705810547
2024-05-07,231.58938598632812
2024-05-08,234.95263671875
2024-05-09,235.63104248046875
2024-05-10,236.38587951660156
2024-05-13,234.74244689941406
2024-05-14,234.03543090820312
2024-05-15,235.5641632080078
2024-05-16,234.95263671875
2024-05-17,234.06405639648438
2024-05-20,232.7837371826172
2024-05-21,224.4997100830078
2024-05-22,224.2608184814453
2024-05-23,222.3498992919922
2024-05-24,221.71925354003906
2024-05-28,218.8145751953125
2024-05-29,215.8239288330078
2024-05-30,219.03436279296875
2024-05-31,223.72369384765625
2024-06-03,219.39950561523438
2024-06-04,218.7268524169922
2024-06-05,218.5250701904297
2024-06-06,219.38992309570312
2024-06-07,219.0631866455078
2024-06-10,220.0048828125
2024-06-11,218.5250701904297
2024-06-12,217.62176513671875
2024-06-13,213.44175720214844
2024-06-14,213.4225311279297
