Date,TMUS
2024-01-10,157.6858673095703
2024-01-11,156.6042938232422
2024-01-12,156.96160888671875
2024-01-16,157.4830780029297
2024-01-17,158.63226318359375
2024-01-18,159.23094177246094
2024-01-19,159.49169921875
2024-01-22,158.73846435546875
2024-01-23,158.12046813964844
2024-01-24,156.4401397705078
2024-01-25,156.98092651367188
2024-01-26,156.59463500976562
2024-01-29,157.4927215576172
2024-01-30,156.15042114257812
2024-01-31,155.69656372070312
2024-02-01,156.9229736328125
2024-02-02,156.22769165039062
2024-02-05,156.4497833251953
2024-02-06,155.4744415283203
2024-02-07,156.22769165039062
2024-02-08,155.40684509277344
2024-02-09,156.6236114501953
2024-02-12,156.20835876464844
2024-02-13,155.93798828125
2024-02-14,155.8800506591797
2024-02-15,156.02490234375
2024-02-16,154.90472412109375
2024-02-20,156.48843383789062
2024-02-21,158.41978454589844
2024-02-22,157.9369354248047
2024-02-23,158.69985961914062
2024-02-26,158.28460693359375
2024-02-27,158.97019958496094
2024-02-28,158.17835998535156
2024-02-29,158.32382202148438
2024-03-01,158.39166259765625
2024-03-04,158.36256408691406
2024-03-05,160.8445587158203
2024-03-06,162.31825256347656
2024-03-07,159.3805694580078
2024-03-08,158.99278259277344
2024-03-11,159.7393035888672
2024-03-12,158.69219970703125
2024-03-13,159.0897216796875
2024-03-14,157.89720153808594
2024-03-15,156.87921142578125
2024-03-18,156.2393035888672
2024-03-19,155.84181213378906
2024-03-20,156.24899291992188
2024-03-21,156.0260009765625
2024-03-22,155.7157745361328
2024-03-25,156.21022033691406
2024-03-26,156.19082641601562
2024-03-27,157.0730743408203
2024-03-28,158.2462158203125
2024-04-01,157.71299743652344
2024-04-02,157.14097595214844
2024-04-03,158.28500366210938
2024-04-04,156.685302734375
2024-04-05,156.2005157470703
2024-04-08,155.99691772460938
2024-04-09,156.0938720703125
2024-04-10,155.49278259277344
2024-04-11,155.79335021972656
2024-04-12,155.17283630371094
2024-04-15,154.94985961914062
2024-04-16,154.9207305908203
2024-04-17,155.21163940429688
2024-04-18,155.94845581054688
2024-04-19,157.3833465576172
2024-04-22,157.41244506835938
2024-04-23,158.27528381347656
2024-04-24,159.17697143554688
2024-04-25,159.05093383789062
2024-04-26,158.96368408203125
2024-04-29,159.24484252929688
2024-04-30,159.1672821044922
2024-05-01,160.4276580810547
2024-05-02,159.8847198486328
2024-05-03,159.58419799804688
2024-05-06,157.42213439941406
2024-05-07,157.24761962890625
2024-05-08,157.8681182861328
2024-05-09,159.66172790527344
2024-05-10,159.1963653564453
2024-05-13,158.37228393554688
2024-05-14,157.4609375
2024-05-15,157.7227020263672
2024-05-16,158.59523010253906
2024-05-17,159.00245666503906
2024-05-20,158.90550231933594
2024-05-21,159.3514862060547
2024-05-22,160.45675659179688
2024-05-23,159.94288635253906
2024-05-24,160.9415283203125
2024-05-28,162.2116241455078
2024-05-29,163.7337646484375
2024-05-30,165.49830627441406
2024-05-31,170.27688598632812
2024-06-03,168.4471893310547
2024-06-04,173.14791870117188
2024-06-05,175.4447479248047
2024-06-06,174.9581298828125
2024-06-07,175.0067901611328
2024-06-10,175.85350036621094
2024-06-11,173.62478637695312
2024-06-12,169.13816833496094
2024-06-13,170.42286682128906
2024-06-14,171.279296875
2024-06-17,172.632080078125
2024-06-18,172.85594177246094
