Date,CAT
2023-07-20,251.25657653808594
2023-07-21,247.9461212158203
2023-07-24,249.60130310058594
2023-07-25,252.19004821777344
2023-07-26,248.5908966064453
2023-07-27,248.5716094970703
2023-07-28,250.62142944335938
2023-07-31,255.18289184570312
2023-08-01,277.7785339355469
2023-08-02,276.7392578125
2023-08-03,270.84979248046875
2023-08-04,266.0284423828125
2023-08-07,271.042236328125
2023-08-08,272.2355041503906
2023-08-09,273.81378173828125
2023-08-10,273.1305236816406
2023-08-11,274.4777526855469
2023-08-14,273.8233337402344
2023-08-15,266.9234313964844
2023-08-16,264.1711730957031
2023-08-17,264.8063049316406
2023-08-18,263.4878845214844
2023-08-21,262.4774169921875
2023-08-22,260.0234375
2023-08-23,262.74688720703125
2023-08-24,259.1573486328125
2023-08-25,262.2945861816406
2023-08-28,264.4405517578125
2023-08-29,269.4832458496094
2023-08-30,271.69659423828125
2023-08-31,270.54180908203125
2023-09-01,275.468994140625
2023-09-05,271.0229797363281
2023-09-06,272.2451477050781
2023-09-07,270.83050537109375
2023-09-08,271.6484680175781
2023-09-11,271.4271240234375
2023-09-12,271.1961975097656
2023-09-13,265.52801513671875
2023-09-14,271.91796875
2023-09-15,268.63641357421875
2023-09-18,270.3589172363281
2023-09-19,269.1368103027344
2023-09-20,268.1166687011719
2023-09-21,261.7845458984375
2023-09-22,262.7757568359375
2023-09-25,263.94012451171875
2023-09-26,259.36907958984375
2023-09-27,262.43896484375
2023-09-28,265.8359680175781
2023-09-29,262.7179870605469
2023-10-02,261.4862060546875
2023-10-03,258.8397216796875
2023-10-04,255.04815673828125
2023-10-05,250.9774627685547
2023-10-06,256.02020263671875
2023-10-09,261.0820617675781
2023-10-10,262.9201354980469
2023-10-11,262.554443359375
2023-10-12,259.4556884765625
2023-10-13,257.84857177734375
2023-10-16,260.59124755859375
2023-10-17,262.3811950683594
2023-10-18,249.45700073242188
2023-10-19,243.36538696289062
2023-10-20,241.05355834960938
2023-10-23,239.23501586914062
2023-10-24,241.39212036132812
2023-10-25,236.9328155517578
2023-10-26,234.5048370361328
2023-10-27,230.76136779785156
2023-10-30,234.24368286132812
2023-10-31,218.6603546142578
2023-11-01,224.25137329101562
2023-11-02,231.3030548095703
2023-11-03,232.87977600097656
2023-11-06,230.4905242919922
2023-11-07,227.2403564453125
2023-11-08,227.14364624023438
2023-11-09,226.4955291748047
2023-11-10,231.8447723388672
2023-11-13,233.76971435546875
2023-11-14,239.75735473632812
2023-11-15,242.8817596435547
2023-11-16,240.09593200683594
2023-11-17,244.79702758789062
2023-11-20,242.2626953125
2023-11-21,241.25668334960938
2023-11-22,237.9678192138672
2023-11-24,239.27371215820312
2023-11-27,239.30271911621094
2023-11-28,239.4091033935547
2023-11-29,241.2953643798828
2023-11-30,242.5238800048828
2023-12-01,248.36639404296875
2023-12-04,246.422119140625
2023-12-05,246.8477325439453
2023-12-06,247.6022186279297
2023-12-07,248.99514770507812
2023-12-08,251.01683044433594
2023-12-11,252.39041137695312
2023-12-12,252.8837432861328
2023-12-13,259.2099914550781
2023-12-14,275.84765625
2023-12-15,276.39898681640625
2023-12-18,276.3699951171875
2023-12-19,283.3829650878906
2023-12-20,280.2392578125
2023-12-21,280.5874938964844
2023-12-22,280.8680114746094
2023-12-26,285.9657287597656
2023-12-27,288.3742980957031
2023-12-28,287.17486572265625
2023-12-29,286.00439453125
2024-01-02,283.14111328125
2024-01-03,275.0061340332031
2024-01-04,276.7472839355469
2024-01-05,279.4847106933594
2024-01-08,282.6961975097656
2024-01-09,282.73492431640625
2024-01-10,283.7602844238281
2024-01-11,282.5124816894531
2024-01-12,280.9163513183594
2024-01-16,277.8403015136719
2024-01-17,269.521484375
2024-01-18,272.68463134765625
2024-01-19,277.2325134277344
2024-01-22,280.52691650390625
2024-01-23,280.682373046875
2024-01-24,282.480224609375
2024-01-25,292.2855529785156
2024-01-26,290.9833679199219
2024-01-29,294.69561767578125
2024-01-30,296.1630554199219
2024-01-31,291.83856201171875
2024-02-01,299.0103759765625
2024-02-02,306.2016296386719
2024-02-05,312.3336486816406
2024-02-06,313.61639404296875
2024-02-07,314.4618835449219
2024-02-08,312.9167785644531
2024-02-09,308.2132568359375
2024-02-12,312.5571594238281
2024-02-13,304.01513671875
2024-02-14,307.77593994140625
2024-02-15,313.95654296875
2024-02-16,312.82928466796875
2024-02-20,304.8897399902344
2024-02-21,308.1938171386719
2024-02-22,313.0041809082031
2024-02-23,314.74371337890625
2024-02-26,316.20135498046875
2024-02-27,318.38787841796875
2024-02-28,320.26348876953125
2024-02-29,324.5393371582031
2024-03-01,327.2020568847656
2024-03-04,329.0970458984375
2024-03-05,324.1214599609375
2024-03-06,326.1622619628906
2024-03-07,330.6227722167969
2024-03-08,329.62176513671875
2024-03-11,325.5208435058594
2024-03-12,327.7267761230469
2024-03-13,331.88604736328125
2024-03-14,332.2747802734375
2024-03-15,337.1823425292969
2024-03-18,341.9732666015625
2024-03-19,343.9168395996094
2024-03-20,346.39495849609375
2024-03-21,354.2761535644531
2024-03-22,348.0080261230469
2024-03-25,345.9090576171875
2024-03-26,346.3366394042969
2024-03-27,354.36358642578125
2024-03-28,356.0933837890625
2024-04-01,353.479248046875
2024-04-02,354.53851318359375
2024-04-03,365.1893615722656
2024-04-04,359.3586120605469
2024-04-05,368.600341796875
2024-04-08,362.934814453125
2024-04-09,361.40911865234375
2024-04-10,361.57427978515625
2024-04-11,361.4868469238281
2024-04-12,355.3160095214844
2024-04-15,353.64447021484375
2024-04-16,349.7281188964844
2024-04-17,348.212158203125
2024-04-18,347.83319091796875
2024-04-19,345.91180419921875
2024-04-22,348.7889709472656
