Date,PG
2023-10-04,136.91586303710938
2023-10-05,134.88047790527344
2023-10-06,135.15248107910156
2023-10-09,134.4677734375
2023-10-10,135.7996826171875
2023-10-11,134.13009643554688
2023-10-12,134.4302215576172
2023-10-13,135.7152862548828
2023-10-16,137.00965881347656
2023-10-17,137.18788146972656
2023-10-18,140.72402954101562
2023-10-19,139.93209838867188
2023-10-20,139.7433319091797
2023-10-23,139.83773803710938
2023-10-24,141.48951721191406
2023-10-25,142.15025329589844
2023-10-26,141.3951416015625
2023-10-27,138.9032745361328
2023-10-30,140.88543701171875
2023-10-31,141.6122589111328
2023-11-01,141.21580505371094
2023-11-02,142.94313049316406
2023-11-03,141.65000915527344
2023-11-06,142.47117614746094
2023-11-07,142.1407928466797
2023-11-08,141.5933380126953
2023-11-09,141.914306640625
2023-11-10,142.91482543945312
2023-11-13,143.90591430664062
2023-11-14,143.5849609375
2023-11-15,142.92425537109375
2023-11-16,144.25514221191406
2023-11-17,142.59390258789062
2023-11-20,141.83877563476562
2023-11-21,141.21580505371094
2023-11-22,142.54669189453125
2023-11-24,142.88650512695312
2023-11-27,142.75433349609375
2023-11-28,143.7454071044922
2023-11-29,142.6505126953125
2023-11-30,144.90643310546875
2023-12-01,144.0946807861328
2023-12-04,143.52835083007812
2023-12-05,138.52569580078125
2023-12-06,138.42185974121094
2023-12-07,138.28030395507812
2023-12-08,137.00604248046875
2023-12-11,137.63845825195312
2023-12-12,137.75172424316406
2023-12-13,140.2436065673828
2023-12-14,136.54351806640625
2023-12-15,135.8828125
2023-12-18,137.96881103515625
2023-12-19,137.96881103515625
2023-12-20,135.83560180664062
2023-12-21,136.16595458984375
2023-12-22,137.1287384033203
2023-12-26,137.75172424316406
2023-12-27,137.864990234375
2023-12-28,137.55348205566406
2023-12-29,138.3180694580078
2024-01-02,140.39462280273438
2024-01-03,139.54510498046875
2024-01-04,140.3096466064453
2024-01-05,139.148681640625
2024-01-08,140.34744262695312
2024-01-09,140.92320251464844
2024-01-10,141.5272979736328
2024-01-11,142.06529235839844
2024-01-12,142.15025329589844
2024-01-16,141.38568115234375
2024-01-17,141.5272979736328
2024-01-18,140.7113800048828
2024-01-19,140.16995239257812
2024-01-22,140.4453887939453
2024-01-23,146.2584991455078
2024-01-24,144.4917755126953
2024-01-25,147.81626892089844
2024-01-26,148.31019592285156
2024-01-29,148.32919311523438
2024-01-30,149.59249877929688
2024-01-31,149.26002502441406
2024-02-01,151.19773864746094
2024-02-02,150.16238403320312
2024-02-05,150.27639770507812
2024-02-06,150.98878479003906
2024-02-07,151.1407470703125
2024-02-08,150.684814453125
2024-02-09,149.52598571777344
2024-02-12,149.23155212402344
2024-02-13,148.4336700439453
2024-02-14,147.8257598876953
2024-02-15,149.1365509033203
2024-02-16,149.61148071289062
2024-02-20,150.56134033203125
2024-02-21,152.35658264160156
2024-02-22,152.50856018066406
2024-02-23,152.95497131347656
2024-02-26,152.1855926513672
2024-02-27,151.31173706054688
2024-02-28,152.02413940429688
2024-02-29,150.9697723388672
2024-03-01,150.8843231201172
2024-03-04,151.55870056152344
2024-03-05,151.33074951171875
2024-03-06,151.5681915283203
2024-03-07,152.56552124023438
2024-03-08,152.30906677246094
2024-03-11,153.44891357421875
2024-03-12,153.80984497070312
2024-03-13,154.16128540039062
2024-03-14,153.40139770507812
2024-03-15,153.28746032714844
2024-03-18,153.12596130371094
2024-03-19,153.71484375
2024-03-20,153.86683654785156
2024-03-21,153.7433624267578
2024-03-22,153.55340576171875
2024-03-25,152.15711975097656
2024-03-26,152.49905395507812
2024-03-27,154.45574951171875
2024-03-28,154.11380004882812
2024-04-01,152.5275421142578
2024-04-02,152.51805114746094
2024-04-03,148.3197021484375
2024-04-04,147.65476989746094
2024-04-05,148.272216796875
2024-04-08,148.21519470214844
2024-04-09,148.8041229248047
2024-04-10,149.35504150390625
2024-04-11,148.02523803710938
2024-04-12,147.5408172607422
2024-04-15,147.65476989746094
2024-04-16,148.12974548339844
2024-04-17,149.0890655517578
2024-04-18,150.36721801757812
2024-04-19,151.17982482910156
2024-04-22,153.4741973876953
2024-04-23,154.3919219970703
2024-04-24,155.4435272216797
2024-04-25,155.395751953125
2024-04-26,154.191162109375
2024-04-29,154.54490661621094
2024-04-30,156.0171356201172
2024-05-01,156.20831298828125
2024-05-02,156.62893676757812
2024-05-03,157.22166442871094
2024-05-06,157.20252990722656
2024-05-07,158.4644317626953
2024-05-08,157.8048095703125
2024-05-09,158.7321319580078
2024-05-10,159.5064697265625
2024-05-13,158.5696258544922
