Date,MA
2024-09-11,484.0195617675781
2024-09-12,487.9161071777344
2024-09-13,489.1554260253906
2024-09-16,493.4684143066406
2024-09-17,496.7204284667969
2024-09-18,490.5435791015625
2024-09-19,488.8084716796875
2024-09-20,488.5407409667969
2024-09-23,492.90325927734375
2024-09-24,483.2561950683594
2024-09-25,485.27880859375
2024-09-26,487.0832824707031
2024-09-27,489.4331359863281
2024-09-30,489.5917053222656
2024-10-01,492.14971923828125
2024-10-02,491.3466491699219
2024-10-03,490.75177001953125
2024-10-04,493.45849609375
2024-10-07,487.1130065917969
2024-10-08,492.82391357421875
2024-10-09,496.3483581542969
2024-10-10,494.4322509765625
2024-10-11,498.6417236328125
2024-10-14,503.0100402832031
2024-10-15,503.57598876953125
2024-10-16,510.3666687011719
2024-10-17,510.05889892578125
2024-10-18,512.620361328125
2024-10-21,511.2998962402344
2024-10-22,509.32427978515625
2024-10-23,510.029052734375
2024-10-24,506.9415588378906
2024-10-25,503.7049560546875
2024-10-28,504.54888916015625
2024-10-29,502.6327819824219
2024-10-30,509.9893493652344
2024-10-31,495.9909362792969
2024-11-01,504.4197692871094
2024-11-04,501.93780517578125
2024-11-05,501.91796875
2024-11-06,517.3757934570312
2024-11-07,514.1492309570312
2024-11-08,520.9796142578125
2024-11-11,526.3010864257812
2024-11-12,525.35791015625
2024-11-13,518.1204223632812
2024-11-14,516.6510620117188
2024-11-15,518.1303100585938
2024-11-18,517.8721923828125
2024-11-19,515.7178344726562
2024-11-20,508.8476867675781
2024-11-21,511.38922119140625
2024-11-22,517.107666015625
2024-11-25,522.8063354492188
2024-11-26,524.6727905273438
2024-11-27,528.5447998046875
2024-11-29,529.1007690429688
2024-12-02,527.5321044921875
2024-12-03,522.389404296875
2024-12-04,517.3856811523438
2024-12-05,520.9895629882812
2024-12-06,524.76220703125
2024-12-09,519.0535888671875
2024-12-10,525.1990356445312
2024-12-11,530.599853515625
2024-12-12,528.574462890625
2024-12-13,525.1890869140625
2024-12-16,526.4896240234375
2024-12-17,527.1846313476562
2024-12-18,516.2142333984375
2024-12-19,519.5103149414062
2024-12-20,524.2261352539062
2024-12-23,525.1494140625
2024-12-24,531.850830078125
2024-12-26,532.28759765625
2024-12-27,528.3660888671875
2024-12-30,521.7638549804688
2024-12-31,522.776611328125
2025-01-02,518.6366577148438
2025-01-03,517.6041259765625
2025-01-06,508.2420654296875
2025-01-07,507.7158508300781
2025-01-08,512.679931640625
2025-01-10,501.7728271484375
2025-01-13,502.0114440917969
2025-01-14,506.0978698730469
2025-01-15,519.3512573242188
2025-01-16,520.1367797851562
2025-01-17,521.6878662109375
2025-01-21,525.0285034179688
2025-01-22,524.153564453125
2025-01-23,531.1531372070312
2025-01-24,530.4273071289062
2025-01-27,544.4961547851562
2025-01-28,544.2177734375
2025-01-29,545.6494750976562
2025-01-30,562.7607421875
2025-01-31,552.241455078125
2025-02-03,560.7125244140625
2025-02-04,555.9002685546875
2025-02-05,563.0390625
2025-02-06,563.904052734375
2025-02-07,559.5194091796875
2025-02-10,562.24365234375
2025-02-11,561.458251953125
2025-02-12,561.3587036132812
2025-02-13,563.0589599609375
2025-02-14,561.5178833007812
2025-02-18,565.3457641601562
2025-02-19,565.2363891601562
2025-02-20,560.0465087890625
2025-02-21,554.3095092773438
2025-02-24,555.7909545898438
2025-02-25,560.7920532226562
2025-02-26,558.0479736328125
2025-02-27,561.5775756835938
2025-02-28,573.0015258789062
2025-03-03,571.6195068359375
2025-03-04,551.883544921875
2025-03-05,555.094970703125
2025-03-06,546.6636352539062
2025-03-07,543.6311645507812
2025-03-10,534.0364990234375
2025-03-11,522.7815551757812
2025-03-12,521.628173828125
2025-03-13,516.8458251953125
2025-03-14,524.6109619140625
2025-03-17,528.9359130859375
2025-03-18,527.1463012695312
2025-03-19,533.0125122070312
2025-03-20,533.30078125
2025-03-21,532.6148071289062
2025-03-24,540.5488891601562
2025-03-25,542.0303955078125
2025-03-26,545.91796875
2025-03-27,554.369140625
2025-03-28,537.5064697265625
2025-03-31,544.9734497070312
2025-04-01,545.3611450195312
2025-04-02,544.2376098632812
2025-04-03,527.5042114257812
2025-04-04,486.9583740234375
2025-04-07,482.7327575683594
2025-04-08,477.1649475097656
2025-04-09,513.2838745117188
2025-04-10,497.2608947753906
2025-04-11,507.6275329589844
2025-04-14,510.3262939453125
2025-04-15,515.2257690429688
2025-04-16,511.2922058105469
2025-04-17,515.1759643554688
2025-04-21,507.1993408203125
2025-04-22,525.1343383789062
2025-04-23,527.8031616210938
2025-04-24,533.23046875
2025-04-25,531.2587280273438
2025-04-28,532.2644653320312
2025-04-29,537.4329223632812
2025-04-30,545.7780151367188
2025-05-01,544.3539428710938
2025-05-02,557.0608520507812
2025-05-05,558.78369140625
2025-05-06,556.6625366210938
2025-05-07,563.9719848632812
2025-05-08,564.7586059570312
2025-05-09,566.2723388671875
2025-05-12,575.8622436523438
2025-05-13,574.1892700195312
2025-05-14,570.8930053710938
2025-05-15,579.77587890625
2025-05-16,580.8513793945312
2025-05-19,583.9683227539062
2025-05-20,578.6903686523438
2025-05-21,567.1685791015625
2025-05-22,567.7660522460938
2025-05-23,561.2333984375
2025-05-27,572.15771484375
2025-05-28,573.52197265625
2025-05-29,575.3743286132812
2025-05-30,583.1616821289062
2025-06-02,578.7999267578125
2025-06-03,579.5468139648438
2025-06-04,581.6978759765625
2025-06-05,583.00244140625
2025-06-06,587.662841796875
2025-06-09,581.8970336914062
2025-06-10,587.0852661132812
2025-06-11,588.2803344726562
2025-06-12,586.8264770507812
2025-06-13,559.6898193359375
2025-06-16,566.3021850585938
2025-06-17,567.0789794921875
2025-06-18,536.4868774414062
2025-06-20,530.7507934570312
2025-06-23,540.0917358398438
2025-06-24,555.2086181640625
2025-06-25,547.4112548828125
2025-06-26,543.5374145507812
2025-06-27,548.0286254882812
2025-06-30,559.6002197265625
2025-07-01,562.2590942382812
2025-07-02,559.1820068359375
2025-07-03,566.8698120117188
2025-07-07,562.7669677734375
2025-07-08,560.0980834960938
2025-07-09,563.5184936523438
2025-07-10,561.9329833984375
2025-07-11,548.6304931640625
2025-07-14,551.4625244140625
2025-07-15,548.8099975585938
2025-07-16,553.9555053710938
2025-07-17,554.0452270507812
2025-07-18,551.103515625
2025-07-21,553.0879516601562
2025-07-22,557.1864013671875
2025-07-23,560.5070190429688
2025-07-24,561.9130249023438
2025-07-25,566.6196899414062
