Date,GE
2023-08-18,88.01222229003906
2023-08-21,88.19329833984375
2023-08-22,87.90986633300781
2023-08-23,89.33488464355469
2023-08-24,87.42174530029297
2023-08-25,88.15392303466797
2023-08-28,89.72066497802734
2023-08-29,90.79924774169922
2023-08-30,89.99620819091797
2023-08-31,90.11430358886719
2023-09-01,89.94109344482422
2023-09-05,88.8703842163086
2023-09-06,88.7129135131836
2023-09-07,88.01222229003906
2023-09-08,87.95710754394531
2023-09-11,89.95684814453125
2023-09-12,90.53946685791016
2023-09-13,89.4372329711914
2023-09-14,91.05119323730469
2023-09-15,90.92521667480469
2023-09-18,91.7755126953125
2023-09-19,91.49208068847656
2023-09-20,90.42137145996094
2023-09-21,88.95697784423828
2023-09-22,87.58706665039062
2023-09-25,88.0204086303711
2023-09-26,86.610107421875
2023-09-27,87.36648559570312
2023-09-28,88.5088882446289
2023-09-29,87.09859466552734
2023-10-02,85.71195983886719
2023-10-03,84.90045166015625
2023-10-04,85.75922393798828
2023-10-05,85.65682220458984
2023-10-06,87.82344055175781
2023-10-09,86.8701171875
2023-10-10,87.83131408691406
2023-10-11,89.23372650146484
2023-10-12,87.71314239501953
2023-10-13,86.17681121826172
2023-10-16,85.98770904541016
2023-10-17,86.68103790283203
2023-10-18,84.75077056884766
2023-10-19,84.26228332519531
2023-10-20,83.57684326171875
2023-10-23,84.05743408203125
2023-10-24,89.51734161376953
2023-10-25,87.61072540283203
2023-10-26,85.71983337402344
2023-10-27,83.78956604003906
2023-10-30,86.5156021118164
2023-10-31,85.58589935302734
2023-11-01,84.49864196777344
2023-11-02,84.91621398925781
2023-11-03,85.81438446044922
2023-11-06,88.06766510009766
2023-11-07,88.08343505859375
2023-11-08,89.69855499267578
2023-11-09,89.09977722167969
2023-11-10,90.81732940673828
2023-11-13,91.0143051147461
2023-11-14,92.3772964477539
2023-11-15,91.62883758544922
2023-11-16,93.70879364013672
2023-11-17,94.48878479003906
2023-11-20,94.59909057617188
2023-11-21,94.457275390625
2023-11-22,94.22879791259766
2023-11-24,94.52030181884766
2023-11-27,94.52030181884766
2023-11-28,93.63788604736328
2023-11-29,93.64576721191406
2023-11-30,95.96210479736328
2023-12-01,96.51360321044922
2023-12-04,95.74937438964844
2023-12-05,94.72515106201172
2023-12-06,94.39424133300781
2023-12-07,94.13424682617188
2023-12-08,95.00878143310547
2023-12-11,94.76455688476562
2023-12-12,96.37179565429688
2023-12-13,95.47361755371094
2023-12-14,95.60755157470703
2023-12-15,97.0887451171875
2023-12-18,97.4117660522461
2023-12-19,99.22386169433594
2023-12-20,97.19904327392578
2023-12-21,100.03536987304688
2023-12-22,99.81475830078125
2023-12-26,100.4292984008789
2023-12-27,101.06785583496094
