Date,AMGN
2024-01-19,287.3719787597656
2024-01-22,289.56591796875
2024-01-23,289.33251953125
2024-01-24,285.21533203125
2024-01-25,289.6592712402344
2024-01-26,291.06903076171875
2024-01-29,292.6374816894531
2024-01-30,293.7298278808594
2024-01-31,293.3936767578125
2024-02-01,303.009765625
2024-02-02,301.7307434082031
2024-02-05,300.591796875
2024-02-06,295.0835266113281
2024-02-07,276.2247314453125
2024-02-08,275.27252197265625
2024-02-09,271.7901306152344
2024-02-12,274.8803405761719
2024-02-13,271.192626953125
2024-02-14,270.8098449707031
2024-02-15,271.9859313964844
2024-02-16,266.93328857421875
2024-02-20,266.75457763671875
2024-02-21,266.7075500488281
2024-02-22,268.32586669921875
2024-02-23,272.0894470214844
2024-02-26,269.4455261230469
2024-02-27,262.03125
2024-02-28,261.0621337890625
2024-02-29,257.64666748046875
2024-03-01,263.76251220703125
2024-03-04,262.87811279296875
2024-03-05,260.29998779296875
2024-03-06,260.2435607910156
2024-03-07,256.7339782714844
2024-03-08,257.5714111328125
2024-03-11,259.08624267578125
2024-03-12,260.1965026855469
2024-03-13,259.6789855957031
2024-03-14,255.4920196533203
2024-03-15,252.9798126220703
2024-03-18,254.88983154296875
2024-03-19,255.6707763671875
2024-03-20,256.9127502441406
2024-03-21,260.58233642578125
2024-03-22,259.8483581542969
2024-03-25,264.2235412597656
2024-03-26,265.1174011230469
2024-03-27,269.3796691894531
2024-03-28,267.51678466796875
2024-04-01,266.3123474121094
2024-04-02,259.885986328125
2024-04-03,258.20184326171875
2024-04-04,252.245849609375
2024-04-05,253.99600219726562
2024-04-08,253.29029846191406
2024-04-09,254.3817138671875
2024-04-10,250.70285034179688
2024-04-11,254.0430145263672
2024-04-12,251.48377990722656
2024-04-15,249.81837463378906
2024-04-16,249.94070434570312
2024-04-17,248.46348571777344
2024-04-18,247.2214813232422
2024-04-19,253.03623962402344
2024-04-22,255.84014892578125
2024-04-23,257.3738098144531
2024-04-24,256.8751220703125
2024-04-25,253.4596710205078
2024-04-26,254.024169921875
2024-04-29,260.0459289550781
2024-04-30,257.7501525878906
2024-05-01,260.97747802734375
2024-05-02,261.9371337890625
2024-05-03,292.892822265625
2024-05-06,281.78076171875
2024-05-07,282.5522766113281
2024-05-08,289.1479797363281
2024-05-09,294.3700256347656
2024-05-10,291.82012939453125
2024-05-13,290.2206115722656
2024-05-14,293.0057067871094
2024-05-15,300.18475341796875
2024-05-16,298.2232360839844
2024-05-17,296.0911865234375
2024-05-20,298.0527038574219
2024-05-21,298.3464660644531
2024-05-22,293.1916198730469
2024-05-23,290.43414306640625
2024-05-24,289.8087158203125
2024-05-28,284.4549255371094
2024-05-29,280.8351135253906
2024-05-30,285.2224426269531
2024-05-31,289.8182067871094
2024-06-03,291.305908203125
2024-06-04,291.2585144042969
2024-06-05,291.2680358886719
2024-06-06,289.6665954589844
2024-06-07,289.0316467285156
2024-06-10,288.74737548828125
2024-06-11,284.93817138671875
2024-06-12,285.2982177734375
2024-06-13,282.8534851074219
2024-06-14,282.9671630859375
2024-06-17,287.3829345703125
2024-06-18,289.95086669921875
2024-06-20,293.646484375
2024-06-21,292.0071105957031
2024-06-24,301.4734802246094
2024-06-25,302.5726623535156
2024-06-26,296.4228820800781
2024-06-27,297.24725341796875
2024-06-28,296.0722351074219
2024-07-01,294.7077331542969
2024-07-02,294.48028564453125
2024-07-03,293.16314697265625
2024-07-05,294.5845947265625
