Date,COST
2024-02-15,716.6384887695312
2024-02-16,716.1241455078125
2024-02-20,717.8056030273438
2024-02-21,715.1646728515625
2024-02-22,726.4210205078125
2024-02-23,729.9126586914062
2024-02-26,737.2520751953125
2024-02-27,736.6190185546875
2024-02-28,739.833740234375
2024-02-29,735.8079833984375
2024-03-01,741.297607421875
2024-03-04,750.9318237304688
2024-03-05,751.6934204101562
2024-03-06,764.8390502929688
2024-03-07,777.054931640625
2024-03-08,717.6771240234375
2024-03-11,706.3218383789062
2024-03-12,728.8742065429688
2024-03-13,726.22314453125
2024-03-14,723.9976806640625
2024-03-15,717.746337890625
2024-03-18,723.5921630859375
2024-03-19,724.2152099609375
2024-03-20,732.67236328125
2024-03-21,734.492431640625
2024-03-22,726.8167114257812
2024-03-25,723.0184326171875
2024-03-26,723.0382690429688
2024-03-27,724.1262817382812
2024-03-28,724.6702880859375
2024-04-01,713.404052734375
2024-04-02,703.572021484375
2024-04-03,698.0230102539062
2024-04-04,697.2217407226562
2024-04-05,705.9656982421875
2024-04-08,704.076416015625
2024-04-09,710.78271484375
2024-04-10,714.7295532226562
2024-04-11,724.393310546875
2024-04-12,723.3646240234375
2024-04-15,710.47607421875
2024-04-16,708.1912841796875
2024-04-17,707.4197387695312
2024-04-18,703.5224609375
2024-04-19,701.8013916015625
2024-04-22,707.6868286132812
2024-04-23,714.8284301757812
2024-04-24,716.0252075195312
2024-04-25,715.1632690429688
2024-04-26,722.4153442382812
2024-04-29,719.5918579101562
2024-04-30,716.1936645507812
2024-05-01,715.5198974609375
2024-05-02,725.6452026367188
2024-05-03,736.9988403320312
2024-05-06,749.432373046875
2024-05-07,764.1544799804688
2024-05-08,756.3278198242188
2024-05-09,771.8128051757812
2024-05-10,779.8872680664062
2024-05-13,767.9590454101562
2024-05-14,770.6834106445312
2024-05-15,779.7385864257812
2024-05-16,785.7127075195312
2024-05-17,788.4273071289062
2024-05-20,785.643310546875
2024-05-21,793.499755859375
2024-05-22,794.4210815429688
2024-05-23,788.9524536132812
2024-05-24,802.2181396484375
2024-05-28,805.626220703125
2024-05-29,799.0379638671875
2024-05-30,807.776123046875
2024-05-31,802.3765869140625
2024-06-03,807.8255615234375
2024-06-04,819.7141723632812
2024-06-05,826.5601806640625
2024-06-06,834.8228149414062
2024-06-07,837.7355346679688
2024-06-10,840.469970703125
2024-06-11,841.430908203125
2024-06-12,839.9448852539062
2024-06-13,838.1119995117188
2024-06-14,847.73193359375
2024-06-17,859.8583984375
2024-06-18,862.6720581054688
2024-06-20,854.4390869140625
2024-06-21,840.440185546875
2024-06-24,840.2916259765625
2024-06-25,847.573486328125
2024-06-26,848.89111328125
2024-06-27,842.728759765625
2024-06-28,842.1046752929688
2024-07-01,837.82470703125
2024-07-02,851.3876342773438
2024-07-03,854.6570434570312
2024-07-05,877.4536743164062
2024-07-08,872.6685180664062
2024-07-09,878.6226806640625
2024-07-10,876.106201171875
2024-07-11,838.7362060546875
2024-07-12,835.0804443359375
2024-07-15,840.8563232421875
2024-07-16,842.8775634765625
2024-07-17,838.4290771484375
2024-07-18,831.583251953125
2024-07-19,830.3546752929688
2024-07-22,839.5584106445312
2024-07-23,844.2050170898438
2024-07-24,823.1124267578125
2024-07-25,808.3804321289062
2024-07-26,811.1682739257812
2024-07-29,809.1444091796875
2024-07-30,803.6578369140625
2024-07-31,815.53369140625
2024-08-01,810.4638671875
2024-08-02,815.6130981445312
2024-08-05,795.5223999023438
2024-08-06,810.4540405273438
2024-08-07,803.9257202148438
2024-08-08,832.8265991210938
2024-08-09,848.20458984375
2024-08-12,856.7767333984375
2024-08-13,858.016845703125
2024-08-14,855.9234619140625
