Date,MSFT
2023-07-19,347.6237487792969
2023-07-20,339.58624267578125
2023-07-21,336.55126953125
2023-07-24,337.8631286621094
2023-07-25,343.60992431640625
2023-07-26,330.6772766113281
2023-07-27,323.7753601074219
2023-07-28,331.2646789550781
2023-07-31,328.86614990234375
2023-08-01,329.27734375
2023-08-02,320.62286376953125
2023-08-03,319.8006286621094
2023-08-04,320.8970642089844
2023-08-07,323.1781921386719
2023-08-08,319.2033996582031
2023-08-09,315.463623046875
2023-08-10,316.1488952636719
2023-08-11,314.2692565917969
2023-08-14,317.2356262207031
2023-08-15,315.10137939453125
2023-08-16,314.336181640625
2023-08-17,310.8828125
2023-08-18,310.4903564453125
2023-08-21,315.7881164550781
2023-08-22,316.3571472167969
2023-08-23,320.8113098144531
2023-08-24,313.914306640625
2023-08-25,316.8673400878906
2023-08-28,317.5736999511719
2023-08-29,322.19451904296875
2023-08-30,322.5674133300781
2023-08-31,321.556884765625
2023-09-01,322.4398498535156
2023-09-05,327.2372131347656
2023-09-06,326.5799560546875
2023-09-07,323.6661376953125
2023-09-08,327.9436340332031
2023-09-11,331.544189453125
2023-09-12,325.490966796875
2023-09-13,329.6997985839844
2023-09-14,332.28985595703125
2023-09-15,323.9703369140625
2023-09-18,322.832275390625
2023-09-19,322.4300231933594
2023-09-20,314.69915771484375
2023-09-21,313.4825744628906
2023-09-22,311.0102844238281
2023-09-25,311.5302734375
2023-09-26,306.23248291015625
2023-09-27,306.8701477050781
2023-09-28,307.7041320800781
2023-09-29,309.7741394042969
2023-10-02,315.7096862792969
2023-10-03,307.4588317871094
2023-10-04,312.9233703613281
2023-10-05,313.3158264160156
2023-10-06,321.0663757324219
2023-10-09,323.5778503417969
2023-10-10,322.1749572753906
2023-10-11,326.1286926269531
2023-10-12,324.89251708984375
2023-10-13,321.52740478515625
2023-10-16,326.344482421875
2023-10-17,325.7754821777344
2023-10-18,323.8623962402344
2023-10-19,325.04949951171875
2023-10-20,320.48748779296875
2023-10-23,323.0873107910156
2023-10-24,324.2744140625
2023-10-25,334.2225646972656
2023-10-26,321.6844177246094
2023-10-27,323.5680847167969
2023-10-30,330.9261169433594
2023-10-31,331.7109375
2023-11-01,339.5203552246094
2023-11-02,341.7277526855469
2023-11-03,346.1229248046875
2023-11-06,349.7823486328125
2023-11-07,353.7066955566406
2023-11-08,356.326171875
2023-11-09,353.8636169433594
2023-11-10,362.67364501953125
2023-11-13,359.74029541015625
2023-11-14,363.26226806640625
2023-11-15,363.4097595214844
2023-11-16,369.7997131347656
2023-11-17,363.5867614746094
2023-11-20,371.0482177734375
2023-11-21,366.7521667480469
2023-11-22,371.4512939453125
2023-11-24,371.0383605957031
2023-11-27,372.1983337402344
2023-11-28,376.21917724609375
2023-11-29,372.4342956542969
2023-11-30,372.4933166503906
2023-12-01,368.1678161621094
2023-12-04,362.8887634277344
2023-12-05,366.2115173339844
2023-12-06,362.5544738769531
2023-12-07,364.6681213378906
2023-12-08,367.892578125
2023-12-11,365.01214599609375
2023-12-12,368.0400085449219
2023-12-13,368.0301513671875
2023-12-14,359.73309326171875
2023-12-15,364.4518127441406
2023-12-18,366.33929443359375
2023-12-19,366.9389953613281
2023-12-20,364.34368896484375
2023-12-21,367.21429443359375
2023-12-22,368.23663330078125
2023-12-26,368.3152770996094
2023-12-27,367.7352600097656
2023-12-28,368.92474365234375
2023-12-29,369.6719055175781
2024-01-02,364.5894470214844
2024-01-03,364.32403564453125
2024-01-04,361.7091064453125
2024-01-05,361.5223083496094
2024-01-08,368.3448181152344
2024-01-09,369.4261779785156
2024-01-10,376.28790283203125
2024-01-11,378.1164245605469
2024-01-12,381.8914489746094
2024-01-16,383.6609191894531
2024-01-17,382.8744812011719
2024-01-18,387.199951171875
2024-01-19,391.9186706542969
2024-01-22,389.79522705078125
2024-01-23,392.1448059082031
2024-01-24,395.7427673339844
2024-01-25,398.01373291015625
2024-01-26,397.0896301269531
2024-01-29,402.78155517578125
2024-01-30,401.6706848144531
2024-01-31,390.84716796875
2024-02-01,396.942138671875
2024-02-02,404.25616455078125
2024-02-05,398.780517578125
2024-02-06,398.6231689453125
2024-02-07,407.0382385253906
