Date,TMO
2023-04-27,538.5459594726562
2023-04-28,550.328125
2023-05-01,543.9808959960938
2023-05-02,539.3392944335938
2023-05-03,545.8849487304688
2023-05-04,541.1443481445312
2023-05-05,541.8782958984375
2023-05-08,538.109619140625
2023-05-09,530.2547607421875
2023-05-10,529.1043090820312
2023-05-11,525.4249267578125
2023-05-12,520.3272705078125
2023-05-15,519.3652954101562
2023-05-16,515.4676513671875
2023-05-17,517.371826171875
2023-05-18,519.2264404296875
2023-05-19,523.0347900390625
2023-05-22,524.661376953125
2023-05-23,520.7736206054688
2023-05-24,506.5121154785156
2023-05-25,516.3502807617188
2023-05-26,517.7191162109375
2023-05-30,509.9831237792969
2023-05-31,504.270751953125
2023-06-01,515.1007080078125
2023-06-02,515.8544311523438
2023-06-05,514.307373046875
2023-06-06,512.0065307617188
2023-06-07,516.4892578125
2023-06-08,511.0047607421875
2023-06-09,513.91064453125
2023-06-12,519.375244140625
2023-06-13,521.7158813476562
2023-06-14,516.1781005859375
2023-06-15,531.0545043945312
2023-06-16,533.2279052734375
2023-06-20,523.4029541015625
2023-06-21,521.9639282226562
2023-06-22,524.3060302734375
2023-06-23,520.237060546875
2023-06-26,518.0736083984375
2023-06-27,505.75762939453125
2023-06-28,506.2835998535156
2023-06-29,510.491455078125
2023-06-30,517.7957763671875
2023-07-03,515.1757202148438
2023-07-05,516.654541015625
2023-07-06,513.3994140625
2023-07-07,509.83648681640625
2023-07-10,512.932861328125
2023-07-11,515.3245849609375
2023-07-12,521.9340209960938
2023-07-13,522.6585693359375
2023-07-14,525.3480224609375
2023-07-17,521.2791137695312
2023-07-18,519.7110595703125
2023-07-19,531.4910278320312
2023-07-20,534.1906127929688
2023-07-21,557.9293212890625
2023-07-24,567.1885375976562
2023-07-25,566.5831298828125
2023-07-26,570.056640625
2023-07-27,555.775634765625
2023-07-28,557.5917358398438
2023-07-31,544.5018310546875
2023-08-01,541.703125
2023-08-02,549.5631713867188
2023-08-03,544.223876953125
2023-08-04,544.4819946289062
2023-08-07,547.6079711914062
2023-08-08,551.5678100585938
2023-08-09,543.4300537109375
2023-08-10,543.1322631835938
2023-08-11,539.6588134765625
2023-08-14,536.2449340820312
2023-08-15,530.379638671875
2023-08-16,524.8616333007812
2023-08-17,531.8980102539062
2023-08-18,528.34521484375
2023-08-21,528.22607421875
2023-08-22,523.0556640625
2023-08-23,541.1077270507812
2023-08-24,533.9324951171875
2023-08-25,537.4854125976562
2023-08-28,541.05810546875
2023-08-29,551.2005004882812
2023-08-30,554.763427734375
2023-08-31,552.8778686523438
2023-09-01,552.9968872070312
2023-09-05,537.9021606445312
2023-09-06,532.6324462890625
2023-09-07,527.6304931640625
2023-09-08,514.3421630859375
2023-09-11,511.0373229980469
2023-09-12,507.11724853515625
2023-09-13,507.0279541015625
2023-09-14,512.0828247070312
2023-09-15,511.9736022949219
2023-09-18,504.2273864746094
2023-09-19,505.23040771484375
2023-09-20,501.4070129394531
2023-09-21,498.1297607421875
2023-09-22,499.32147216796875
2023-09-25,502.17169189453125
2023-09-26,498.1297607421875
2023-09-27,494.85247802734375
2023-09-28,499.54986572265625
2023-09-29,502.6781311035156
2023-10-02,492.3697814941406
2023-10-03,496.16339111328125
2023-10-04,498.98388671875
2023-10-05,494.5843200683594
2023-10-06,495.1107177734375
2023-10-09,492.7074279785156
2023-10-10,492.72723388671875
2023-10-11,489.2315368652344
2023-10-12,479.2310485839844
2023-10-13,479.5190124511719
2023-10-16,485.1697998046875
2023-10-17,481.42578125
2023-10-18,464.0365905761719
2023-10-19,466.42999267578125
2023-10-20,461.15655517578125
2023-10-23,458.6241760253906
2023-10-24,455.09869384765625
2023-10-25,430.191650390625
2023-10-26,437.12353515625
2023-10-27,428.43389892578125
2023-10-30,431.1152648925781
2023-10-31,441.70172119140625
2023-11-01,438.0669250488281
2023-11-02,444.482421875
2023-11-03,451.6029357910156
2023-11-06,451.8810119628906
2023-11-07,456.0718994140625
2023-11-08,451.17596435546875
2023-11-09,441.2052001953125
2023-11-10,445.3364562988281
2023-11-13,442.0791015625
2023-11-14,456.0917663574219
2023-11-15,467.2939758300781
2023-11-16,469.2106628417969
2023-11-17,463.2023620605469
2023-11-20,465.7943420410156
2023-11-21,479.062255859375
2023-11-22,484.1667175292969
2023-11-24,487.39434814453125
2023-11-27,486.7488708496094
2023-11-28,482.56787109375
2023-11-29,489.5195617675781
2023-11-30,492.34002685546875
2023-12-01,492.7074279785156
2023-12-04,491.9228820800781
2023-12-05,488.2086486816406
2023-12-06,490.4034118652344
2023-12-07,490.6913757324219
2023-12-08,486.3913269042969
2023-12-11,491.5752868652344
2023-12-12,493.9388732910156
2023-12-13,514.9627685546875
2023-12-14,518.2720947265625
2023-12-15,514.8037719726562
2023-12-18,515.3900756835938
2023-12-19,524.850830078125
2023-12-20,516.195068359375
2023-12-21,523.2807006835938
2023-12-22,525.755126953125
2023-12-26,526.4010620117188
2023-12-27,528.3390502929688
2023-12-28,529.6209106445312
2023-12-29,527.4843139648438
2024-01-02,540.76123046875
2024-01-03,525.5266723632812
2024-01-04,534.013427734375
2024-01-05,527.9215698242188
2024-01-08,538.0084228515625
2024-01-09,538.4754028320312
2024-01-10,540.5426025390625
2024-01-11,542.599609375
2024-01-12,540.9301147460938
2024-01-16,538.62451171875
2024-01-17,535.8916625976562
2024-01-18,541.0294799804688
2024-01-19,548.3137817382812
2024-01-22,549.9435424804688
2024-01-23,547.3101196289062
2024-01-24,536.6270751953125
2024-01-25,534.858154296875
2024-01-26,543.92138671875
2024-01-29,554.29638671875
2024-01-30,563.5880737304688
2024-01-31,535.6232299804688
2024-02-01,548.790771484375
2024-02-02,548.3833618164062
2024-02-05,548.1846923828125
2024-02-06,556.7906494140625
2024-02-07,548.870361328125
2024-02-08,547.4591674804688
2024-02-09,547.320068359375
2024-02-12,543.4542236328125
2024-02-13,535.2457275390625
2024-02-14,544.8555297851562
2024-02-15,545.1536865234375
2024-02-16,544.4282836914062
2024-02-20,544.726318359375
2024-02-21,549.406982421875
2024-02-22,556.9993896484375
2024-02-23,561.193115234375
2024-02-26,559.970703125
2024-02-27,562.6439819335938
2024-02-28,568.467529296875
2024-02-29,566.6290283203125
2024-03-01,572.74072265625
2024-03-04,578.0177001953125
2024-03-05,580.9691772460938
2024-03-06,587.8162841796875
2024-03-07,593.9379272460938
2024-03-08,593.8881225585938
2024-03-11,595.69677734375
2024-03-12,593.5304565429688
2024-03-13,589.6248168945312
2024-03-14,581.6495971679688
2024-03-15,580.8938598632812
2024-03-18,576.816650390625
