Date,CVX
2023-05-22,135.57847595214844
2023-05-23,139.50064086914062
2023-05-24,139.87417602539062
2023-05-25,137.46395874023438
2023-05-26,137.03704833984375
2023-05-30,136.18321228027344
2023-05-31,133.95973205566406
2023-06-01,135.3294219970703
2023-06-02,138.9759063720703
2023-06-05,138.30885314941406
2023-06-06,138.55789184570312
2023-06-07,142.15101623535156
2023-06-08,141.6262664794922
2023-06-09,141.288330078125
2023-06-12,139.9275665283203
2023-06-13,140.97702026367188
2023-06-14,139.71408081054688
2023-06-15,140.77247619628906
2023-06-16,139.8652801513672
2023-06-20,136.68130493164062
2023-06-21,137.74855041503906
2023-06-22,135.75631713867188
2023-06-23,134.6090087890625
2023-06-26,136.97479248046875
2023-06-27,136.5478515625
2023-06-28,137.7841033935547
2023-06-29,138.9581298828125
2023-06-30,139.9453582763672
2023-07-03,139.82083129882812
2023-07-05,139.02037048339844
2023-07-06,135.9697723388672
2023-07-07,137.1615447998047
2023-07-10,138.07762145996094
2023-07-11,140.63018798828125
2023-07-12,141.9820556640625
2023-07-13,140.087646484375
2023-07-14,136.5923309326172
2023-07-17,136.46783447265625
2023-07-18,136.74356079101562
2023-07-19,137.57957458496094
2023-07-20,139.10043334960938
2023-07-21,141.1371307373047
2023-07-24,143.92092895507812
2023-07-25,144.57907104492188
2023-07-26,143.49400329589844
2023-07-27,141.9998321533203
2023-07-28,141.29721069335938
2023-07-31,145.557373046875
2023-08-01,144.34780883789062
2023-08-02,142.06207275390625
2023-08-03,142.0087127685547
2023-08-04,141.68853759765625
2023-08-07,142.20437622070312
2023-08-08,141.9909210205078
2023-08-09,142.17771911621094
2023-08-10,143.0404052734375
2023-08-11,145.99314880371094
2023-08-14,145.88648986816406
2023-08-15,141.6262664794922
2023-08-16,141.08377075195312
2023-08-17,143.44532775878906
2023-08-18,144.4779510498047
2023-08-21,143.99307250976562
2023-08-22,142.8077850341797
2023-08-23,142.99635314941406
2023-08-24,141.82005310058594
2023-08-25,142.879638671875
2023-08-28,143.85838317871094
2023-08-29,143.6339111328125
2023-08-30,143.83145141601562
2023-08-31,144.65756225585938
2023-09-01,147.53094482421875
2023-09-05,149.47048950195312
2023-09-06,149.6231231689453
2023-09-07,149.63209533691406
2023-09-08,150.14393615722656
2023-09-11,147.04605102539062
2023-09-12,149.78475952148438
2023-09-13,149.2370147705078
2023-09-14,150.1619110107422
2023-09-15,149.5063934326172
2023-09-18,150.15292358398438
2023-09-19,150.1349334716797
2023-09-20,149.67701721191406
2023-09-21,148.33010864257812
2023-09-22,149.308837890625
2023-09-25,151.49082946777344
2023-09-26,150.67373657226562
2023-09-27,153.58302307128906
2023-09-28,153.17893981933594
2023-09-29,151.41001892089844
2023-10-02,149.54229736328125
2023-10-03,149.8925018310547
2023-10-04,146.39952087402344
2023-10-05,147.17176818847656
2023-10-06,145.67222595214844
2023-10-09,149.70396423339844
2023-10-10,149.54229736328125
2023-10-11,144.65756225585938
2023-10-12,144.77427673339844
2023-10-13,147.3154296875
2023-10-16,148.5186767578125
2023-10-17,150.48512268066406
2023-10-18,151.67942810058594
2023-10-19,151.8410186767578
2023-10-20,149.80271911621094
2023-10-23,144.2803955078125
2023-10-24,140.66172790527344
2023-10-25,139.96133422851562
2023-10-26,138.95565795898438
2023-10-27,129.6171112060547
2023-10-30,131.17950439453125
2023-10-31,130.85626220703125
2023-11-01,129.2848663330078
2023-11-02,133.57701110839844
2023-11-03,132.54437255859375
2023-11-06,131.9966583251953
2023-11-07,129.6709747314453
2023-11-08,127.86611938476562
2023-11-09,127.45307159423828
2023-11-10,128.36000061035156
2023-11-13,129.30282592773438
2023-11-14,130.24566650390625
2023-11-15,130.70362854003906
2023-11-16,128.63485717773438
2023-11-17,131.07565307617188
2023-11-20,131.0030517578125
2023-11-21,130.69454956054688
2023-11-22,130.9576873779297
2023-11-24,131.47483825683594
2023-11-27,130.98489379882812
2023-11-28,132.02833557128906
2023-11-29,130.5765838623047
2023-11-30,130.29530334472656
2023-12-01,131.39320373535156
2023-12-04,131.4476318359375
2023-12-05,129.62387084960938
2023-12-06,129.32440185546875
2023-12-07,129.224609375
2023-12-08,130.93951416015625
2023-12-11,130.97579956054688
2023-12-12,129.29722595214844
2023-12-13,131.2117462158203
2023-12-14,136.03883361816406
2023-12-15,135.5125732421875
2023-12-18,135.8119659423828
2023-12-19,137.5903778076172
2023-12-20,136.3291778564453
2023-12-21,136.74655151367188
2023-12-22,137.05503845214844
2023-12-26,138.28904724121094
2023-12-27,137.83535766601562
2023-12-28,135.89366149902344
2023-12-29,135.34014892578125
2024-01-02,135.63050842285156
2024-01-03,138.21646118164062
2024-01-04,136.70118713378906
2024-01-05,136.46527099609375
2024-01-08,135.64865112304688
2024-01-09,132.20074462890625
2024-01-10,131.11190795898438
2024-01-11,131.81967163085938
2024-01-12,133.62527465820312
2024-01-16,130.37693786621094
2024-01-17,129.8597869873047
2024-01-18,128.6802215576172
2024-01-19,129.0613250732422
2024-01-22,129.2881622314453
2024-01-23,128.92520141601562
2024-01-24,131.4929962158203
2024-01-25,134.8048095703125
2024-01-26,135.32200622558594
2024-01-29,135.267578125
2024-01-30,136.21121215820312
2024-01-31,133.7704620361328
2024-02-01,134.1878204345703
2024-02-02,138.13482666015625
2024-02-05,138.21646118164062
2024-02-06,138.234619140625
2024-02-07,138.03500366210938
2024-02-08,139.78616333007812
2024-02-09,137.04598999023438
2024-02-12,137.9896240234375
2024-02-13,136.64674377441406
2024-02-14,137.01878356933594
2024-02-15,141.67835998535156
2024-02-16,141.83433532714844
2024-02-20,141.2564239501953
2024-02-21,142.57728576660156
2024-02-22,142.568115234375
2024-02-23,141.86183166503906
2024-02-26,141.66920471191406
2024-02-27,139.5687255859375
2024-02-28,139.7338104248047
2024-02-29,139.43115234375
2024-03-01,140.16493225097656
2024-03-04,136.5601348876953
2024-03-05,137.21136474609375
2024-03-06,136.05563354492188
2024-03-07,137.0095672607422
2024-03-08,137.47738647460938
2024-03-11,139.4219512939453
2024-03-12,139.321044921875
2024-03-13,141.15554809570312
2024-03-14,142.81578063964844
2024-03-15,142.6781768798828
2024-03-18,142.54978942871094
2024-03-19,143.65963745117188
2024-03-20,141.76095581054688
2024-03-21,142.0452880859375
2024-03-22,141.86183166503906
2024-03-25,143.5220489501953
2024-03-26,142.42135620117188
2024-03-27,143.4119873046875
2024-03-28,144.68695068359375
2024-04-01,145.91607666015625
2024-04-02,146.5581512451172
2024-04-03,147.16355895996094
2024-04-04,147.39283752441406
2024-04-05,148.22755432128906
2024-04-08,147.92486572265625
2024-04-09,148.59445190429688
2024-04-10,149.20899963378906
2024-04-11,148.49354553222656
2024-04-12,145.80601501464844
2024-04-15,144.5493927001953
2024-04-16,143.34776306152344
2024-04-17,143.45785522460938
2024-04-18,144.53103637695312
2024-04-19,146.7599334716797
2024-04-22,148.5210723876953
2024-04-23,149.37413024902344
2024-04-24,150.03453063964844
2024-04-25,151.60304260253906
2024-04-26,152.16256713867188
2024-04-29,152.56613159179688
2024-04-30,147.92486572265625
2024-05-01,146.4205780029297
2024-05-02,147.42955017089844
2024-05-03,146.9892578125
2024-05-06,148.86962890625
2024-05-07,149.20899963378906
2024-05-08,149.0897674560547
2024-05-09,151.7589569091797
2024-05-10,152.09832763671875
2024-05-13,150.9150848388672
2024-05-14,150.0712127685547
2024-05-15,149.55755615234375
2024-05-16,149.25181579589844
2024-05-17,150.7156982421875
2024-05-20,149.2981414794922
2024-05-21,148.214111328125
2024-05-22,145.99049377441406
2024-05-23,145.4067840576172
2024-05-24,146.1572723388672
2024-05-28,147.35247802734375
2024-05-29,145.3697052001953
2024-05-30,146.6297607421875
2024-05-31,150.37289428710938
2024-06-03,145.8885955810547
2024-06-04,144.6563262939453
2024-06-05,143.59080505371094
2024-06-06,144.4709930419922
2024-06-07,144.61000061035156
2024-06-10,145.2214813232422
2024-06-11,144.98988342285156
2024-06-12,142.8866729736328
2024-06-13,141.60809326171875
2024-06-14,141.35794067382812
2024-06-17,141.93238830566406
2024-06-18,142.0620880126953
2024-06-20,145.1288299560547
2024-06-21,143.86878967285156
2024-06-24,147.6026153564453
2024-06-25,146.8151092529297
2024-06-26,144.48951721191406
2024-06-27,144.8323516845703
2024-06-28,144.9250030517578
2024-07-01,145.0176544189453
2024-07-02,145.23077392578125
2024-07-03,145.19371032714844
2024-07-05,142.97007751464844
2024-07-08,142.9886016845703
2024-07-09,141.73780822753906
2024-07-10,143.72982788085938
2024-07-11,143.85023498535156
2024-07-12,144.15599060058594
2024-07-15,146.42596435546875
2024-07-16,146.17578125
2024-07-17,149.3815155029297
2024-07-18,150.067138671875
2024-07-19,147.45437622070312
2024-07-22,145.453125
2024-07-23,142.76622009277344
2024-07-24,143.67420959472656
2024-07-25,145.96270751953125
2024-07-26,146.24063110351562
2024-07-29,145.09178161621094
2024-07-30,147.84352111816406
2024-07-31,148.6773681640625
2024-08-01,141.40426635742188
2024-08-02,137.63336181640625
2024-08-05,134.0292205810547
2024-08-06,132.7042999267578
2024-08-07,131.944580078125
2024-08-08,133.87171936035156
2024-08-09,134.33497619628906
2024-08-12,134.36277770996094
2024-08-13,133.5566864013672
2024-08-14,134.03848266601562
2024-08-15,136.011962890625
2024-08-16,136.44741821289062
2024-08-19,137.56231689453125
2024-08-20,135.55738830566406
2024-08-21,136.14761352539062
2024-08-22,136.53172302246094
2024-08-23,138.30242919921875
2024-08-26,139.12689208984375
2024-08-27,137.67471313476562
2024-08-28,136.78469848632812
2024-08-29,138.11505126953125
2024-08-30,138.6116180419922
2024-09-03,135.52926635742188
2024-09-04,133.10276794433594
2024-09-05,132.03469848632812
2024-09-06,129.81430053710938
2024-09-09,131.4444580078125
2024-09-10,129.505126953125
2024-09-11,129.17724609375
2024-09-12,130.42327880859375
2024-09-13,131.73492431640625
2024-09-16,133.12147521972656
2024-09-17,134.35816955566406
2024-09-18,134.87347412109375
2024-09-19,135.8384552001953
2024-09-20,136.48489379882812
2024-09-23,138.2274932861328
2024-09-24,138.14317321777344
2024-09-25,134.88282775878906
2024-09-26,133.02780151367188
2024-09-27,136.306884765625
2024-09-30,137.97451782226562
2024-10-01,140.25115966796875
2024-10-02,141.4222412109375
2024-10-03,141.70330810546875
2024-10-04,141.2255096435547
2024-10-07,141.58154296875
2024-10-08,139.3611297607422
2024-10-09,140.20431518554688
2024-10-10,141.11306762695312
2024-10-11,141.86257934570312
2024-10-14,142.1998748779297
2024-10-15,138.40550231933594
2024-10-16,139.34237670898438
2024-10-17,141.65646362304688
2024-10-18,141.23489379882812
2024-10-21,141.356689453125
2024-10-22,141.3941650390625
2024-10-23,140.98190307617188
2024-10-24,140.9538116455078
2024-10-25,141.2910919189453
2024-10-28,141.0381317138672
2024-10-29,139.1456298828125
2024-10-30,138.70529174804688
2024-10-31,139.4267120361328
2024-11-01,143.40846252441406
2024-11-04,144.2516326904297
2024-11-05,143.72698974609375
2024-11-06,147.7649688720703
2024-11-07,146.87490844726562
2024-11-08,147.02479553222656
2024-11-11,146.62196350097656
2024-11-12,145.4883270263672
2024-11-13,148.7018280029297
2024-11-14,151.58740234375
2024-11-15,151.23141479492188
2024-11-18,152.1494598388672
2024-11-19,151.0515899658203
2024-11-20,152.68893432617188
2024-11-21,152.9728546142578
2024-11-22,153.66375732421875
2024-11-25,151.7708740234375
2024-11-26,153.82464599609375
2024-11-27,153.42715454101562
2024-11-29,153.25677490234375
2024-12-02,153.52178955078125
2024-12-03,153.247314453125
2024-12-04,149.84014892578125
2024-12-05,150.79605102539062
2024-12-06,146.9251251220703
2024-12-09,148.66656494140625
2024-12-10,148.59083557128906
2024-12-11,147.84315490722656
2024-12-12,146.4235076904297
2024-12-13,145.6284942626953
2024-12-16,141.36004638671875
2024-12-17,140.177001953125
2024-12-18,136.3628692626953
2024-12-19,133.58978271484375
2024-12-20,135.19874572753906
2024-12-23,135.31231689453125
2024-12-24,136.13571166992188
2024-12-26,136.26820373535156
2024-12-27,136.28713989257812
2024-12-30,135.40696716308594
2024-12-31,137.08213806152344
2025-01-02,138.85198974609375
2025-01-03,139.93092346191406
2025-01-06,139.37254333496094
2025-01-07,141.57772827148438
2025-01-08,142.2497100830078
2025-01-10,144.9375762939453
2025-01-13,147.0292205810547
2025-01-14,148.4961700439453
2025-01-15,149.849609375
2025-01-16,150.8433837890625
2025-01-17,152.82142639160156
2025-01-21,149.76443481445312
2025-01-22,148.03244018554688
2025-01-23,147.65386962890625
2025-01-24,147.31314086914062
2025-01-27,148.80853271484375
2025-01-28,147.84315490722656
2025-01-29,147.3509979248047
2025-01-30,147.947265625
2025-01-31,141.19915771484375
2025-02-03,141.3411102294922
2025-02-04,145.0133056640625
2025-02-05,144.79563903808594
2025-02-06,143.7639923095703
2025-02-07,144.44544982910156
2025-02-10,147.42674255371094
2025-02-11,149.0072784423828
2025-02-12,146.60330200195312
2025-02-13,147.5308380126953
2025-02-14,148.65045166015625
2025-02-18,149.43511962890625
2025-02-19,150.4590606689453
2025-02-20,151.9518585205078
2025-02-21,150.16241455078125
2025-02-24,151.09063720703125
2025-02-25,149.68392944335938
2025-02-26,148.4590606689453
2025-02-27,149.92315673828125
2025-02-28,151.7891845703125
2025-03-03,146.49734497070312
2025-03-04,145.45428466796875
2025-03-05,144.31552124023438
2025-03-06,146.3633575439453
2025-03-07,149.60739135742188
2025-03-10,150.784423828125
2025-03-11,147.44471740722656
2025-03-12,146.09542846679688
2025-03-13,146.9949493408203
2025-03-14,150.2581024169922
2025-03-17,151.8848876953125
2025-03-18,153.8848876953125
2025-03-19,156.98536682128906
2025-03-20,157.6743621826172
2025-03-21,157.65521240234375
2025-03-24,157.91360473632812
2025-03-25,158.79397583007812
2025-03-26,160.73654174804688
2025-03-27,159.473388671875
2025-03-28,158.93751525878906
2025-03-31,160.08583068847656
2025-04-01,161.25328063964844
2025-04-02,159.3011474609375
2025-04-03,149.3968505859375
2025-04-04,137.1097869873047
2025-04-07,134.1145782470703
2025-04-08,131.03323364257812
2025-04-09,139.74136352539062
2025-04-10,129.16722106933594
2025-04-11,129.7892303466797
2025-04-14,129.49258422851562
2025-04-15,128.7461700439453
2025-04-16,129.53086853027344
2025-04-17,131.93276977539062
2025-04-21,127.97106170654297
2025-04-22,131.38731384277344
2025-04-23,130.79400634765625
2025-04-24,133.0811004638672
2025-04-25,132.7557373046875
2025-04-28,134.0667266845703
2025-04-29,133.3011932373047
2025-04-30,130.2007293701172
2025-05-01,130.39208984375
2025-05-02,132.53564453125
2025-05-05,129.6648406982422
2025-05-06,129.76052856445312
2025-05-07,129.9423370361328
2025-05-08,131.13851928710938
2025-05-09,132.52609252929688
2025-05-12,135.52127075195312
2025-05-13,136.21986389160156
2025-05-14,135.56912231445312
2025-05-15,136.1337127685547
2025-05-16,135.98062133789062
2025-05-19,134.1403045654297
2025-05-20,132.95860290527344
2025-05-21,131.30230712890625
2025-05-22,131.04078674316406
2025-05-23,132.2515411376953
2025-05-27,133.5010223388672
2025-05-28,131.7478790283203
2025-05-29,133.57852172851562
2025-05-30,132.40650939941406
2025-06-02,133.5106964111328
2025-06-03,135.16700744628906
2025-06-04,133.0554656982422
2025-06-05,132.6002197265625
2025-06-06,135.8062744140625
2025-06-09,136.3389892578125
2025-06-10,138.84764099121094
2025-06-11,140.23272705078125
2025-06-12,140.41676330566406
2025-06-13,141.32723999023438
2025-06-16,141.44346618652344
2025-06-17,144.17489624023438
2025-06-18,143.53562927246094
2025-06-20,144.85292053222656
2025-06-23,142.24740600585938
